Bil,Nombor Pendafataran (lama),Nama Pertubuhan,Alamat,DOSM Negeri,Tarikh Permohonan,PIC dan alamat,Maklum balas dari MPRC,Maklum balas dari PETRONAS,RegistrationNumber
205,883329K,SUTERA ENERGY SOLUTIONS SDN BHD ,"A-23-A-1, 157 HAMPSHIRE PLACE OFFICES NO 1, JALAN MAYANG SARI KUALA LUMPUR 50450 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,200901040183
206,1017619T,KONTACTAPP ENGINEERING SDN BHD,"LEVEL 13, MENARA GREAT EASTERN NO. 303, JALAN AMPANG KUALA LUMPUR 50450 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201201033131
208,1064045A,PAGEO GEOSCIENCE SDN BHD,"J-3A-16, BLOCK J SOLARIS MONT KIARA (SOHO KL) KUALA LUMPUR 50480 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201301034215
215,1116765X,JAT ASSET INTEGRITY OFFSHORE AND ONSHORE SDN BHD ,"SUITE 14-6, WISMA UOA 2, JALAN PINANG KUALA LUMPUR 50200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201401040615
216,178878H,ACCENTURE SDN BHD ,"LEVEL 35, THE GARDEN NORTH TOWER, MID VALLEY CITY, LINGKARAN SYED PUTRA 59200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,198901001572
217,1197751T,STRALLEX RESOURCES SDN BHD ,"2-1-1, 1A STONOR APARTMENT JALAN STONOR KUALA LUMPUR 50450 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201601026812
218,1182429U,ARCUTRA GLOBAL SERVICES SDN BHD,"34-2, JALAN 9/23A, MEDAN MAKMUR OFF JALAN USAHAWAN SETAPAK 53200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201601011498
219,1209844A,ENERTHRUST ENGINEERING SDN BHD,C-27-3 KL TRILLION 388 JALAN TUN RAZAK KUALA LUMPUR 50400 WILAYAH PERSEKUTUAN KUALA LUMPUR ,WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201601038903
220,241874V,MSIC MARITIME SERVICES SDN BHD ,"16TH FLOOR, MENARA DAYABUMI JALAN SULTAN HISHAMUDDIN KUALA LUMPUR 50050 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,199201010371
221,789095U,SERASI INTEGRATED SOLUTIONS SDN BHD ,258-B JALAN BANDAR 12 TAMAN MELAWATI GOMBAK 53100 WILAYAH PERSEKUTUAN KUALA LUMPUR ,WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,200701031069
222,386526V,CLARIANT OIL SERVICES (MALAYSIA) SDN BHD ,"LEVEL 37, MENARA CHARTERED 30 JALAN SULTAN ISMAIL KUALA LUMPUR 50250 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,199601014176
223,316268P,PETROLEUM GEO-SERVICES EXPLORATION (M) SDN BHD ,MENARA DION LEVEL 11 27 JALAN SULTAN ISMAIL KUALA LUMPUR 50250 WILAYAH PERSEKUTUAN KUALA LUMPUR ,WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,199401030587
224,1116491X,RINA MALAYSIA ENERGY SDN BHD,"SO-32-01, MENARA 1, KL ECO CITY, NO. 3 JALAN BANGSAR KUALA LUMPUR 59200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201401040343
226,1270972H,BEST AND BIT INSTRUMENTS TECHNOLOGY SDN BHD ,"NO. 3-1, JALAN SRI REJANG 5 RAMPAI BUSINESS PARK WANGSA MAJU, KUALA LUMPUR 53300 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201801008958
227,282759K,NEURSL SERVICES SDN BHD ,"NO. 4-3, JALAN 9/23A OFF JALAN USAHAWAN, SETAPAK KUALA LUMPUR 53200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,199301028021
228,1300620H,H&H INDUSTRIAL RESOURCES SDN BHD ,"A-8-5, TOWER 1, PAVILION RESIDENCES, 77, JALAN RAJA CHULAN, KUALA LUMPUR 50200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201801038589
229,1307634T,ENVIROS SURVEY & CONSULTANCY SDN BHD ,"22-09, MENARA 1 MK NO. 1 JALAN KIARA, MONT KIARA KUALA LUMPUR 50480 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201801045602
230,1005936M,SOLARIS INFINITI SDN BHD ,"G14, GROUND FLOOR, PLATINIUM SENTRAL JALAN STESEN SENTRAL 2 KL SENTRAL KUALA LUMPUR 50470 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201201021444
231,1306739H,STREAMLINED TRADING & SERVICES SDN BHD,"SUITE 2-1-41J, LEVEL 1, WISMA RAMPAI, JALAN 34/26, RAMPAI TOWN CENTRE KUALA LUMPUR 53300 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201801044707
233,1068996V,PRINCIPIA MALYSIA SDN BHD ,"SUITE 12-11, LEVEL 12 WISMA UOA 11 NO. 21 JALAN PINANG KUALA LUMPUR 50450 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201301039173
234,1078122V,RODA EMAS ENGINEERING SDN BHD ,"NO. 66A, DAMAI COMPLEX, JALAN LUMUT OFF JALAN IPOH, KUALA LUMPUR 50400 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201401002048
235,1446277K,FIRA SINERGI SDN BHD,"L13A-3 MENARA SENTRAL VISTA, 150 JALAN SULTAN ABDUL SAMAD, BRICKFIELDS, KUALA LUMPUR 50470 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,202201000580
237,933326V,MAROIL SOLUTIONS SDN BHD,78-1-1 JALAN MEDAN PUTRA 3 MEDAN PUTRA BUSINESS CENTRE KUALA LUMPUR 52200 WILAYAH PERSEKUTUAN KUALA LUMPUR ,WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201101005185
239,590302T,TPM TEKMAL SDN BHD,"NO.31-3, 3RD FLOOR, WISMA MEPRO, JLN. IPOH, KUALA LUMPUR 51200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,200201022639
240,606221P,HCCBITS MALAYSIA SDN BHD,"25TH FLOOR, MENARA TAN & TAN, 207, JALAN TUN RAZAK, KUALA LUMPUR 50400 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,200301003801
241,605666P,EQUIMATICS ENGINEERING SDN BHD ,"NO 15 , JALAN 2/149B TAMAN SRI ENDAH BANDAR BARU SRI PETALING 57000 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,200301003246
242,486719K,DOTCOM TELECOMMUNICATIONS SDN BHD,"NO. 16-2, JALAN KUCHAI MAJU 8 OFF JALAN KUCHAI LAMA KUALA LUMPUR 58200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,199901011819
243,493623K,MRR VENTURES SDN BHD,13 &13-1 JALAN DAMAI RAYA 4 ALAM DAMAI CHERAS 56000 WILAYAH PERSEKUTUAN KUALA LUMPUR ,WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,199901018723
244,456891T,SALUR INSPIRASI SDN BHD ,"23-2, JALAN 4/93, 2 1/2 MILES JALAN CHERAS TAMAN MIHARJA KUALA LUMPUR 55200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,199801000765
245,1281799V,AKIRAN (MARITIME TECHNOLOGY) SDN BHD ,"UNIT 26-5, LEVEL 26, TOWER A THE VERTICAL BUSINESS SUITES, BANGSAR SOUTH CITY KUALA LUMPUR 59200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201801019780
246,1355936A,PETRO SEVEN SDN BHD,"276-2-2 WISMA MUTIARA GENTING JALAN AYER JERNIH,OFF JALAN GENTING KLAN KUALA LUMPUR 53200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201901046606
247,1347613P,MANTA SERVICES SDN BHD ,"NO. 1-4-29, JALAN 1/50 DIAMOND SQUARE KUALA LUMPUR 53000 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201901038283
248,1125598V,SEJAGAT OFFSHORE SDN BHD ,"2-1-41J, LEVEL 1, WISMA RAMPAI JALAN 34/26 KUALA LUMPUR 53300 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201501000266
250,1093762T,AI KENCANA SDN BHD,"NO.B-2-7A, JALAN 12/144A TAMAN BUKIT CHERAS KUALA LUMPUR 56000 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201401017675
253,1062130K,YINSON ENERGY SDN BHD,"LEVEL 16,MENARA SOUTHPOINT,MID VALLEY CITY MEDAN SYED PUTRA SELATAN KUALA LUMPUR 59200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201301032301
255,856396M,EXCELLENCE LOGGING MALAYSIA SDN BHD ,"30-3, JLN 11/116B KUCHAI ENT'NEUR PARK,OFF JLN KUCHAI LAMA KUALA LUMPUR 58200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,200901013340
256,960431V,BROWNFIELD SYNERGY SDN BHD ,NO. 43-2A JALAN THAMBAPILLAI BRICKFIELDS KUALA LUMPUR 50470 WILAYAH PERSEKUTUAN KUALA LUMPUR ,WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201101032296
257,974156M,BELATI OILFIELD SDN BHD ,"LEVEL 36, MAXIS TOWER, KLCC  KUALA LUMPUR 55100 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201201000632
258,1013226P,NATIONOIL SDN BHD,"274-6-2, WISMA MUTIARA GENTING, JALAN AYER JERNEH OFF JALAN GENTING KLANG  KUALA LUMPUR 53000 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201201028739
259,1065355D,ASIAPAC OIL & GAS SDN BHD ,"18-4, DUTA RIA CONDOMINIUM 30, JALAN DUTAMAS RAYA KUALA LUMPUR 51200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201301035527
260,536572D,WIDAD BUILDERS SDN BHD,"LEVEL 10, WIDAD SEMANTAN (WISE), NO. 3, JALAN SEMANTAN, DAMANSARA HEIGHTS, KUALA LUMPUR 50490 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,200101000816
263,146280V,INTECSEA SDN BHD ,"LEVEL 18, MENARA AIA, CAP SQUARE, NO. 10, JALAN MUNSHI ABDULLAH, KUALA LUMPUR 50100 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,198501013824
264,337931P,PLC INTERNATIONAL SDN BHD,"17-2, JALAN WANGSA DELIMA 5, SEKSYEN 5, WANGSA MAJU, KUALA LUMPUR 53300 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,199501008733
265,1191673H,EXECUTIVE OFFSHORE SERVICES SDN BHD ,"10TH FLOOR, MENARA HAP SENG NO. 1 & 3 JALAN P. RAMLEE KUALA LUMPUR 50250 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201601020735
267,1277290M,VISIO ASIA SDN BHD ,A-6-1/1 BLOCK A MEGAN AVENUE 1 189 JALAN TUN RAZAK KUALA LUMPUR 50400 WILAYAH PERSEKUTUAN KUALA LUMPUR ,WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201801015274
268,1286117P,FLOSYM SDN BHD ,"57, LORONG MAAROF BANGSAR KUALA LUMPUR 51200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201801024097
269,775164U,INTELLISENSE SDN BHD,"K-5-7 DORCHESTER PLAZA DAMAS,SRI HARTAMAS KUALA LUMPUR 50480 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,200701017155
270,301146W,NEURAL OILFIED SERVICE SDN BHD ,"NO. 4-2,  JALAN 9/23A OFF JALAN USAHAWAN, SETAPAK KUALA LUMPUR 53200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,199401015466
271,373294P,PRESSURE CARE SDN BHD ,"NO. 28, JALAN 5/38B TAMAN SEGAMBUT (SPPK) KUALA LUMPUR 51200 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,199601000949
272,1191674T,STARLIFT OFFSHORE SUPPLY SDN BHD,"NO.89-1, JALAN 1/91 TAMAN SHAMELIN PERKASA KUALA LUMPUR 56100 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201601020736
273,1206906K,SYNCNETIC SDN BHD ,"5-4-1, JALAN 3/50, DIAMOND SQUARE, KUALA LUMPUR 53000 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201601035965
274,1186013U,AZAKTI ENERGY SDN BHD ,SUITE33-1 33RD FLOOR JALAN BUKIT BINTANG MENARA KECK SENG 203 KUALA LUMPUR 55100 WILAYAH PERSEKUTUAN KUALA LUMPUR ,WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201601015082
275,1285000D,EMERGING INTEGRATED RESOURCES SDN BHD ,"B-9-8, MEAGAN AVENUE II JALAN YAP KWAN SENG KUALA LUMPUR 50450 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201801022981
277,1198120A,MECH MAESTRO SDN BHD ,"B-9-8, MEGAN AVENUE II 12 JALAN YAP KWAN SENG KUALA LUMPUR 50450 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,201601027181
278,666790A,TRI-AERO SDN BHD ,D2-2-3 SOLARIS DUTAMAS NO.1 JLN.DUTAMAS 1 KUALA LUMPUR 50480 WILAYAH PERSEKUTUAN KUALA LUMPUR ,WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,200401028282
279,279403M,OIL & GAS MANAGEMENT (M) SDN BHD,"4-2 JLN DAMAI PERDANA 1/8B, BDR DAMAI PERDANA, KUALA LUMPUR 56000 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,199301024665
280,709650K,WOODOS ENTERPRISE SDN BHD,"MENARA RKT LEVEL 9, NO. 36 JALAN RAJA ABDULLAH OFF JALAN SULTAN ISMAIL KUALA LUMPUR 50300 WILAYAH PERSEKUTUAN KUALA LUMPUR ",WILAYAH PERSEKUTUAN KUALA LUMPUR,15 Ogos 2024,,,,200501027516
283,1211026D,HV HOLDINGS SDN. BHD.,11-1 JALAN PJ 1 TAMAN PERTAM JAYA MELAKA 75350 MELAKA ,MELAKA,15 Ogos 2024,,,,201601040085
284,737522P,HYD MOTION SDN. BHD.,LOT 107-2 JALAN SEBERANG GAJAH BUKIT RAMBAI CHENG 75250 MELAKA ,MELAKA,15 Ogos 2024,,,,200601017770
285,204316T,MLT RESOURCES SDN. BHD.,"NO.69, 69-1 JALAN KRISTAL TAMAN LIMBONGAN INDAH MELAKA 75200 MELAKA ",MELAKA,15 Ogos 2024,,,,199001012746
286,1403793M,NK RES2 VENTURES SDN. BHD.,"NO. 32-A, JALAN CEMPAKA 1 TAMAN SERI CEMPAKA MELAKA 75400 MELAKA ",MELAKA,15 Ogos 2024,,,,202101003495
287,1382695V,NUR PRISMA SDN. BHD.,NO 8-1 JALAN SERI BUANA 3 TAMAN TANGGA BATU PERDANA TANJONG KLING 76400 MELAKA ,MELAKA,15 Ogos 2024,,,,202001026375
288,178348X,PRIMESTAR SDN BHD,"28-1, JALAN MELAKA RAYA 28 TAMAN MELAKA RAYA MELAKA RAYA 75000 MELAKA ",MELAKA,15 Ogos 2024,,,,198901001042
289,1270153K,TRUE ENERGY SDN. BHD.,"SU 988, JALAN BANDAR BARU 9, PUSAT PERNIAGAAN BANDAR BARU MASJID TANAH 78300 MELAKA ",MELAKA,15 Ogos 2024,,,,201801008139
290,1417940H,VP OILFIELD SDN. BHD.,"NO.11-1, JALAN PERTAM JAYA 1 TAMAN PERTAM JAYA MELAKA 75050 MELAKA ",MELAKA,15 Ogos 2024,,,,202101017640
291,1311330T,ZARAKID RESOURCES (M) SDN. BHD.,"NO 34, JALAN KF 1, OFF JALAN MITC HANG TUAH JAYA, AYER KEROH 75450 MELAKA ",MELAKA,15 Ogos 2024,,,,201901002004
294,1065090X,ELECTRO MECH TECHNOLOGY SDN. BHD.,NO. 8-1 JALAN MELAKA RAYA 35 TAMAN MELAKA RAYA MELAKA 75000 MELAKA ,MELAKA,15 Ogos 2024,,,,201301035262
296,327729W,IMTIAZ SDN. BHD.,"LOT 77, JALAN POKOK MANGGA KG PADANG MELAKA 75250 MELAKA ",MELAKA,15 Ogos 2024,,,,199401042041
297,469955V,PREMALA ERA COM CONSTRUCTION (M) SDN. BHD.,"NO. 7 A, JALAN PB2 TAMAN PADANG BALANG BATU BERENDAM 75350 MELAKA ",MELAKA,15 Ogos 2024,,,,199801013826
298,187333D,TL-DYNE ENTERPRISE SDN. BHD.,305B JLN TUN ALI MELAKA MELAKA 75300 MELAKA ,MELAKA,15 Ogos 2024,,,,198901010032
299,1409201U,HALA PRO SDN. BHD.,"LOT 14563, JALAN SERI EMAS 29 TAMAN SERI TELOK MAS TELOK MAS 75460 MELAKA ",MELAKA,15 Ogos 2024,,,,202101008902
300,257948P,INTEGRAL ALLIANCE SDN. BHD.,"28, JALAN TTC 14 TAMAN TEKNOLOGI CHENG MELAKA 75250 MELAKA ",MELAKA,15 Ogos 2024,,,,199301003211
302,1352394T,UNISAINTIFIK SDN. BHD.,"NO 20-01(ROOM 1), JALAN PONDEROSA 2/1 TAMAN PONDEROSA JOHOR BAHRU 81100 JOHOR ",JOHOR,15 Ogos 2024,,,,201901043064
303,428216H,"MENARA CEKAL SDN BHD

","20, JLN. CP 2JLN. CHENG PERDANA 1 75250 MELAKA
",MELAKA,5 Julai 2024,,no information from MPRC's database,,199701012720
304,1104409U,"RESOURCES KINGDOM SERVICES SDN. BHD.
 ","NO. 31-1 JALAN BU 5 TAMAN BACANG UTAMA 75250 MELAKA
",MELAKA,5 Julai 2024,,no information from MPRC's database,,201401028323
305,668007P,"AMI SAFETY & SERVICES SDN. BHD.


","NO. 76, JALAN CB 1 TAMAN CHENG BESTARI 75250 MELAKA
",MELAKA,5 Julai 2024,,no information from MPRC's database,,200401029499
306,1084865H,"MULK OIL & GAS SYNERGY SDN. BHD.



","A2-6-3, SOHO SUITE @ KLCC
NO. 20, JALAN PERAK 
50480 KUALA LUMPUR",WILAYAH PERSEKUTUAN KUALA LUMPUR,17 Julai 2024,,no information from MPRC's database,,201401008787
