area_type,area,age_0_4_male,age_5_9_male,age_10_14_male,age_15_19_male,age_20_24_male,age_25_29_male,age_30_34_male,age_35_39_male,age_40_44_male,age_45_49_male,age_50_54_male,age_55_59_male,age_60_64_male,age_65_69_male,age_70_74_male,age_75_79_male,age_80_84_male,age_85_above_male,age_0_4_female,age_5_9_female,age_10_14_female,age_15_19_female,age_20_24_female,age_25_29_female,age_30_34_female,age_35_39_female,age_40_44_female,age_45_49_female,age_50_54_female,age_55_59_female,age_60_64_female,age_65_69_female,age_70_74_female,age_75_79_female,age_80_84_female,age_85_above_female
district,Tampin,-3671.0,-4582.0,-4340.0,-3579.0,-2863.0,-3216.0,-4459.0,-5280.0,-3092.0,-2302.0,-1853.0,-2357.0,-1779.0,-1517.0,-981.0,-493.0,-271.0,-166.0,3828.0,4366.0,4526.0,3008.0,2002.0,2871.0,3107.0,2914.0,2457.0,2161.0,2247.0,2305.0,2018.0,1543.0,959.0,491.0,330.0,189.0
district,Jempol,-5266.0,-6508.0,-5413.0,-5183.0,-3697.0,-4930.0,-6363.0,-5627.0,-4145.0,-3457.0,-2991.0,-3603.0,-2940.0,-2957.0,-1783.0,-685.0,-231.0,-56.0,5687.0,6512.0,4930.0,5003.0,3362.0,4475.0,4793.0,4456.0,3314.0,2980.0,3255.0,3925.0,3588.0,2854.0,1414.0,486.0,219.0,111.0
district,Bentong,-3317.0,-6101.0,-5823.0,-5185.0,-5855.0,-6840.0,-6619.0,-6089.0,-4978.0,-3732.0,-3047.0,-2575.0,-1993.0,-1561.0,-1178.0,-686.0,-418.0,-166.0,3283.0,5684.0,5228.0,4170.0,3522.0,3718.0,3985.0,3877.0,3592.0,2855.0,2503.0,2222.0,1962.0,1572.0,1164.0,642.0,442.0,215.0
district,Cameron Highlands,-1092.0,-1869.0,-2184.0,-1833.0,-1770.0,-2646.0,-2689.0,-2160.0,-1521.0,-1265.0,-927.0,-740.0,-507.0,-385.0,-334.0,-173.0,-90.0,-40.0,1092.0,1959.0,1964.0,1750.0,1165.0,1313.0,1262.0,1285.0,1065.0,1102.0,706.0,677.0,468.0,402.0,294.0,146.0,82.0,47.0
district,Jerantut,-3066.0,-5490.0,-5215.0,-5298.0,-3503.0,-3991.0,-5035.0,-4120.0,-3179.0,-2723.0,-2373.0,-2426.0,-1601.0,-1268.0,-984.0,-524.0,-266.0,-80.0,3280.0,5072.0,4666.0,4458.0,2819.0,2867.0,3447.0,3340.0,2931.0,2486.0,2349.0,2142.0,1740.0,1348.0,1016.0,478.0,307.0,118.0
district,Kuantan,-18420.0,-29809.0,-30971.0,-30481.0,-19567.0,-20168.0,-23972.0,-27746.0,-25819.0,-17238.0,-12522.0,-10632.0,-7543.0,-5038.0,-2918.0,-1307.0,-712.0,-328.0,17986.0,28572.0,28326.0,27694.0,19061.0,17674.0,21845.0,24187.0,24430.0,15551.0,11278.0,9760.0,6602.0,4746.0,2599.0,1233.0,806.0,473.0
district,Lipis,-3615.0,-5010.0,-4822.0,-5173.0,-4210.0,-4800.0,-4349.0,-4487.0,-3240.0,-2735.0,-2001.0,-2613.0,-1541.0,-1058.0,-739.0,-427.0,-279.0,-80.0,3643.0,4823.0,4622.0,4869.0,3811.0,3369.0,3307.0,3206.0,2790.0,2414.0,1977.0,2551.0,1503.0,1054.0,753.0,374.0,274.0,101.0
district,Pekan,-3930.0,-4979.0,-5950.0,-6962.0,-9087.0,-6081.0,-5589.0,-5251.0,-4522.0,-2858.0,-2408.0,-2371.0,-2172.0,-1680.0,-876.0,-383.0,-198.0,-92.0,3944.0,4773.0,5783.0,6382.0,6016.0,4054.0,3982.0,3588.0,3620.0,2786.0,2484.0,2713.0,2314.0,1564.0,856.0,449.0,306.0,155.0
district,Raub,-3505.0,-5131.0,-4604.0,-4831.0,-3229.0,-4281.0,-5012.0,-4796.0,-3189.0,-2601.0,-2131.0,-2554.0,-1798.0,-1543.0,-944.0,-437.0,-240.0,-83.0,3578.0,4771.0,4336.0,4614.0,3314.0,2980.0,3598.0,3384.0,2880.0,2236.0,2082.0,2514.0,1775.0,1459.0,787.0,441.0,312.0,169.0
district,Temerloh,-7154.0,-10909.0,-9275.0,-7847.0,-5814.0,-6709.0,-7060.0,-7544.0,-5966.0,-5197.0,-3535.0,-3686.0,-2485.0,-1859.0,-1242.0,-541.0,-344.0,-137.0,7441.0,10184.0,8048.0,7015.0,4541.0,6271.0,6500.0,6952.0,5777.0,4800.0,3609.0,3688.0,2567.0,1880.0,1130.0,614.0,501.0,201.0
