area_type,area,sex,sex,agegroup,agegroup,agegroup,ethnicity,ethnicity,ethnicity,ethnicity,religion,religion,religion,religion,religion,religion,nationality,nationality,marital,marital,marital,marital
,,male,female,child,working,elderly,bumi,chinese,indian,other,muslim,christian,buddhist,hindu,other,atheist,local,foreign,never_married,married,widowed,divorced
country,Malaysia,52.28839550552379,47.71160449447621,26.41766046786205,68.29324458658225,5.289094945555705,69.39546445855275,23.16270344631048,6.717155669309187,0.7246764258275932,63.518400635367065,9.064055547157343,18.697297178185547,6.069737206865823,0.8788135006873434,1.771695931736872,91.70635784671092,8.293642153289086,35.819630031224776,58.46211620869145,4.038933289237702,1.679320470846068
district,Alor Gajah,51.63741798873899,48.36258201126101,19.2728468534946,74.57169669067518,6.155456455830219,79.77996029944082,12.048989971067892,7.884323468739053,0.2867262607522348,76.69877604709733,1.0876016618810054,11.34281910200677,7.490896549511541,0.4339177721811386,2.9459888673222223,92.73127576637418,7.26872423362582,42.73238419477974,50.90993500464253,4.660579799855566,1.6971010007221707
district,Asajaya,51.00577277867048,48.99422722132952,25.063976670832588,65.38713325001487,9.548890079152532,95.35100093040008,4.60097842072091,0.0150064527746931,0.0330141961043248,88.34136761292626,7.974766410759983,3.56186395286556,0.0029756591084925,0.1071237279057311,0.0119026364339701,99.14598583586265,0.8540141641373564,35.194377159194694,56.967001548663774,5.948457292618036,1.890163999523488
district,Bachok,48.452520217689845,51.54747978231016,27.43756675652307,66.4627943644779,6.099638878999033,98.78947031320054,0.8672260295907256,0.0717350925510792,0.271568564657657,98.63371649458318,0.1017242256243324,1.006434057270739,0.0635776410152077,0.0114439753827373,0.1831036061237983,99.26377091704389,0.736229082956106,41.76928346830151,51.801429901452735,5.168900521720801,1.260386108524953
district,Bagan Datuk,55.44241106480643,44.55758893519358,17.470556260192062,75.14525578305249,7.384187956755451,56.55280227088847,19.664577705250743,23.49053110815517,0.2920889157056073,56.86295826538624,1.0448752793380442,18.31732801836081,21.50147973666727,0.3708401280425198,1.9025185722051097,88.08721386724649,11.91278613275352,43.68837765162832,47.865252464893935,7.257245294293398,1.189124589184344
district,Baling,51.24822108340402,48.75177891659598,27.18394873916,66.03548719530576,6.780564065534237,92.12868878266596,3.018290064974096,3.232246615336177,1.6207745370237856,91.13661378406232,0.2825235027305932,4.244161998836256,3.249370806839452,0.1682522100628842,0.9190776974685052,97.97045771611646,2.0295422838835413,35.019159329569725,57.82119909127251,6.222638234806603,0.9370033443511666
district,Bandar Baharu,51.20237773574709,48.79762226425291,25.155363415293163,66.250112582185,8.59452400252184,84.14178671677453,9.606328438536664,6.057020901477718,0.1948639432110794,84.02233630550302,0.1936413581914797,7.970818697649284,5.7709628028460775,1.3960190939385753,0.6462217418715662,97.0616049716293,2.9383950283707105,34.49248975876195,56.93521468669398,7.492034592626308,1.0802609619177668
district,Barat Daya,50.561121907309726,49.438878092690274,22.283774575372888,71.80593762881828,5.910287795808832,56.93105871714869,36.639464978759406,5.951395075047114,0.4780812290447775,57.95834069437784,5.841304292961159,28.27229975855774,5.087112703900933,2.219670393458345,0.6212721567439787,93.96604665640326,6.033953343596733,34.09162255490967,60.343259831779946,3.9473256909037766,1.6177919224066075
district,Batang Padang,53.95126119517288,46.04873880482712,23.968754282581884,66.66156115728462,9.369684560133496,69.05140300866948,17.401175550566332,12.867990212154082,0.6794312286101091,56.466396343380445,5.732412191956405,16.610371707954112,9.964610758651824,2.7295665422534645,8.496642455803755,95.86776193278462,4.132238067215375,36.045003602505126,55.00969905226404,7.260433409078312,1.6848639361525246
district,Batu Pahat,52.81423997351303,47.18576002648697,21.383984269327208,72.11197202718144,6.504043703491353,68.01499753839141,30.120414582182253,1.4855646543106098,0.3790232251157171,66.78328737145142,2.9404164429137274,26.210587518018,2.7221816214382906,1.1244846952989676,0.2190423508796014,93.90416241031376,6.0958375896862345,40.88301219436962,54.324322934874246,3.504853071212651,1.2878117995434823
district,Bau,51.93283057576505,48.06716942423494,20.22491119427084,70.53739338563531,9.23769542009384,82.80640465793304,16.79573022804464,0.180494905385735,0.2173702086365842,11.842030279429364,72.98596204623597,13.713124252037307,0.0265942290522956,0.6705544896757404,0.7617347035693255,97.87626085139524,2.1237391486047525,40.42746052192167,52.35198702351988,5.445827966222986,1.77472448833548
district,Beaufort,51.18733160758624,48.81266839241376,26.95071054994981,67.27904273865497,5.770246711395214,93.05007674321864,6.018963464490124,0.1635276060419147,0.7674321862493365,80.21950446404988,13.82006445137091,5.375349992075651,0.2179195942733371,0.0898092873368904,0.2773522108933383,92.07168894289184,7.928311057108141,35.561100864344866,58.86224729666196,4.345231637192145,1.23142020180102
district,Belaga,57.585992356235,42.41400764376501,20.598169051639854,76.55763932094925,2.844191627410897,97.50909743221771,1.7938598739172775,0.0410025114038234,0.6560401824611758,10.194649364500934,86.18789440938583,0.5555061772286908,0.0222202470891476,0.0444404941782952,2.9952893076171008,86.70784819127189,13.292151808728114,38.4369552585706,58.22196397443346,2.2312608948285884,1.1098198721673445
district,Beluran,54.0356564019449,45.96434359805511,33.580551053484605,64.66645056726094,1.752998379254457,98.18859639091554,0.569494316492464,0.0937721565308876,1.148137136061112,82.5257698541329,16.53808752025932,0.1815235008103727,0.2178282009724473,0.0090761750405186,0.5277147487844408,56.69108589951377,43.30891410048622,28.994106888843728,67.29323308270678,2.6823816297500507,1.0302783986994513
