area_type,area,sex,sex,agegroup,agegroup,agegroup,ethnicity,ethnicity,ethnicity,ethnicity,religion,religion,religion,religion,religion,religion,nationality,nationality,marital,marital,marital,marital
,,male,female,child,working,elderly,bumi,chinese,indian,other,muslim,christian,buddhist,hindu,other,atheist,local,foreign,never_married,married,widowed,divorced
state,Johor,53.40357186501632,46.59642813498368,23.924911526384964,70.55166634660708,5.523422127007958,60.1320199441648,32.75033240726264,6.619558363724402,0.4980892848481629,59.72259562507638,3.029326602937399,28.700716019024007,7.050879498811622,0.8068494414752335,0.6896328126753573,92.04006813528297,7.959931864717047,36.820055415797206,57.93036525300306,3.719266417889157,1.5303129133105806
state,Kedah,51.0121153574577,48.9878846425423,28.290389490233537,65.65146261166814,6.0581478980983166,80.11245878473858,12.295886324383734,6.332185193907993,1.259469696969697,78.47418654263083,0.7634791151655675,12.384942106860802,5.885728199933659,0.4605365325671486,2.0311275028419926,95.62044583276835,4.379554167231625,32.08649684288138,61.27709585450749,5.282135942446662,1.354271360164469
state,Kelantan,50.21269165261275,49.78730834738725,29.963442140339115,63.67042473058593,6.366133129074964,96.56453253160284,2.54245535081684,0.267755672522008,0.6252564450583001,95.52368450561534,0.3821476250222455,2.8298450042705694,0.2131658503956204,0.184490831525338,0.866666183170888,98.03057292576128,1.9694270742387312,40.57871403134333,52.03152821823765,5.839874916094906,1.5498828343241169
state,Melaka,52.57685080947249,47.42314919052751,23.43213531671788,70.2329061284339,6.334958554848222,71.66950087398543,22.131510814019567,5.646021344438681,0.5529669675563238,68.87837680834271,2.632338035391636,19.20188536379188,5.2722880367938405,0.4853629906212566,3.5297487650586725,92.8821106779858,7.117889322014206,38.40082285814462,55.36460230805683,4.758141611585755,1.4764332222127872
state,Negeri Sembilan,51.99895997746617,48.00104002253382,25.17354542681758,68.0543078433366,6.7721467298458125,63.27527381828234,21.943970698507105,14.275645651188936,0.505109832021614,62.63094033704063,2.6103065566420605,19.85734690918304,13.129784478663703,0.815517669549507,0.95610404892106,94.35446101332197,5.645538986678044,35.28977503142301,58.347877910689206,4.766887206522543,1.5954598513652485
state,Pahang,53.0480520582293,46.9519479417707,27.433505415400667,67.0157953113659,5.550699273233436,81.04960911427874,14.651573125037173,3.690912815632785,0.6079049450513141,76.50404230516654,1.5185116524591606,13.553552295457475,3.708237630357665,0.653932803157177,4.061723313401978,95.09424713833702,4.905752861662985,35.69693624549038,58.23222966667131,4.616612806619214,1.4542212812190944
state,Perak,52.09201291164688,47.90798708835312,23.181630429948864,67.8723626735298,8.946006896521332,60.8774304529234,27.216548117269816,11.451486931234584,0.454534498572206,57.852935909305984,3.028235513759589,24.154691369252347,9.68886328389638,1.2527438451531845,4.022530078632522,94.74351583167105,5.256484168328965,36.28200499974214,55.55136950048721,6.374046941118672,1.7925785586519698
state,Perlis,49.96577566386436,50.03422433613564,20.45421836881549,71.68787405444303,7.857907576741492,88.79531701711228,7.354868829792966,1.84015370526656,2.0096604478281948,87.79998946943503,0.5862014497077769,9.19634238376889,1.27033715358829,0.1842848868841813,0.9628446566158274,97.74294890920898,2.257051090791021,39.32576724195823,52.326908871130215,6.5596669129004095,1.7876569740111476
state,Pulau Pinang,51.284270040594,48.715729959406,21.72569028473257,71.66257279196509,6.611736923302335,44.74721134289325,44.9011609664261,9.71901537246058,0.6326123182200599,45.51739393991628,4.329164763374043,37.62388639425881,8.381439952195036,2.414667850299212,1.7334470999566192,91.92538518333376,8.074614816666235,34.143018448164526,59.36867433504038,4.593247592101682,1.8950596246934133
state,Sabah,52.05960597112716,47.94039402887283,30.283507152394783,66.40443900391514,3.312053843690083,88.69507909622281,9.54322707681738,0.2285743203920344,1.5331195065677736,69.59244292928628,24.679352460011376,5.0673265502217895,0.1447297797316883,0.1103315944114649,0.4058166863373976,76.29441453615831,23.70558546384169,37.458508802091664,57.79664291526093,3.208312197646194,1.5365360850012084
state,Sarawak,51.74116234532907,48.25883765467093,22.01528563050475,70.45511695304639,7.529597416448865,75.68979860393223,23.81990700039556,0.218261748318693,0.2720326473535226,34.175443630111054,50.11470539928442,12.82479315737157,0.1394234041399907,0.5464859474168768,2.199148461676089,94.89419349001518,5.105806509984811,36.95723570626902,56.50816344066976,4.542174130557062,1.9924267225041683
state,Selangor,53.05305384018095,46.94694615981904,29.465847290048085,67.4360701375939,3.0980825723580057,60.585014855138105,27.31045411391298,11.29032483805528,0.8142061928936378,61.10188074127058,4.919376480375865,21.625143346348946,10.309499439767942,1.256529666564347,0.787570325672325,91.936604348922,8.06339565107801,34.4097433109322,61.60792317710874,2.099163772813548,1.883169739145509
state,Terengganu,51.14360036191536,48.85639963808463,28.63194251113585,65.86502992761693,5.503027561247216,97.55493580804924,2.062797518872914,0.1869927820786117,0.195273890999236,97.33122216035636,0.2547327394209354,2.0342079621380846,0.2438578786191536,0.0366265311804008,0.0993527282850779,97.70305540089088,2.2969445991091315,37.91630218590718,55.274667813457526,5.573867829095583,1.2351621715397134
state,W.P. Kuala Lumpur,53.42311635265817,46.57688364734183,22.79396926107102,73.45210563277959,3.7539251061494,47.71693204921333,41.561432648536986,10.041293005560236,0.6803422966894557,45.28689599780436,6.442370562309295,32.26956902536284,8.219818052663017,1.7680635604849777,6.013282801375502,89.48364169128688,10.51635830871313,32.70547034807745,62.35088691330664,3.192132369607374,1.751510369008543
