chart,variable,0
area_type,,country
area,,Malaysia
sex,male,52.28839550552379
sex,female,47.71160449447621
agegroup,child,26.41766046786205
agegroup,working,68.29324458658225
agegroup,elderly,5.289094945555705
ethnicity,bumi,69.39546445855275
ethnicity,chinese,23.16270344631048
ethnicity,indian,6.717155669309187
ethnicity,other,0.7246764258275932
religion,muslim,63.518400635367065
religion,christian,9.064055547157343
religion,buddhist,18.697297178185547
religion,hindu,6.069737206865823
religion,other,0.8788135006873434
religion,atheist,1.771695931736872
nationality,local,91.70635784671092
nationality,foreign,8.293642153289086
marital,never_married,35.819630031224776
marital,married,58.46211620869145
marital,widowed,4.038933289237702
marital,divorced,1.679320470846068
