date,price
2025-01-01,PH
2025-01-02,4819.0
2025-01-03,4726.0
2025-01-04,NT
2025-01-05,PH
2025-01-06,4642.5
2025-01-07,4709.0
2025-01-08,4702.5
2025-01-09,4631.0
2025-01-10,4725.0
2025-01-11,NT
2025-01-12,PH
2025-01-13,4810.0
2025-01-14,4789.5
2025-01-15,4632.5
2025-01-16,4619.5
2025-01-17,4577.5
2025-01-18,NT
2025-01-19,PH
2025-01-20,4578.5
2025-01-21,4536.5
2025-01-22,4565.5
2025-01-23,4517.0
2025-01-24,4527.5
2025-01-25,NT
2025-01-26,PH
2025-01-27,4566.0
2025-01-28,4560.0
2025-01-29,PH
2025-01-30,PH
2025-01-31,4600.0
2025-02-01,NT
2025-02-02,PH
2025-02-03,4620.5
2025-02-04,4599.0
2025-02-05,4650.0
2025-02-06,4675.5
2025-02-07,4731.5
2025-02-08,NT
2025-02-09,PH
2025-02-10,4767.5
2025-02-11,PH
2025-02-12,4850.5
2025-02-13,4790.5
2025-02-14,4765.0
2025-02-15,NT
2025-02-16,PH
2025-02-17,4736.5
2025-02-18,4742.5
2025-02-19,4783.0
2025-02-20,4805.0
2025-02-21,4868.0
2025-02-22,NT
2025-02-23,PH
2025-02-24,4781.0
2025-02-25,4792.5
2025-02-26,4757.0
2025-02-27,4687.5
2025-02-28,NT
2025-03-01,NT
2025-03-02,PH
2025-03-03,4741.0
2025-03-04,4677.5
2025-03-05,4712.5
2025-03-06,4776.5
2025-03-07,4817.0
2025-03-08,NT
2025-03-09,PH
2025-03-10,4840.0
2025-03-11,4798.0
2025-03-12,4801.0
2025-03-13,4806.5
2025-03-14,4814.5
2025-03-15,NT
2025-03-16,PH
2025-03-17,4749.0
2025-03-18,PH
2025-03-19,4688.0
2025-03-20,4707.0
2025-03-21,4721.5
2025-03-22,NT
2025-03-23,PH
2025-03-24,4669.5
2025-03-25,4634.5
2025-03-26,4624.5
2025-03-27,4677.0
2025-03-28,4705.0
2025-03-29,NT
2025-03-30,PH
2025-03-31,PH
2025-04-01,PH
2025-04-02,4835.0
2025-04-03,4791.0
2025-04-04,4764.5
2025-04-05,NT
2025-04-06,PH
2025-04-07,4644.0
2025-04-08,4576.5
2025-04-09,4489.5
2025-04-10,4520.0
2025-04-11,4498.0
2025-04-12,NT
2025-04-13,PH
2025-04-14,4418.5
2025-04-15,4332.0
2025-04-16,4246.5
2025-04-17,4262.0
2025-04-18,4180.0
2025-04-19,NT
2025-04-20,PH
2025-04-21,4094.0
2025-04-22,4113.0
2025-04-23,4142.5
2025-04-24,4157.5
2025-04-25,4172.5
2025-04-26,NT
2025-04-27,PH
2025-04-28,4075.0
2025-04-29,4018.0
2025-04-30,3974.5
2025-05-01,PH
2025-05-02,3968.0
2025-05-03,NT
2025-05-04,PH
2025-05-05,3870.0
2025-05-06,3878.0
2025-05-07,3781.0
2025-05-08,3779.5
2025-05-09,3787.0
2025-05-10,NT
2025-05-11,PH
2025-05-12,PH
2025-05-13,3868.5
2025-05-14,3969.0
2025-05-15,3882.5
2025-05-16,3879.0
2025-05-17,NT
2025-05-18,PH
2025-05-19,3889.5
2025-05-20,3944.5
2025-05-21,3907.5
2025-05-22,3850.0
2025-05-23,3860.0
2025-05-24,NT
2025-05-25,PH
2025-05-26,3817.0
2025-05-27,3841.0
2025-05-28,3880.5
2025-05-29,3952.0
2025-05-30,3854.5
2025-05-31,NT
2025-06-01,PH
2025-06-02,PH
2025-06-03,3953.0
2025-06-04,3940.5
2025-06-05,3936.0
