date,price
2024-01-01,PH
2024-01-02,3647.5
2024-01-03,3622.0
2024-01-04,3657.5
2024-01-05,3681.0
2024-01-06,NT
2024-01-07,PH
2024-01-08,3687.0
2024-01-09,3708.5
2024-01-10,3759.0
2024-01-11,3783.0
2024-01-12,3809.5
2024-01-13,NT
2024-01-14,PH
2024-01-15,3819.0
2024-01-16,3876.5
2024-01-17,3859.0
2024-01-18,3895.5
2024-01-19,3943.5
2024-01-20,NT
2024-01-21,PH
2024-01-22,3946.5
2024-01-23,3957.5
2024-01-24,3975.0
2024-01-25,PH
2024-01-26,3981.0
2024-01-27,NT
2024-01-28,PH
2024-01-29,3966.0
2024-01-30,3832.5
2024-01-31,NT
2024-02-01,NT
2024-02-02,3800.0
2024-02-03,NT
2024-02-04,PH
2024-02-05,3832.5
2024-02-06,3871.0
2024-02-07,3889.0
2024-02-08,3937.0
2024-02-09,3952.5
2024-02-10,NT
2024-02-11,PH
2024-02-12,PH
2024-02-13,3914.5
2024-02-14,3968.5
2024-02-15,3978.0
2024-02-16,3932.0
2024-02-17,NT
2024-02-18,PH
2024-02-19,3954.0
2024-02-20,3992.5
2024-02-21,3995.5
2024-02-22,3983.0
2024-02-23,3956.5
2024-02-24,NT
2024-02-25,PH
2024-02-26,3981.5
2024-02-27,4002.5
2024-02-28,4003.5
2024-02-29,NT
2024-03-01,4013.0
2024-03-02,NT
2024-03-03,PH
2024-03-04,4029.0
2024-03-05,4040.5
2024-03-06,4083.5
2024-03-07,4090.5
2024-03-08,4183.5
2024-03-09,NT
2024-03-10,PH
2024-03-11,4184.0
2024-03-12,4210.5
2024-03-13,4216.5
2024-03-14,4323.0
2024-03-15,4328.5
2024-03-16,NT
2024-03-17,PH
2024-03-18,4336.5
2024-03-19,4319.5
2024-03-20,4365.0
2024-03-21,4376.0
2024-03-22,4339.5
2024-03-23,NT
2024-03-24,PH
2024-03-25,4337.0
2024-03-26,4371.5
2024-03-27,4285.0
2024-03-28,PH
2024-03-29,NT
2024-03-30,NT
2024-03-31,PH
2024-04-01,4356.0
2024-04-02,4385.0
2024-04-03,4519.5
2024-04-04,4514.0
2024-04-05,4511.5
2024-04-06,NT
2024-04-07,PH
2024-04-08,4477.0
2024-04-09,4470.5
2024-04-10,PH
2024-04-11,PH
2024-04-12,4443.0
2024-04-13,NT
2024-04-14,PH
2024-04-15,4307.5
2024-04-16,4258.5
2024-04-17,4152.5
2024-04-18,4174.0
2024-04-19,4100.0
2024-04-20,NT
2024-04-21,PH
2024-04-22,4050.0
2024-04-23,4124.0
2024-04-24,4062.0
2024-04-25,3956.5
2024-04-26,3955.5
2024-04-27,NT
2024-04-28,PH
2024-04-29,3957.0
2024-04-30,3859.5
2024-05-01,PH
2024-05-02,3873.0
2024-05-03,3881.0
2024-05-04,NT
2024-05-05,PH
2024-05-06,3903.0
2024-05-07,3949.0
2024-05-08,3942.0
2024-05-09,3887.5
2024-05-10,3854.5
2024-05-11,NT
2024-05-12,PH
2024-05-13,3920.0
2024-05-14,3909.0
2024-05-15,3865.5
2024-05-16,3844.5
2024-05-17,3883.5
2024-05-18,NT
2024-05-19,PH
2024-05-20,3898.0
2024-05-21,3924.5
2024-05-22,PH
2024-05-23,3902.0
2024-05-24,3908.0
2024-05-25,NT
2024-05-26,PH
2024-05-27,3880.0
2024-05-28,3939.5
2024-05-29,4017.0
2024-05-30,3977.5
2024-05-31,4060.0
2024-06-01,NT
2024-06-02,PH
2024-06-03,PH
2024-06-04,3949.0
2024-06-05,3944.5
2024-06-06,3942.0
2024-06-07,3985.5
2024-06-08,NT
2024-06-09,PH
2024-06-10,3952.0
2024-06-11,3942.0
2024-06-12,3971.5
2024-06-13,3962.0
2024-06-14,3951.0
2024-06-15,NT
2024-06-16,PH
2024-06-17,PH
2024-06-18,3939.0
2024-06-19,3970.5
2024-06-20,3968.5
2024-06-21,3949.5
2024-06-22,NT
2024-06-23,PH
2024-06-24,3947.0
2024-06-25,3913.5
2024-06-26,3951.5
2024-06-27,3947.5
2024-06-28,3995.5
2024-06-29,NT
2024-06-30,PH
2024-07-01,4037.0
2024-07-02,4091.5
2024-07-03,4102.5
2024-07-04,4129.0
2024-07-05,4110.5
2024-07-06,NT
2024-07-07,PH
2024-07-08,PH
2024-07-09,4015.0
2024-07-10,3981.0
2024-07-11,4000.5
2024-07-12,4012.5
2024-07-13,NT
2024-07-14,PH
2024-07-15,3958.0
2024-07-16,3985.0
2024-07-17,4002.0
2024-07-18,3993.0
2024-07-19,4007.5
2024-07-20,NT
2024-07-21,PH
2024-07-22,4029.0
2024-07-23,4016.0
2024-07-24,4011.0
2024-07-25,4004.0
2024-07-26,4029.5
2024-07-27,NT
2024-07-28,PH
2024-07-29,4036.5
2024-07-30,4043.0
2024-07-31,NT
2024-08-01,3989.0
2024-08-02,4028.0
2024-08-03,NT
2024-08-04,PH
2024-08-05,3974.5
2024-08-06,3903.0
2024-08-07,3876.0
2024-08-08,3833.5
2024-08-09,3848.5
2024-08-10,NT
2024-08-11,PH
2024-08-12,3854.5
2024-08-13,3864.0
2024-08-14,3838.5
2024-08-15,3849.0
2024-08-16,3868.5
2024-08-17,NT
2024-08-18,PH
2024-08-19,3899.5
2024-08-20,3895.5
2024-08-21,3893.5
2024-08-22,3921.0
2024-08-23,3948.5
2024-08-24,NT
2024-08-25,PH
2024-08-26,4021.0
2024-08-27,4022.0
2024-08-28,4006.0
2024-08-29,4024.5
2024-08-30,4070.0
