weathercode,description,time,temperature_2m,relativehumidity_2m,rain,windspeed_10m,state,city,latitude,longitude,date
3,Clouds generally forming or developing,09:00:00,27.0,86,0.0,5.6,Melaka,Melaka,2.1889,102.2511,2024-08-24
2,State of sky on the whole unchanged,09:00:00,26.2,88,0.0,2.3,Kedah,Sungai Petani,5.65,100.48,2024-08-24
3,Clouds generally forming or developing,09:00:00,28.3,73,0.0,4.5,Sabah,Kota Kinabalu,5.975,116.0725,2024-08-24
2,State of sky on the whole unchanged,09:00:00,25.9,89,0.0,0.5,Perak,Ipoh,4.6,101.07,2024-08-24
3,Clouds generally forming or developing,09:00:00,25.1,93,0.0,1.6,Pahang,Kuala Lipis,4.184,102.042,2024-08-24
3,Clouds generally forming or developing,09:00:00,25.7,89,0.0,2.1,Pahang,Raub,3.7931,101.8569,2024-08-24
2,State of sky on the whole unchanged,09:00:00,26.8,89,0.0,2.5,Terengganu,Kuala Terengganu,5.3303,103.1408,2024-08-24
2,State of sky on the whole unchanged,09:00:00,26.9,86,0.0,3.9,Pulau Pinang,Butterworth,5.3992,100.3639,2024-08-24
2,State of sky on the whole unchanged,09:00:00,27.1,83,0.0,3.9,Sarawak,Kuching,1.5397,110.3542,2024-08-24
3,Clouds generally forming or developing,09:00:00,27.4,83,0.0,6.6,Sabah,Sandakan,5.8388,118.1173,2024-08-24
3,Clouds generally forming or developing,09:00:00,25.8,92,0.0,2.8,Selangor,Petaling Jaya,3.1073,101.6067,2024-08-24
2,State of sky on the whole unchanged,09:00:00,26.4,87,0.0,4.8,Perak,Taiping,4.85,100.7333,2024-08-24
2,State of sky on the whole unchanged,09:00:00,26.9,86,0.0,3.9,Pulau Pinang,George Town,5.4145,100.3292,2024-08-24
3,Clouds generally forming or developing,09:00:00,26.6,88,0.0,9.4,Pahang,Kuantan,3.8167,103.3333,2024-08-24
80,"Rain shower(s), slight",09:00:00,27.1,86,0.0,5.1,Labuan,Labuan,5.2803,115.2475,2024-08-24
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",09:00:00,25.3,96,0.0,2.7,Perak,Teluk Intan,4.0259,101.0213,2024-08-24
3,Clouds generally forming or developing,09:00:00,25.8,92,0.0,2.8,Selangor,Shah Alam,3.0833,101.5333,2024-08-24
80,"Rain shower(s), slight",09:00:00,27.5,84,0.0,7.1,Johor,Muar,2.05,102.56,2024-08-24
3,Clouds generally forming or developing,09:00:00,26.1,86,0.0,7.4,Kelantan,Kota Bharu,6.1333,102.25,2024-08-24
80,"Rain shower(s), slight",09:00:00,26.8,90,0.0,5.4,Johor,Batu Pahat,1.85,102.93,2024-08-24
3,Clouds generally forming or developing,09:00:00,26.3,88,0.0,4.9,Johor,Johor Bahru,1.4556,103.7611,2024-08-24
3,Clouds generally forming or developing,09:00:00,27.6,84,0.0,7.2,Sarawak,Bintulu,3.17,113.03,2024-08-24
2,State of sky on the whole unchanged,09:00:00,28.2,82,0.0,6.2,Sabah,Tawau,4.2448,117.8911,2024-08-24
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",09:00:00,25.5,91,0.0,5.2,Sarawak,Sibu,2.3,111.8167,2024-08-24
3,Clouds generally forming or developing,09:00:00,27.3,84,0.0,3.1,Sabah,Lahad Datu,5.03,118.34,2024-08-24
2,State of sky on the whole unchanged,09:00:00,25.6,94,0.0,1.4,Putrajaya,Putrajaya,2.93,101.69,2024-08-24
3,Clouds generally forming or developing,09:00:00,25.6,90,0.0,2.1,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2024-08-24
2,State of sky on the whole unchanged,09:00:00,26.1,90,0.0,0.7,Negeri Sembilan,Seremban,2.7297,101.9381,2024-08-24
3,Clouds generally forming or developing,09:00:00,27.0,86,0.0,6.4,Sarawak,Miri,4.4028,113.9933,2024-08-24
3,Clouds generally forming or developing,09:00:00,26.2,89,0.0,8.4,Johor,Kluang,2.0336,103.3194,2024-08-24
3,Clouds generally forming or developing,09:00:00,25.9,91,0.0,2.4,Kedah,Alor Setar,6.1167,100.3667,2024-08-24
3,Clouds generally forming or developing,09:00:00,25.7,93,0.0,2.8,Selangor,Klang,3.0333,101.45,2024-08-24
2,State of sky on the whole unchanged,09:00:00,26.3,89,0.0,3.1,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2024-08-24
3,Clouds generally forming or developing,09:00:00,26.4,89,0.0,4.1,Terengganu,Cukai,4.2332,103.4479,2024-08-24
3,Clouds generally forming or developing,09:00:00,26.4,91,0.0,2.9,Perlis,Kangar,6.4333,100.2,2024-08-24
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",08:00:00,24.5,98,0.0,1.3,Selangor,Petaling Jaya,3.1073,101.6067,2024-08-24
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",08:00:00,25.1,96,0.0,0.7,Perlis,Kangar,6.4333,100.2,2024-08-24
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",08:00:00,26.5,88,0.0,3.6,Johor,Muar,2.05,102.56,2024-08-24
3,Clouds generally forming or developing,08:00:00,24.5,95,0.0,3.3,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2024-08-24
3,Clouds generally forming or developing,08:00:00,26.4,90,0.0,4.5,Sarawak,Bintulu,3.17,113.03,2024-08-24
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",08:00:00,23.7,97,0.0,2.0,Negeri Sembilan,Seremban,2.7297,101.9381,2024-08-24
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",08:00:00,24.4,96,0.0,1.1,Kedah,Sungai Petani,5.65,100.48,2024-08-24
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",08:00:00,24.5,97,0.0,1.4,Terengganu,Kuala Terengganu,5.3303,103.1408,2024-08-24
