date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-08-28,08:00:00,Labuan,Labuan,5.2803,115.2475,27.4,89,0.0,4.7,3,Clouds generally forming or developing
2024-08-28,08:00:00,Perak,Taiping,4.85,100.7333,25.0,89,0.0,6.7,3,Clouds generally forming or developing
2024-08-28,08:00:00,Selangor,Klang,3.0333,101.45,23.9,91,0.0,1.8,3,Clouds generally forming or developing
2024-08-28,08:00:00,Putrajaya,Putrajaya,2.93,101.69,23.7,92,0.0,0.8,3,Clouds generally forming or developing
2024-08-28,08:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,26.2,84,0.0,2.9,3,Clouds generally forming or developing
2024-08-28,08:00:00,Sarawak,Bintulu,3.17,113.03,26.2,89,0.0,4.0,3,Clouds generally forming or developing
2024-08-28,08:00:00,Perak,Teluk Intan,4.0259,101.0213,24.0,96,0.0,2.5,3,Clouds generally forming or developing
2024-08-28,08:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,24.6,81,0.0,2.2,3,Clouds generally forming or developing
2024-08-28,08:00:00,Kedah,Sungai Petani,5.65,100.48,24.6,96,0.0,1.8,3,Clouds generally forming or developing
2024-08-28,08:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,23.5,93,0.0,2.5,3,Clouds generally forming or developing
2024-08-28,08:00:00,Pulau Pinang,George Town,5.4145,100.3292,26.2,84,0.0,2.9,3,Clouds generally forming or developing
2024-08-28,08:00:00,Pahang,Kuala Lipis,4.184,102.042,23.6,96,0.0,2.1,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,08:00:00,Sabah,Lahad Datu,5.03,118.34,27.2,88,0.0,4.7,3,Clouds generally forming or developing
2024-08-28,08:00:00,Johor,Muar,2.05,102.56,27.0,82,0.0,8.8,3,Clouds generally forming or developing
2024-08-28,08:00:00,Sabah,Tawau,4.2448,117.8911,26.8,90,0.0,5.8,3,Clouds generally forming or developing
2024-08-28,08:00:00,Johor,Johor Bahru,1.4556,103.7611,25.4,91,0.0,0.8,3,Clouds generally forming or developing
2024-08-28,08:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.9,94,0.0,6.0,3,Clouds generally forming or developing
2024-08-28,08:00:00,Sarawak,Kuching,1.5397,110.3542,25.2,95,0.0,3.2,3,Clouds generally forming or developing
2024-08-28,08:00:00,Sarawak,Sibu,2.3,111.8167,25.0,96,0.0,2.6,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,08:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,24.7,94,0.0,4.7,3,Clouds generally forming or developing
2024-08-28,08:00:00,Selangor,Shah Alam,3.0833,101.5333,23.8,90,0.0,2.5,3,Clouds generally forming or developing
2024-08-28,07:00:00,Sabah,Sandakan,5.8388,118.1173,25.3,97,0.0,5.8,2,State of sky on the whole unchanged
2024-08-28,07:00:00,Johor,Johor Bahru,1.4556,103.7611,25.1,91,0.0,2.6,80,"Rain shower(s), slight"
2024-08-28,07:00:00,Selangor,Klang,3.0333,101.45,23.7,91,0.0,2.8,3,Clouds generally forming or developing
2024-08-28,07:00:00,Pulau Pinang,George Town,5.4145,100.3292,25.9,88,0.1,3.9,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,07:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,26.0,88,0.1,3.9,61,"Rain, not freezing, continuous slight at time of observation"
2024-08-28,07:00:00,Perlis,Kangar,6.4333,100.2,25.5,94,0.2,8.4,80,"Rain shower(s), slight"
2024-08-28,07:00:00,Kedah,Sungai Petani,5.65,100.48,24.6,94,0.0,2.1,80,"Rain shower(s), slight"
2024-08-28,07:00:00,Pahang,Raub,3.7931,101.8569,23.6,82,0.0,3.1,3,Clouds generally forming or developing
2024-08-28,07:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,24.5,80,0.0,1.5,3,Clouds generally forming or developing
2024-08-28,07:00:00,Sarawak,Kuching,1.5397,110.3542,24.4,97,0.0,2.2,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,07:00:00,Sabah,Lahad Datu,5.03,118.34,26.3,93,0.0,2.5,2,State of sky on the whole unchanged
2024-08-28,07:00:00,Selangor,Petaling Jaya,3.1073,101.6067,23.6,88,0.0,2.7,3,Clouds generally forming or developing
2024-08-28,07:00:00,Perak,Ipoh,4.6,101.07,24.2,89,0.0,2.5,3,Clouds generally forming or developing
2024-08-28,07:00:00,Kedah,Alor Setar,6.1167,100.3667,25.4,89,0.0,10.5,80,"Rain shower(s), slight"
2024-08-28,07:00:00,Pahang,Kuala Lipis,4.184,102.042,23.3,96,0.0,2.9,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,07:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,24.5,97,0.0,0.7,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,07:00:00,Sarawak,Sibu,2.3,111.8167,23.9,98,0.0,2.2,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
