weathercode,description,time,temperature_2m,relativehumidity_2m,rain,windspeed_10m,state,city,latitude,longitude,date
3,Clouds generally forming or developing,10:00:00,26.7,82,0.0,20.1,Kedah,Alor Setar,6.1167,100.3667,2025-12-17
65,"Rain, not freezing, continuous heavy at time of observation",10:00:00,23.9,98,28.0,9.1,Johor,Kluang,2.0336,103.3194,2025-12-17
63,"Rain, not freezing, continuous moderate at time of observation",10:00:00,25.0,95,2.6,12.4,Terengganu,Cukai,4.2332,103.4479,2025-12-17
80,"Rain shower(s), slight",10:00:00,24.8,94,0.1,1.4,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2025-12-17
2,State of sky on the whole unchanged,10:00:00,28.1,79,0.0,5.4,Sarawak,Kuching,1.5397,110.3542,2025-12-17
80,"Rain shower(s), slight",10:00:00,23.9,95,0.1,2.6,Pahang,Kuala Lipis,4.184,102.042,2025-12-17
63,"Rain, not freezing, continuous moderate at time of observation",10:00:00,25.1,92,3.5,15.5,Johor,Muar,2.05,102.56,2025-12-17
3,Clouds generally forming or developing,10:00:00,27.9,76,0.0,8.9,Sabah,Lahad Datu,5.03,118.34,2025-12-17
1,Clouds generally dissolving or becoming less developed,10:00:00,28.1,78,0.0,4.9,Sarawak,Bintulu,3.17,113.03,2025-12-17
3,Clouds generally forming or developing,10:00:00,27.1,84,0.0,16.2,Perlis,Kangar,6.4333,100.2,2025-12-17
1,Clouds generally dissolving or becoming less developed,10:00:00,27.3,82,0.0,6.8,Sarawak,Miri,4.4028,113.9933,2025-12-17
63,"Rain, not freezing, continuous moderate at time of observation",10:00:00,24.5,95,9.8,12.4,Johor,Batu Pahat,1.85,102.93,2025-12-17
1,Clouds generally dissolving or becoming less developed,10:00:00,29.2,71,0.0,2.7,Sabah,Kota Kinabalu,5.975,116.0725,2025-12-17
63,"Rain, not freezing, continuous moderate at time of observation",10:00:00,24.3,97,3.5,8.9,Pahang,Kuantan,3.8167,103.3333,2025-12-17
80,"Rain shower(s), slight",10:00:00,24.5,95,0.6,5.0,Selangor,Klang,3.0333,101.45,2025-12-17
3,Clouds generally forming or developing,10:00:00,28.6,77,0.0,8.2,Sabah,Tawau,4.2448,117.8911,2025-12-17
2,State of sky on the whole unchanged,10:00:00,28.7,76,0.0,4.3,Sarawak,Sibu,2.3,111.8167,2025-12-17
61,"Rain, not freezing, continuous slight at time of observation",10:00:00,24.7,93,0.4,1.3,Putrajaya,Putrajaya,2.93,101.69,2025-12-17
3,Clouds generally forming or developing,10:00:00,26.0,93,0.0,3.6,Perak,Ipoh,4.6,101.07,2025-12-17
2,State of sky on the whole unchanged,10:00:00,28.2,79,0.0,1.8,Labuan,Labuan,5.2803,115.2475,2025-12-17
3,Clouds generally forming or developing,10:00:00,27.5,77,0.0,6.5,Pulau Pinang,George Town,5.4145,100.3292,2025-12-17
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",10:00:00,25.3,93,0.8,5.9,Terengganu,Kuala Terengganu,5.3303,103.1408,2025-12-17
3,Clouds generally forming or developing,10:00:00,28.0,75,0.0,7.7,Kedah,Sungai Petani,5.65,100.48,2025-12-17
80,"Rain shower(s), slight",10:00:00,24.6,94,0.1,1.4,Selangor,Petaling Jaya,3.1073,101.6067,2025-12-17
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",10:00:00,25.2,94,0.6,4.1,Kelantan,Kota Bharu,6.1333,102.25,2025-12-17
80,"Rain shower(s), slight",10:00:00,27.0,85,0.0,5.6,Sabah,Sandakan,5.8388,118.1173,2025-12-17
61,"Rain, not freezing, continuous slight at time of observation",10:00:00,24.2,94,0.3,0.7,Negeri Sembilan,Seremban,2.7297,101.9381,2025-12-17
3,Clouds generally forming or developing,10:00:00,28.8,90,0.0,3.3,Perak,Taiping,4.85,100.7333,2025-12-17
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",10:00:00,24.8,93,0.0,2.6,Johor,Johor Bahru,1.4556,103.7611,2025-12-17
3,Clouds generally forming or developing,10:00:00,27.6,77,0.0,6.5,Pulau Pinang,Butterworth,5.3992,100.3639,2025-12-17
80,"Rain shower(s), slight",10:00:00,24.5,95,0.4,3.6,Selangor,Shah Alam,3.0833,101.5333,2025-12-17
61,"Rain, not freezing, continuous slight at time of observation",10:00:00,24.9,94,0.4,6.4,Perak,Teluk Intan,4.0259,101.0213,2025-12-17
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",09:00:00,25.3,92,0.7,6.4,Terengganu,Kuala Terengganu,5.3303,103.1408,2025-12-17
80,"Rain shower(s), slight",09:00:00,24.4,96,0.1,4.9,Selangor,Klang,3.0333,101.45,2025-12-17
2,State of sky on the whole unchanged,09:00:00,27.6,82,0.0,3.6,Labuan,Labuan,5.2803,115.2475,2025-12-17
61,"Rain, not freezing, continuous slight at time of observation",09:00:00,23.7,97,0.6,1.8,Negeri Sembilan,Seremban,2.7297,101.9381,2025-12-17
3,Clouds generally forming or developing,09:00:00,27.0,79,0.0,5.9,Pulau Pinang,George Town,5.4145,100.3292,2025-12-17
3,Clouds generally forming or developing,09:00:00,27.7,83,0.0,7.9,Sabah,Tawau,4.2448,117.8911,2025-12-17
63,"Rain, not freezing, continuous moderate at time of observation",09:00:00,23.9,97,2.7,4.6,Putrajaya,Putrajaya,2.93,101.69,2025-12-17
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",09:00:00,25.0,94,0.6,2.8,Kelantan,Kota Bharu,6.1333,102.25,2025-12-17
3,Clouds generally forming or developing,09:00:00,27.0,79,0.0,5.9,Pulau Pinang,Butterworth,5.3992,100.3639,2025-12-17
65,"Rain, not freezing, continuous heavy at time of observation",09:00:00,24.4,96,11.9,13.7,Johor,Batu Pahat,1.85,102.93,2025-12-17
63,"Rain, not freezing, continuous moderate at time of observation",09:00:00,24.9,96,4.2,12.8,Terengganu,Cukai,4.2332,103.4479,2025-12-17
61,"Rain, not freezing, continuous slight at time of observation",09:00:00,25.4,96,0.0,3.3,Perak,Ipoh,4.6,101.07,2025-12-17
