weathercode,description,time,temperature_2m,relativehumidity_2m,rain,windspeed_10m,state,city,latitude,longitude,date
3,Clouds generally forming or developing,07:00:00,20.2,100,0.0,5.1,Pahang,Raub,3.7931,101.8569,2026-01-31
3,Clouds generally forming or developing,07:00:00,26.2,87,0.0,7.1,Sarawak,Bintulu,3.17,113.03,2026-01-31
1,Clouds generally dissolving or becoming less developed,07:00:00,23.8,90,0.0,4.9,Johor,Johor Bahru,1.4556,103.7611,2026-01-31
2,State of sky on the whole unchanged,07:00:00,24.8,92,0.0,0.8,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2026-01-31
2,State of sky on the whole unchanged,07:00:00,26.4,84,0.0,4.7,Pulau Pinang,George Town,5.4145,100.3292,2026-01-31
3,Clouds generally forming or developing,07:00:00,24.1,86,0.0,2.3,Pahang,Kuala Lipis,4.184,102.042,2026-01-31
0,Cloud development not observed or not observable,07:00:00,24.9,82,0.0,13.8,Perlis,Kangar,6.4333,100.2,2026-01-31
3,Clouds generally forming or developing,07:00:00,24.9,89,0.0,4.0,Perak,Teluk Intan,4.0259,101.0213,2026-01-31
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",07:00:00,21.2,97,0.0,3.2,Terengganu,Kuala Terengganu,5.3303,103.1408,2026-01-31
3,Clouds generally forming or developing,07:00:00,25.7,86,0.0,5.6,Sabah,Tawau,4.2448,117.8911,2026-01-31
2,State of sky on the whole unchanged,07:00:00,25.3,86,0.0,1.1,Selangor,Klang,3.0333,101.45,2026-01-31
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",07:00:00,24.2,98,0.0,4.6,Perak,Ipoh,4.6,101.07,2026-01-31
2,State of sky on the whole unchanged,07:00:00,24.5,84,0.0,17.8,Melaka,Melaka,2.1889,102.2511,2026-01-31
3,Clouds generally forming or developing,07:00:00,23.3,94,0.0,4.1,Sabah,Lahad Datu,5.03,118.34,2026-01-31
2,State of sky on the whole unchanged,07:00:00,26.4,84,0.0,4.7,Pulau Pinang,Butterworth,5.3992,100.3639,2026-01-31
2,State of sky on the whole unchanged,07:00:00,21.7,93,0.0,3.4,Pahang,Kuantan,3.8167,103.3333,2026-01-31
2,State of sky on the whole unchanged,07:00:00,24.5,92,0.0,0.8,Selangor,Petaling Jaya,3.1073,101.6067,2026-01-31
3,Clouds generally forming or developing,07:00:00,25.1,92,0.0,9.8,Sarawak,Miri,4.4028,113.9933,2026-01-31
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",07:00:00,23.3,98,0.0,2.6,Sarawak,Sibu,2.3,111.8167,2026-01-31
2,State of sky on the whole unchanged,07:00:00,24.4,93,0.0,0.7,Selangor,Shah Alam,3.0833,101.5333,2026-01-31
2,State of sky on the whole unchanged,07:00:00,26.9,94,0.0,1.8,Perak,Taiping,4.85,100.7333,2026-01-31
2,State of sky on the whole unchanged,07:00:00,24.3,85,0.0,5.7,Terengganu,Cukai,4.2332,103.4479,2026-01-31
3,Clouds generally forming or developing,07:00:00,22.0,95,0.0,2.9,Kelantan,Kota Bharu,6.1333,102.25,2026-01-31
2,State of sky on the whole unchanged,07:00:00,22.5,95,0.0,4.6,Johor,Kluang,2.0336,103.3194,2026-01-31
2,State of sky on the whole unchanged,07:00:00,23.3,91,0.0,7.1,Johor,Batu Pahat,1.85,102.93,2026-01-31
3,Clouds generally forming or developing,07:00:00,25.3,92,0.0,3.2,Sabah,Kota Kinabalu,5.975,116.0725,2026-01-31
2,State of sky on the whole unchanged,07:00:00,24.7,79,0.0,18.3,Kedah,Alor Setar,6.1167,100.3667,2026-01-31
2,State of sky on the whole unchanged,07:00:00,26.2,84,0.0,4.7,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2026-01-31
2,State of sky on the whole unchanged,07:00:00,24.9,84,0.0,16.2,Johor,Muar,2.05,102.56,2026-01-31
80,"Rain shower(s), slight",07:00:00,24.9,92,0.2,12.5,Labuan,Labuan,5.2803,115.2475,2026-01-31
3,Clouds generally forming or developing,07:00:00,24.4,93,0.0,1.8,Sarawak,Kuching,1.5397,110.3542,2026-01-31
3,Clouds generally forming or developing,07:00:00,25.1,90,0.0,5.5,Sabah,Sandakan,5.8388,118.1173,2026-01-31
2,State of sky on the whole unchanged,07:00:00,23.9,81,0.0,5.1,Negeri Sembilan,Seremban,2.7297,101.9381,2026-01-31
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",06:00:00,21.4,97,0.0,3.1,Terengganu,Kuala Terengganu,5.3303,103.1408,2026-01-31
3,Clouds generally forming or developing,06:00:00,23.2,94,0.0,4.8,Sabah,Lahad Datu,5.03,118.34,2026-01-31
2,State of sky on the whole unchanged,06:00:00,26.4,84,0.0,4.4,Pulau Pinang,George Town,5.4145,100.3292,2026-01-31
2,State of sky on the whole unchanged,06:00:00,26.5,84,0.0,4.4,Pulau Pinang,Butterworth,5.3992,100.3639,2026-01-31
2,State of sky on the whole unchanged,06:00:00,26.2,84,0.0,4.4,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2026-01-31
3,Clouds generally forming or developing,06:00:00,25.2,89,0.0,6.1,Sabah,Sandakan,5.8388,118.1173,2026-01-31
3,Clouds generally forming or developing,06:00:00,25.4,91,0.0,3.1,Sabah,Kota Kinabalu,5.975,116.0725,2026-01-31
2,State of sky on the whole unchanged,06:00:00,25.3,86,0.0,2.0,Selangor,Klang,3.0333,101.45,2026-01-31
2,State of sky on the whole unchanged,06:00:00,24.5,84,0.0,18.1,Melaka,Melaka,2.1889,102.2511,2026-01-31
3,Clouds generally forming or developing,06:00:00,21.9,95,0.0,2.9,Kelantan,Kota Bharu,6.1333,102.25,2026-01-31
2,State of sky on the whole unchanged,06:00:00,24.9,84,0.0,17.0,Johor,Muar,2.05,102.56,2026-01-31
3,Clouds generally forming or developing,06:00:00,25.2,92,0.0,9.6,Sarawak,Miri,4.4028,113.9933,2026-01-31
3,Clouds generally forming or developing,06:00:00,26.3,86,0.0,6.4,Sarawak,Bintulu,3.17,113.03,2026-01-31
1,Clouds generally dissolving or becoming less developed,06:00:00,25.0,82,0.0,14.0,Perlis,Kangar,6.4333,100.2,2026-01-31
1,Clouds generally dissolving or becoming less developed,06:00:00,23.3,91,0.0,7.6,Johor,Batu Pahat,1.85,102.93,2026-01-31
1,Clouds generally dissolving or becoming less developed,06:00:00,22.5,95,0.0,4.1,Johor,Kluang,2.0336,103.3194,2026-01-31
3,Clouds generally forming or developing,06:00:00,24.3,86,0.0,2.2,Pahang,Kuala Lipis,4.184,102.042,2026-01-31
3,Clouds generally forming or developing,06:00:00,25.6,86,0.0,5.7,Sabah,Tawau,4.2448,117.8911,2026-01-31
2,State of sky on the whole unchanged,06:00:00,24.3,85,0.0,5.6,Terengganu,Cukai,4.2332,103.4479,2026-01-31
1,Clouds generally dissolving or becoming less developed,06:00:00,24.8,79,0.0,19.1,Kedah,Alor Setar,6.1167,100.3667,2026-01-31
3,Clouds generally forming or developing,06:00:00,24.7,91,0.0,1.1,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2026-01-31
3,Clouds generally forming or developing,06:00:00,24.5,91,0.0,1.1,Selangor,Petaling Jaya,3.1073,101.6067,2026-01-31
3,Clouds generally forming or developing,06:00:00,25.0,89,0.0,3.8,Perak,Teluk Intan,4.0259,101.0213,2026-01-31
1,Clouds generally dissolving or becoming less developed,06:00:00,23.8,90,0.0,4.7,Johor,Johor Bahru,1.4556,103.7611,2026-01-31
2,State of sky on the whole unchanged,06:00:00,23.9,82,0.0,4.6,Negeri Sembilan,Seremban,2.7297,101.9381,2026-01-31
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",06:00:00,24.4,97,0.0,4.1,Perak,Ipoh,4.6,101.07,2026-01-31
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",06:00:00,23.4,98,0.0,2.3,Sarawak,Sibu,2.3,111.8167,2026-01-31
2,State of sky on the whole unchanged,06:00:00,24.5,92,0.0,1.4,Selangor,Shah Alam,3.0833,101.5333,2026-01-31
2,State of sky on the whole unchanged,06:00:00,21.7,93,0.0,3.7,Pahang,Kuantan,3.8167,103.3333,2026-01-31
