weathercode,description,time,temperature_2m,relativehumidity_2m,rain,windspeed_10m,state,city,latitude,longitude,date
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",06:00:00,24.0,88,0.0,2.3,Negeri Sembilan,Seremban,2.7297,101.9381,2026-02-06
2,State of sky on the whole unchanged,06:00:00,25.3,82,0.0,3.1,Kedah,Sungai Petani,5.65,100.48,2026-02-06
80,"Rain shower(s), slight",06:00:00,25.0,86,0.0,14.8,Melaka,Melaka,2.1889,102.2511,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",06:00:00,24.8,95,0.0,2.7,Selangor,Shah Alam,3.0833,101.5333,2026-02-06
3,Clouds generally forming or developing,06:00:00,23.7,93,0.0,3.7,Johor,Kluang,2.0336,103.3194,2026-02-06
80,"Rain shower(s), slight",06:00:00,27.1,86,0.0,3.0,Perak,Taiping,4.85,100.7333,2026-02-06
3,Clouds generally forming or developing,06:00:00,26.9,84,0.0,4.3,Pulau Pinang,Butterworth,5.3992,100.3639,2026-02-06
80,"Rain shower(s), slight",06:00:00,25.5,90,0.0,7.0,Sarawak,Miri,4.4028,113.9933,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",06:00:00,24.5,94,0.0,2.6,Selangor,Petaling Jaya,3.1073,101.6067,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",06:00:00,25.5,88,0.0,1.8,Selangor,Klang,3.0333,101.45,2026-02-06
3,Clouds generally forming or developing,06:00:00,22.6,95,0.0,2.5,Kelantan,Kota Bharu,6.1333,102.25,2026-02-06
80,"Rain shower(s), slight",06:00:00,25.7,87,0.0,8.9,Labuan,Labuan,5.2803,115.2475,2026-02-06
3,Clouds generally forming or developing,06:00:00,26.6,84,0.0,4.3,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2026-02-06
80,"Rain shower(s), slight",06:00:00,23.8,93,0.0,1.5,Pahang,Kuala Lipis,4.184,102.042,2026-02-06
3,Clouds generally forming or developing,06:00:00,22.7,95,0.0,3.8,Pahang,Kuantan,3.8167,103.3333,2026-02-06
3,Clouds generally forming or developing,06:00:00,26.8,84,0.0,4.3,Pulau Pinang,George Town,5.4145,100.3292,2026-02-06
3,Clouds generally forming or developing,06:00:00,25.4,89,0.0,8.9,Sabah,Sandakan,5.8388,118.1173,2026-02-06
3,Clouds generally forming or developing,06:00:00,24.0,93,0.0,2.7,Sarawak,Kuching,1.5397,110.3542,2026-02-06
1,Clouds generally dissolving or becoming less developed,06:00:00,25.8,82,0.0,9.9,Perlis,Kangar,6.4333,100.2,2026-02-06
3,Clouds generally forming or developing,06:00:00,25.1,93,0.0,4.4,Sabah,Kota Kinabalu,5.975,116.0725,2026-02-06
3,Clouds generally forming or developing,06:00:00,26.1,82,0.0,6.6,Sabah,Tawau,4.2448,117.8911,2026-02-06
1,Clouds generally dissolving or becoming less developed,06:00:00,25.3,86,0.0,15.5,Kedah,Alor Setar,6.1167,100.3667,2026-02-06
2,State of sky on the whole unchanged,05:00:00,24.5,92,0.0,5.6,Johor,Batu Pahat,1.85,102.93,2026-02-06
3,Clouds generally forming or developing,05:00:00,27.2,82,0.0,4.4,Pulau Pinang,George Town,5.4145,100.3292,2026-02-06
3,Clouds generally forming or developing,05:00:00,25.5,88,0.0,8.3,Sabah,Sandakan,5.8388,118.1173,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",05:00:00,26.3,88,0.0,5.6,Sarawak,Bintulu,3.17,113.03,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",05:00:00,27.3,87,0.0,4.7,Perak,Taiping,4.85,100.7333,2026-02-06
3,Clouds generally forming or developing,05:00:00,23.6,93,0.0,4.6,Sabah,Lahad Datu,5.03,118.34,2026-02-06
3,Clouds generally forming or developing,05:00:00,22.9,95,0.0,4.2,Pahang,Kuantan,3.8167,103.3333,2026-02-06
2,State of sky on the whole unchanged,05:00:00,25.8,80,0.0,3.8,Kedah,Sungai Petani,5.65,100.48,2026-02-06
3,Clouds generally forming or developing,05:00:00,25.3,92,0.0,4.5,Sabah,Kota Kinabalu,5.975,116.0725,2026-02-06
80,"Rain shower(s), slight",05:00:00,24.1,92,0.0,2.7,Pahang,Kuala Lipis,4.184,102.042,2026-02-06
3,Clouds generally forming or developing,05:00:00,23.9,92,0.0,4.6,Johor,Kluang,2.0336,103.3194,2026-02-06
2,State of sky on the whole unchanged,05:00:00,25.4,85,0.0,13.5,Johor,Muar,2.05,102.56,2026-02-06
