date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-08-01,10:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,29.5,74,0.0,6.2,3,Clouds generally forming or developing
2024-08-01,10:00:00,Sarawak,Kuching,1.5397,110.3542,30.0,72,0.0,1.6,1,Clouds generally dissolving or becoming less developed
2024-08-01,10:00:00,Melaka,Melaka,2.1889,102.2511,28.6,79,0.0,8.8,1,Clouds generally dissolving or becoming less developed
2024-08-01,10:00:00,Perak,Ipoh,4.6,101.07,28.9,77,0.0,3.7,2,State of sky on the whole unchanged
2024-08-01,10:00:00,Putrajaya,Putrajaya,2.93,101.69,28.7,75,0.0,5.1,1,Clouds generally dissolving or becoming less developed
2024-08-01,10:00:00,Pulau Pinang,George Town,5.4145,100.3292,29.4,74,0.0,6.2,3,Clouds generally forming or developing
2024-08-01,10:00:00,Sabah,Kota Kinabalu,5.975,116.0725,30.3,67,0.0,3.6,2,State of sky on the whole unchanged
2024-08-01,10:00:00,Kelantan,Kota Bharu,6.1333,102.25,28.3,81,0.0,6.1,3,Clouds generally forming or developing
2024-08-01,10:00:00,Sabah,Sandakan,5.8388,118.1173,29.6,72,0.0,3.7,2,State of sky on the whole unchanged
2024-08-01,10:00:00,Perak,Taiping,4.85,100.7333,29.5,70,0.0,8.0,3,Clouds generally forming or developing
2024-08-01,10:00:00,Pahang,Raub,3.7931,101.8569,27.1,84,0.0,4.0,2,State of sky on the whole unchanged
2024-08-01,10:00:00,Johor,Johor Bahru,1.4556,103.7611,29.7,75,0.0,8.9,2,State of sky on the whole unchanged
2024-08-01,10:00:00,Perlis,Kangar,6.4333,100.2,30.0,78,0.0,4.5,2,State of sky on the whole unchanged
2024-08-01,10:00:00,Perak,Teluk Intan,4.0259,101.0213,29.2,75,0.0,8.9,3,Clouds generally forming or developing
2024-08-01,10:00:00,Sabah,Lahad Datu,5.03,118.34,29.5,71,0.0,1.9,2,State of sky on the whole unchanged
2024-08-01,10:00:00,Sabah,Tawau,4.2448,117.8911,28.6,79,0.0,2.5,2,State of sky on the whole unchanged
2024-08-01,10:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,29.3,71,0.0,5.6,1,Clouds generally dissolving or becoming less developed
