weathercode,description,time,temperature_2m,relativehumidity_2m,rain,windspeed_10m,state,city,latitude,longitude,date
3,Clouds generally forming or developing,10:00:00,30.0,58,0.0,0.8,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2025-05-30
3,Clouds generally forming or developing,10:00:00,29.1,83,0.0,3.6,Johor,Johor Bahru,1.4556,103.7611,2025-05-30
3,Clouds generally forming or developing,10:00:00,30.7,81,0.0,7.9,Perlis,Kangar,6.4333,100.2,2025-05-30
3,Clouds generally forming or developing,10:00:00,28.5,80,0.0,3.6,Johor,Batu Pahat,1.85,102.93,2025-05-30
3,Clouds generally forming or developing,10:00:00,27.5,87,0.0,6.4,Sarawak,Sibu,2.3,111.8167,2025-05-30
61,"Rain, not freezing, continuous slight at time of observation",10:00:00,25.4,82,0.1,2.9,Pahang,Kuala Lipis,4.184,102.042,2025-05-30
3,Clouds generally forming or developing,10:00:00,29.0,70,0.0,5.9,Perak,Ipoh,4.6,101.07,2025-05-30
3,Clouds generally forming or developing,10:00:00,28.1,73,0.0,9.4,Terengganu,Cukai,4.2332,103.4479,2025-05-30
2,State of sky on the whole unchanged,10:00:00,28.6,81,0.0,6.6,Sabah,Tawau,4.2448,117.8911,2025-05-30
2,State of sky on the whole unchanged,10:00:00,28.8,76,0.0,5.4,Johor,Muar,2.05,102.56,2025-05-30
2,State of sky on the whole unchanged,10:00:00,29.1,77,0.0,5.8,Selangor,Klang,3.0333,101.45,2025-05-30
3,Clouds generally forming or developing,10:00:00,29.3,77,0.0,4.1,Terengganu,Kuala Terengganu,5.3303,103.1408,2025-05-30
3,Clouds generally forming or developing,10:00:00,29.7,73,0.0,8.4,Perak,Taiping,4.85,100.7333,2025-05-30
2,State of sky on the whole unchanged,10:00:00,30.4,70,0.0,10.9,Sabah,Sandakan,5.8388,118.1173,2025-05-30
3,Clouds generally forming or developing,10:00:00,28.4,64,0.0,12.0,Pahang,Kuantan,3.8167,103.3333,2025-05-30
80,"Rain shower(s), slight",10:00:00,27.7,81,0.0,11.3,Labuan,Labuan,5.2803,115.2475,2025-05-30
3,Clouds generally forming or developing,10:00:00,29.8,80,0.0,8.4,Pulau Pinang,George Town,5.4145,100.3292,2025-05-30
3,Clouds generally forming or developing,10:00:00,29.0,87,0.0,4.0,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2025-05-30
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",10:00:00,29.2,80,0.0,10.2,Sabah,Kota Kinabalu,5.975,116.0725,2025-05-30
3,Clouds generally forming or developing,10:00:00,29.2,75,0.0,3.6,Selangor,Petaling Jaya,3.1073,101.6067,2025-05-30
3,Clouds generally forming or developing,10:00:00,28.3,83,0.0,2.9,Johor,Kluang,2.0336,103.3194,2025-05-30
3,Clouds generally forming or developing,10:00:00,28.3,85,0.0,5.8,Perak,Teluk Intan,4.0259,101.0213,2025-05-30
3,Clouds generally forming or developing,10:00:00,29.4,79,0.0,6.4,Sarawak,Kuching,1.5397,110.3542,2025-05-30
3,Clouds generally forming or developing,10:00:00,28.7,75,0.0,0.8,Negeri Sembilan,Seremban,2.7297,101.9381,2025-05-30
3,Clouds generally forming or developing,10:00:00,27.6,82,0.0,13.7,Sarawak,Miri,4.4028,113.9933,2025-05-30
3,Clouds generally forming or developing,10:00:00,29.9,80,0.0,8.4,Pulau Pinang,Butterworth,5.3992,100.3639,2025-05-30
3,Clouds generally forming or developing,10:00:00,30.1,74,0.0,7.9,Kelantan,Kota Bharu,6.1333,102.25,2025-05-30
3,Clouds generally forming or developing,10:00:00,28.4,77,0.0,1.6,Putrajaya,Putrajaya,2.93,101.69,2025-05-30
3,Clouds generally forming or developing,10:00:00,29.2,75,0.0,3.6,Selangor,Shah Alam,3.0833,101.5333,2025-05-30
3,Clouds generally forming or developing,10:00:00,29.1,83,0.0,4.8,Kedah,Sungai Petani,5.65,100.48,2025-05-30
3,Clouds generally forming or developing,10:00:00,27.8,85,0.0,7.4,Sarawak,Bintulu,3.17,113.03,2025-05-30
3,Clouds generally forming or developing,10:00:00,30.2,79,0.0,6.0,Kedah,Alor Setar,6.1167,100.3667,2025-05-30
3,Clouds generally forming or developing,09:00:00,26.6,90,0.0,1.5,Johor,Kluang,2.0336,103.3194,2025-05-30
3,Clouds generally forming or developing,09:00:00,26.7,88,0.0,7.3,Sarawak,Bintulu,3.17,113.03,2025-05-30
3,Clouds generally forming or developing,09:00:00,27.6,70,0.0,8.2,Terengganu,Cukai,4.2332,103.4479,2025-05-30
3,Clouds generally forming or developing,09:00:00,29.0,90,0.0,3.1,Perlis,Kangar,6.4333,100.2,2025-05-30
61,"Rain, not freezing, continuous slight at time of observation",09:00:00,25.0,84,0.9,3.6,Pahang,Kuala Lipis,4.184,102.042,2025-05-30
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",09:00:00,27.6,83,0.0,10.8,Labuan,Labuan,5.2803,115.2475,2025-05-30
3,Clouds generally forming or developing,09:00:00,28.3,88,0.0,4.3,Kedah,Alor Setar,6.1167,100.3667,2025-05-30
3,Clouds generally forming or developing,09:00:00,27.3,85,0.0,4.7,Johor,Muar,2.05,102.56,2025-05-30
3,Clouds generally forming or developing,09:00:00,27.5,88,0.0,5.5,Perak,Teluk Intan,4.0259,101.0213,2025-05-30
3,Clouds generally forming or developing,09:00:00,28.1,84,0.0,6.2,Sabah,Tawau,4.2448,117.8911,2025-05-30
80,"Rain shower(s), slight",09:00:00,26.9,85,0.0,13.4,Sarawak,Miri,4.4028,113.9933,2025-05-30
80,"Rain shower(s), slight",09:00:00,28.2,91,0.0,2.8,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2025-05-30
3,Clouds generally forming or developing,09:00:00,27.2,89,0.0,2.3,Johor,Batu Pahat,1.85,102.93,2025-05-30
3,Clouds generally forming or developing,09:00:00,28.2,86,0.0,3.8,Kedah,Sungai Petani,5.65,100.48,2025-05-30
3,Clouds generally forming or developing,09:00:00,27.2,91,0.0,1.3,Negeri Sembilan,Seremban,2.7297,101.9381,2025-05-30
2,State of sky on the whole unchanged,09:00:00,29.0,77,0.0,9.9,Sabah,Sandakan,5.8388,118.1173,2025-05-30
3,Clouds generally forming or developing,09:00:00,27.9,88,0.0,1.9,Johor,Johor Bahru,1.4556,103.7611,2025-05-30
2,State of sky on the whole unchanged,09:00:00,27.1,84,0.0,1.5,Putrajaya,Putrajaya,2.93,101.69,2025-05-30
3,Clouds generally forming or developing,09:00:00,28.0,86,0.0,5.1,Sarawak,Kuching,1.5397,110.3542,2025-05-30
3,Clouds generally forming or developing,09:00:00,28.5,81,0.0,6.0,Kelantan,Kota Bharu,6.1333,102.25,2025-05-30
3,Clouds generally forming or developing,09:00:00,27.9,82,0.0,1.8,Selangor,Shah Alam,3.0833,101.5333,2025-05-30
3,Clouds generally forming or developing,09:00:00,27.5,69,0.0,12.3,Pahang,Kuantan,3.8167,103.3333,2025-05-30
3,Clouds generally forming or developing,09:00:00,28.2,70,0.0,2.9,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2025-05-30
2,State of sky on the whole unchanged,09:00:00,27.7,83,0.0,0.8,Perak,Ipoh,4.6,101.07,2025-05-30
3,Clouds generally forming or developing,09:00:00,27.9,82,0.0,1.8,Selangor,Petaling Jaya,3.1073,101.6067,2025-05-30
3,Clouds generally forming or developing,09:00:00,29.2,84,0.0,7.8,Pulau Pinang,George Town,5.4145,100.3292,2025-05-30
3,Clouds generally forming or developing,09:00:00,27.9,89,0.0,2.3,Terengganu,Kuala Terengganu,5.3303,103.1408,2025-05-30
2,State of sky on the whole unchanged,09:00:00,27.5,84,0.0,3.3,Selangor,Klang,3.0333,101.45,2025-05-30
3,Clouds generally forming or developing,09:00:00,26.3,92,0.0,6.7,Sarawak,Sibu,2.3,111.8167,2025-05-30
3,Clouds generally forming or developing,09:00:00,29.3,84,0.0,7.8,Pulau Pinang,Butterworth,5.3992,100.3639,2025-05-30
3,Clouds generally forming or developing,09:00:00,28.7,78,0.0,6.2,Perak,Taiping,4.85,100.7333,2025-05-30
3,Clouds generally forming or developing,09:00:00,28.9,80,0.0,8.4,Sabah,Kota Kinabalu,5.975,116.0725,2025-05-30
2,State of sky on the whole unchanged,08:00:00,27.6,84,0.0,7.9,Sabah,Sandakan,5.8388,118.1173,2025-05-30
3,Clouds generally forming or developing,08:00:00,29.0,87,0.0,5.7,Pulau Pinang,Butterworth,5.3992,100.3639,2025-05-30
3,Clouds generally forming or developing,08:00:00,25.8,93,0.0,1.9,Johor,Batu Pahat,1.85,102.93,2025-05-30
2,State of sky on the whole unchanged,08:00:00,27.6,85,0.0,5.2,Perak,Taiping,4.85,100.7333,2025-05-30
2,State of sky on the whole unchanged,08:00:00,25.1,92,0.0,1.1,Putrajaya,Putrajaya,2.93,101.69,2025-05-30
2,State of sky on the whole unchanged,08:00:00,25.8,80,0.0,2.8,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2025-05-30
3,Clouds generally forming or developing,08:00:00,27.3,68,0.0,7.8,Terengganu,Cukai,4.2332,103.4479,2025-05-30
2,State of sky on the whole unchanged,08:00:00,27.6,86,0.0,5.3,Sabah,Tawau,4.2448,117.8911,2025-05-30
3,Clouds generally forming or developing,08:00:00,26.5,86,0.0,11.0,Sarawak,Miri,4.4028,113.9933,2025-05-30
2,State of sky on the whole unchanged,08:00:00,25.9,89,0.0,2.5,Selangor,Klang,3.0333,101.45,2025-05-30
3,Clouds generally forming or developing,08:00:00,26.8,93,0.0,1.5,Johor,Johor Bahru,1.4556,103.7611,2025-05-30
3,Clouds generally forming or developing,08:00:00,24.6,93,0.0,2.6,Negeri Sembilan,Seremban,2.7297,101.9381,2025-05-30
3,Clouds generally forming or developing,08:00:00,27.1,92,0.0,2.2,Kedah,Sungai Petani,5.65,100.48,2025-05-30
61,"Rain, not freezing, continuous slight at time of observation",08:00:00,25.7,95,0.2,6.2,Sarawak,Sibu,2.3,111.8167,2025-05-30
3,Clouds generally forming or developing,08:00:00,27.3,94,0.0,3.1,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2025-05-30
3,Clouds generally forming or developing,08:00:00,26.6,93,0.0,3.1,Sarawak,Kuching,1.5397,110.3542,2025-05-30
80,"Rain shower(s), slight",08:00:00,25.8,91,0.0,6.1,Sarawak,Bintulu,3.17,113.03,2025-05-30
3,Clouds generally forming or developing,08:00:00,26.2,93,0.0,3.6,Johor,Muar,2.05,102.56,2025-05-30
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",08:00:00,27.2,86,0.0,8.6,Labuan,Labuan,5.2803,115.2475,2025-05-30
3,Clouds generally forming or developing,08:00:00,26.1,91,0.0,3.1,Terengganu,Kuala Terengganu,5.3303,103.1408,2025-05-30
3,Clouds generally forming or developing,08:00:00,28.2,83,0.0,5.8,Sabah,Kota Kinabalu,5.975,116.0725,2025-05-30
3,Clouds generally forming or developing,08:00:00,29.0,87,0.0,5.7,Pulau Pinang,George Town,5.4145,100.3292,2025-05-30
2,State of sky on the whole unchanged,08:00:00,26.0,93,0.0,4.2,Perak,Teluk Intan,4.0259,101.0213,2025-05-30
2,State of sky on the whole unchanged,08:00:00,26.4,90,0.0,0.5,Selangor,Petaling Jaya,3.1073,101.6067,2025-05-30
2,State of sky on the whole unchanged,08:00:00,26.4,90,0.0,0.5,Selangor,Shah Alam,3.0833,101.5333,2025-05-30
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",08:00:00,24.7,98,0.0,1.0,Johor,Kluang,2.0336,103.3194,2025-05-30
61,"Rain, not freezing, continuous slight at time of observation",08:00:00,25.4,94,0.4,5.8,Pahang,Kuala Lipis,4.184,102.042,2025-05-30
3,Clouds generally forming or developing,08:00:00,26.5,94,0.0,3.1,Kedah,Alor Setar,6.1167,100.3667,2025-05-30
3,Clouds generally forming or developing,08:00:00,27.2,72,0.0,12.6,Pahang,Kuantan,3.8167,103.3333,2025-05-30
2,State of sky on the whole unchanged,08:00:00,26.7,88,0.0,4.4,Kelantan,Kota Bharu,6.1333,102.25,2025-05-30
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",08:00:00,26.7,97,0.0,1.8,Perlis,Kangar,6.4333,100.2,2025-05-30
2,State of sky on the whole unchanged,08:00:00,25.9,79,0.0,2.3,Perak,Ipoh,4.6,101.07,2025-05-30
2,State of sky on the whole unchanged,07:00:00,26.2,90,0.0,1.5,Selangor,Shah Alam,3.0833,101.5333,2025-05-30
3,Clouds generally forming or developing,07:00:00,24.3,90,0.0,3.1,Negeri Sembilan,Seremban,2.7297,101.9381,2025-05-30
80,"Rain shower(s), slight",07:00:00,27.6,87,0.0,4.3,Sabah,Kota Kinabalu,5.975,116.0725,2025-05-30
61,"Rain, not freezing, continuous slight at time of observation",07:00:00,25.4,97,0.3,5.5,Sarawak,Sibu,2.3,111.8167,2025-05-30
3,Clouds generally forming or developing,07:00:00,26.5,93,0.0,1.5,Johor,Johor Bahru,1.4556,103.7611,2025-05-30
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",07:00:00,25.1,97,0.0,1.8,Pahang,Kuala Lipis,4.184,102.042,2025-05-30
3,Clouds generally forming or developing,07:00:00,25.3,94,0.0,1.8,Johor,Batu Pahat,1.85,102.93,2025-05-30
2,State of sky on the whole unchanged,07:00:00,27.4,87,0.0,5.3,Perak,Taiping,4.85,100.7333,2025-05-30
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",07:00:00,26.1,98,0.0,1.8,Perlis,Kangar,6.4333,100.2,2025-05-30
3,Clouds generally forming or developing,07:00:00,27.0,75,0.0,13.7,Pahang,Kuantan,3.8167,103.3333,2025-05-30
2,State of sky on the whole unchanged,07:00:00,26.8,91,0.0,1.6,Kedah,Sungai Petani,5.65,100.48,2025-05-30
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",07:00:00,24.4,98,0.0,1.6,Johor,Kluang,2.0336,103.3194,2025-05-30
3,Clouds generally forming or developing,07:00:00,28.8,88,0.0,4.1,Pulau Pinang,George Town,5.4145,100.3292,2025-05-30
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",07:00:00,25.9,96,0.0,2.5,Sarawak,Kuching,1.5397,110.3542,2025-05-30
2,State of sky on the whole unchanged,07:00:00,25.9,94,0.0,5.1,Sabah,Sandakan,5.8388,118.1173,2025-05-30
2,State of sky on the whole unchanged,07:00:00,26.0,89,0.0,4.1,Kelantan,Kota Bharu,6.1333,102.25,2025-05-30
3,Clouds generally forming or developing,07:00:00,28.9,88,0.0,4.1,Pulau Pinang,Butterworth,5.3992,100.3639,2025-05-30
3,Clouds generally forming or developing,07:00:00,25.6,89,0.0,3.1,Selangor,Klang,3.0333,101.45,2025-05-30
3,Clouds generally forming or developing,07:00:00,24.7,93,0.0,2.0,Putrajaya,Putrajaya,2.93,101.69,2025-05-30
3,Clouds generally forming or developing,07:00:00,26.1,94,0.0,3.5,Johor,Muar,2.05,102.56,2025-05-30
2,State of sky on the whole unchanged,07:00:00,25.8,78,0.0,2.9,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2025-05-30
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",07:00:00,25.6,93,0.0,7.1,Sarawak,Bintulu,3.17,113.03,2025-05-30
3,Clouds generally forming or developing,07:00:00,26.1,95,0.0,2.5,Kedah,Alor Setar,6.1167,100.3667,2025-05-30
3,Clouds generally forming or developing,07:00:00,27.4,66,0.0,8.7,Terengganu,Cukai,4.2332,103.4479,2025-05-30
3,Clouds generally forming or developing,07:00:00,27.1,94,0.0,2.8,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2025-05-30
2,State of sky on the whole unchanged,07:00:00,27.2,86,0.0,4.5,Sabah,Tawau,4.2448,117.8911,2025-05-30
2,State of sky on the whole unchanged,07:00:00,26.0,76,0.0,2.1,Perak,Ipoh,4.6,101.07,2025-05-30
80,"Rain shower(s), slight",07:00:00,26.0,89,0.0,10.5,Sarawak,Miri,4.4028,113.9933,2025-05-30
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",07:00:00,26.8,90,0.0,6.5,Labuan,Labuan,5.2803,115.2475,2025-05-30
3,Clouds generally forming or developing,07:00:00,25.6,91,0.0,2.9,Terengganu,Kuala Terengganu,5.3303,103.1408,2025-05-30
2,State of sky on the whole unchanged,07:00:00,25.5,93,0.0,3.1,Perak,Teluk Intan,4.0259,101.0213,2025-05-30
2,State of sky on the whole unchanged,07:00:00,26.2,90,0.0,1.5,Selangor,Petaling Jaya,3.1073,101.6067,2025-05-30
