date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2026-05-11,00:00:00,10187,6641,53,0,434,1
2026-05-11,00:10:00,10175,6485,56,0,436,1
2026-05-11,00:20:00,10181,6291,52,0,437,1
2026-05-11,00:30:00,10179,6261,54,0,436,1
2026-05-11,00:40:00,10176,6193,55,0,338,1
2026-05-11,00:50:00,10189,6010,53,0,336,1
2026-05-11,01:00:00,10151,5917,52,0,370,1
2026-05-11,01:10:00,10128,5932,55,0,371,1
2026-05-11,01:20:00,10101,5756,50,0,338,1
2026-05-11,01:30:00,10126,5721,51,0,338,1
2026-05-11,01:40:00,10103,5573,40,0,339,0
2026-05-11,01:50:00,10129,5476,35,0,339,1
2026-05-11,02:00:00,10128,5375,35,0,339,1
2026-05-11,02:10:00,10115,5302,38,0,337,-9
2026-05-11,02:20:00,10114,5198,38,0,337,1
2026-05-11,02:30:00,10083,5166,29,0,337,1
2026-05-11,02:40:00,10012,5192,17,0,337,1
2026-05-11,02:50:00,9914,5210,25,0,336,1
2026-05-11,03:00:00,9850,5204,30,0,337,1
2026-05-11,03:10:00,9819,5187,26,0,338,1
2026-05-11,03:20:00,9727,5210,11,0,337,1
2026-05-11,03:30:00,9667,5164,-3,0,336,1
2026-05-11,03:40:00,9503,5215,14,0,337,1
2026-05-11,03:50:00,9469,5248,-6,0,371,1
2026-05-11,04:00:00,9388,5243,12,0,364,1
2026-05-11,04:10:00,9232,5356,8,0,378,1
2026-05-11,04:20:00,9254,5324,12,0,353,1
2026-05-11,04:30:00,9290,5243,2,0,345,1
2026-05-11,04:40:00,9271,5271,-12,0,346,1
2026-05-11,04:50:00,9281,5267,12,0,343,1
2026-05-11,05:00:00,9276,5272,13,0,349,1
2026-05-11,05:10:00,9293,5287,10,0,349,1
2026-05-11,05:20:00,9311,5280,23,0,349,1
2026-05-11,05:30:00,9363,5207,8,0,340,1
2026-05-11,05:40:00,9371,5363,24,0,353,1
2026-05-11,05:50:00,9428,5400,5,0,360,1
2026-05-11,06:00:00,9470,5370,32,0,352,1
2026-05-11,06:10:00,9487,5513,43,0,364,1
2026-05-11,06:20:00,9479,5605,33,0,374,1
2026-05-11,06:30:00,9467,5660,30,0,372,1
2026-05-11,06:40:00,9481,5726,4,0,341,1
2026-05-11,06:50:00,9480,5709,14,0,338,1
2026-05-11,07:00:00,9586,5492,19,0,339,1
2026-05-11,07:10:00,9647,5408,54,0,335,3
2026-05-11,07:20:00,9650,5339,51,0,334,18
2026-05-11,07:30:00,9649,5294,42,0,334,52
2026-05-11,07:40:00,9671,5448,49,0,335,86
2026-05-11,07:50:00,9759,5500,52,0,334,138
2026-05-11,00:00:00,10187,6641,53,0,434,1
2026-05-11,00:10:00,10175,6485,56,0,436,1
2026-05-11,00:20:00,10181,6291,52,0,437,1
2026-05-11,00:30:00,10179,6261,54,0,436,1
2026-05-11,00:40:00,10176,6193,55,0,338,1
2026-05-11,00:50:00,10189,6010,53,0,336,1
2026-05-11,01:00:00,10151,5917,52,0,370,1
2026-05-11,01:10:00,10128,5932,55,0,371,1
2026-05-11,01:20:00,10101,5756,50,0,338,1
2026-05-11,01:30:00,10126,5721,51,0,338,1
2026-05-11,01:40:00,10103,5573,40,0,339,0
