date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2026-06-10,00:00:00,9680,6529,42,2227,536,1
2026-06-10,00:10:00,9680,6384,51,2228,541,1
2026-06-10,00:20:00,9672,6271,35,2231,459,1
2026-06-10,00:30:00,9688,6178,50,2235,452,1
2026-06-10,00:40:00,9701,5987,35,2232,455,1
2026-06-10,00:50:00,9681,5958,37,2233,397,1
2026-06-10,01:00:00,9695,5724,50,2241,397,1
2026-06-10,01:10:00,9696,5617,48,2232,399,1
2026-06-10,01:20:00,9684,5569,51,2238,175,1
2026-06-10,01:30:00,9681,5596,47,2237,174,1
2026-06-10,01:40:00,9678,5487,77,2231,196,1
2026-06-10,01:50:00,9684,5362,69,2217,187,1
2026-06-10,02:00:00,9688,5254,67,2164,189,1
2026-06-10,02:10:00,9696,5273,69,2046,252,1
2026-06-10,02:20:00,9678,5295,56,1970,164,1
2026-06-10,02:30:00,9683,5269,65,1959,164,1
2026-06-10,02:40:00,9701,5192,46,1964,184,1
2026-06-10,02:50:00,9682,5097,53,1958,184,1
2026-06-10,03:00:00,9684,5103,52,1886,187,1
2026-06-10,03:10:00,9691,4956,61,1865,165,1
2026-06-10,03:20:00,9683,4996,58,1840,163,1
2026-06-10,03:30:00,9689,4922,58,1816,164,1
2026-06-10,03:40:00,9687,4904,51,1758,164,1
2026-06-10,03:50:00,9684,4866,27,1739,164,1
2026-06-10,04:00:00,9700,4941,42,1581,163,1
2026-06-10,04:10:00,9684,4864,57,1509,164,1
2026-06-10,04:20:00,9691,4891,24,1448,164,1
2026-06-10,04:30:00,9685,4895,47,1436,164,0
2026-06-10,04:40:00,9695,4869,40,1436,162,0
2026-06-10,04:50:00,9694,4819,28,1432,164,0
2026-06-10,05:00:00,9675,4750,74,1443,164,1
2026-06-10,05:10:00,9692,4769,69,1443,163,1
2026-06-10,05:20:00,9677,4840,56,1368,163,0
2026-06-10,05:30:00,9692,4832,59,1345,165,1
2026-06-10,05:40:00,9679,5007,49,1300,164,1
2026-06-10,05:50:00,9694,5035,51,1303,165,1
2026-06-10,06:00:00,9695,5082,54,1309,166,1
2026-06-10,06:10:00,9692,5193,47,1299,213,1
2026-06-10,06:20:00,9695,5175,58,1312,214,1
2026-06-10,06:30:00,9694,5116,50,1305,215,1
2026-06-10,06:40:00,9673,5193,58,1302,214,1
2026-06-10,06:50:00,9682,5150,46,1307,161,1
2026-06-10,07:00:00,9664,5026,49,1305,155,1
2026-06-10,07:10:00,9681,5323,23,1309,159,4
2026-06-10,07:20:00,9687,5129,57,1311,160,18
2026-06-10,07:30:00,9688,5029,73,1303,160,53
2026-06-10,07:40:00,9683,5110,50,1308,163,100
2026-06-10,07:50:00,9685,5129,52,1302,160,149
2026-06-10,08:00:00,9679,5263,40,1312,161,200
2026-06-10,08:10:00,9694,5568,28,1301,200,271
2026-06-10,08:20:00,9687,5659,74,1277,315,338
2026-06-10,08:30:00,9678,5704,51,1248,315,395
2026-06-10,08:40:00,9684,5972,39,1249,291,498
2026-06-10,08:50:00,9689,5991,72,1240,288,547
2026-06-10,09:00:00,9686,6046,83,1220,288,617
2026-06-10,09:10:00,9703,5989,83,1199,186,659
2026-06-10,09:20:00,9684,6006,74,1179,189,701
2026-06-10,09:30:00,9676,5959,82,1165,186,808
2026-06-10,09:40:00,9683,6058,79,1158,160,869
2026-06-10,09:50:00,9701,6008,74,1161,161,989
2026-06-10,10:00:00,9671,5947,83,1224,160,1052
2026-06-10,10:10:00,9705,6010,80,1285,263,1030
2026-06-10,10:20:00,9636,6079,77,1285,264,1085
2026-06-10,10:30:00,9653,6051,57,1332,221,1117
2026-06-10,10:40:00,9621,6100,44,1353,221,1189
2026-06-10,10:50:00,9616,6123,49,1411,222,1211
2026-06-10,11:00:00,9630,6072,52,1406,161,1276
2026-06-10,11:10:00,9615,6103,50,1413,162,1299
2026-06-10,11:20:00,9620,6100,76,1319,223,1290
2026-06-10,11:30:00,9625,6086,27,1264,219,1343
2026-06-10,11:40:00,9665,6068,43,1176,219,1336
2026-06-10,11:50:00,9682,5996,31,1175,219,1326
2026-06-10,12:00:00,9725,5613,65,1312,220,1343
2026-06-10,12:10:00,9682,5659,55,1323,223,1265
2026-06-10,12:20:00,9699,5602,48,1319,160,1227
2026-06-10,12:30:00,9671,5606,50,1339,159,1249
2026-06-10,12:40:00,9689,5468,85,1376,158,1258
2026-06-10,12:50:00,9679,5582,73,1391,160,1254
2026-06-10,13:00:00,9698,5646,67,1397,159,1220
2026-06-10,13:10:00,9704,5766,53,1400,162,1197
2026-06-10,13:20:00,9703,5932,44,1401,161,1213
2026-06-10,13:30:00,9698,5966,69,1441,161,1154
2026-06-10,13:40:00,9680,6007,37,1538,391,1184
2026-06-10,13:50:00,9708,6007,54,1615,280,1141
2026-06-10,14:00:00,9668,6161,39,1668,281,1097
2026-06-10,14:10:00,9653,6300,53,1656,308,1073
2026-06-10,14:20:00,9615,6547,55,1662,311,1006
2026-06-10,14:30:00,9617,6597,53,1733,344,1021
2026-06-10,14:40:00,9616,6749,45,1771,319,965
2026-06-10,14:50:00,9624,6836,42,1785,391,903
2026-06-10,15:00:00,9616,6934,32,1785,392,891
2026-06-10,15:10:00,9629,6995,53,1785,416,836
2026-06-10,15:20:00,9618,7083,52,1782,469,874
2026-06-10,15:30:00,9617,7124,72,1787,467,812
2026-06-10,15:40:00,9634,7310,67,1788,472,730
2026-06-10,15:50:00,9613,7374,52,1787,501,695
2026-06-10,16:00:00,9622,7361,51,1791,586,684
2026-06-10,16:10:00,9623,7416,55,1793,592,629
2026-06-10,16:20:00,9614,7407,53,1789,740,648
2026-06-10,16:30:00,9605,7477,52,1791,803,595
2026-06-10,16:40:00,9619,7507,55,1793,815,563
2026-06-10,16:50:00,9624,7539,44,1794,734,533
2026-06-10,17:00:00,9602,7421,53,1792,760,503
2026-06-10,17:10:00,9626,7492,54,1795,547,440
2026-06-10,17:20:00,9616,7485,31,1793,524,381
2026-06-10,17:30:00,9615,7533,51,1795,450,337
2026-06-10,17:40:00,9631,7407,38,1800,444,280
2026-06-10,17:50:00,9627,7356,47,1801,455,253
2026-06-10,18:00:00,9617,7278,51,1801,426,212
2026-06-10,18:10:00,9629,7041,41,1806,471,175
2026-06-10,18:20:00,9619,7073,46,1806,475,139
2026-06-10,18:30:00,9635,7188,52,1803,508,100
2026-06-10,18:40:00,9598,7319,39,1804,508,67
2026-06-10,18:50:00,9611,7562,66,1804,553,39
2026-06-10,19:00:00,9625,7573,44,1803,600,24
2026-06-10,19:10:00,9617,7817,51,1801,780,4
2026-06-10,19:20:00,9625,8011,51,1801,879,0
2026-06-10,19:30:00,9609,8096,44,1814,1058,0
2026-06-10,19:40:00,9617,8130,64,1810,1092,1
2026-06-10,19:50:00,9620,8151,59,1809,1065,1
2026-06-10,20:00:00,9611,8162,54,1811,1040,0
2026-06-10,20:10:00,9617,8208,67,1808,957,1
2026-06-10,20:20:00,9619,8186,79,1807,1058,0
2026-06-10,20:30:00,9629,8209,51,1811,1030,1
2026-06-10,20:40:00,9614,8235,67,1817,1056,1
2026-06-10,20:50:00,9622,8310,55,1813,982,1
2026-06-10,21:00:00,9612,8278,52,1810,920,1
2026-06-10,21:10:00,9626,8242,57,1815,866,1
2026-06-10,21:20:00,9624,8161,54,1815,866,1
2026-06-10,21:30:00,9645,8154,33,1815,827,1
2026-06-10,21:40:00,9639,8097,40,1814,826,1
2026-06-10,21:50:00,9639,8035,46,1804,774,1
2026-06-10,22:00:00,9637,7954,55,1810,735,1
2026-06-10,22:10:00,9686,7829,57,1815,677,1
2026-06-10,22:10:00,9686,7829,57,1815,685,1
2026-06-10,22:20:00,9693,7782,52,1815,805,0
2026-06-10,22:30:00,9683,7796,63,1812,803,-1
2026-06-10,22:40:00,9696,7784,61,1816,704,0
2026-06-10,22:50:00,9682,7774,54,1814,685,1
2026-06-10,23:00:00,9693,7726,56,1811,652,1
2026-06-10,23:10:00,9682,7626,57,1808,652,1
2026-06-10,23:20:00,9682,7575,48,1815,654,1
2026-06-10,23:30:00,9692,7324,50,1810,668,0
2026-06-10,23:40:00,9692,7199,56,1811,672,0
2026-06-10,23:50:00,9692,7134,72,1816,671,0
2026-06-10,00:00:00,9680,6529,42,2227,557,0
2026-06-10,00:10:00,9680,6384,51,2228,560,0
2026-06-10,00:20:00,9672,6271,35,2231,477,0
2026-06-10,00:30:00,9688,6178,50,2235,471,0
2026-06-10,00:40:00,9701,5987,35,2232,474,0
2026-06-10,00:50:00,9681,5958,37,2233,417,0
2026-06-10,01:00:00,9695,5724,50,2241,416,0
2026-06-10,01:10:00,9696,5617,48,2232,419,0
2026-06-10,01:20:00,9684,5569,51,2238,194,0
2026-06-10,01:30:00,9681,5596,47,2237,194,0
2026-06-10,01:40:00,9678,5487,77,2231,213,0
2026-06-10,01:50:00,9684,5362,69,2217,205,0
2026-06-10,02:00:00,9688,5254,67,2164,206,0
2026-06-10,02:10:00,9696,5273,69,2046,272,0
2026-06-10,02:20:00,9678,5295,56,1970,184,0
2026-06-10,02:30:00,9683,5269,65,1959,183,0
2026-06-10,02:40:00,9701,5192,46,1964,202,0
2026-06-10,02:50:00,9682,5097,53,1958,201,0
2026-06-10,03:00:00,9684,5103,52,1886,204,0
2026-06-10,03:10:00,9691,4956,61,1865,183,0
2026-06-10,03:20:00,9683,4996,58,1840,182,0
2026-06-10,03:30:00,9689,4922,58,1816,182,0
2026-06-10,03:40:00,9687,4904,51,1758,183,0
2026-06-10,03:50:00,9684,4866,27,1739,182,0
2026-06-10,04:00:00,9700,4941,42,1581,183,0
2026-06-10,04:10:00,9684,4864,57,1509,184,0
2026-06-10,04:20:00,9691,4891,24,1448,183,0
2026-06-10,04:30:00,9685,4895,47,1436,184,0
2026-06-10,04:40:00,9695,4869,40,1436,182,0
2026-06-10,04:50:00,9694,4819,28,1432,184,0
2026-06-10,05:00:00,9675,4750,74,1443,183,0
2026-06-10,05:10:00,9692,4769,69,1443,183,0
2026-06-10,05:20:00,9677,4840,56,1368,182,0
2026-06-10,05:30:00,9692,4832,59,1345,184,0
2026-06-10,05:40:00,9679,5007,49,1300,184,0
2026-06-10,05:50:00,9694,5035,51,1303,184,0
2026-06-10,06:00:00,9695,5082,54,1309,184,0
2026-06-10,06:10:00,9692,5193,47,1299,233,0
2026-06-10,06:20:00,9695,5175,58,1312,233,0
2026-06-10,06:30:00,9694,5116,50,1305,234,0
2026-06-10,06:40:00,9673,5193,58,1302,233,0
2026-06-10,06:50:00,9682,5150,46,1307,184,0
2026-06-10,07:00:00,9664,5026,49,1305,177,1
2026-06-10,07:10:00,9681,5323,23,1309,181,4
2026-06-10,07:20:00,9687,5129,57,1311,181,18
2026-06-10,07:30:00,9688,5029,73,1303,180,53
2026-06-10,07:40:00,9683,5110,50,1308,183,100
2026-06-10,07:50:00,9685,5129,52,1302,182,149
2026-06-10,08:00:00,9679,5263,40,1312,182,200
2026-06-10,08:10:00,9694,5568,28,1301,216,271
2026-06-10,08:20:00,9687,5659,74,1277,331,338
2026-06-10,08:30:00,9678,5704,51,1248,331,395
2026-06-10,08:40:00,9684,5972,39,1249,308,498
2026-06-10,08:50:00,9689,5991,72,1240,306,547
2026-06-10,09:00:00,9686,6046,83,1220,306,617
2026-06-10,09:10:00,9703,5989,83,1199,205,659
2026-06-10,09:20:00,9684,6006,74,1179,208,701
2026-06-10,09:30:00,9676,5959,82,1165,205,808
2026-06-10,09:40:00,9683,6058,79,1158,180,869
2026-06-10,09:50:00,9701,6008,74,1161,182,989
2026-06-10,10:00:00,9671,5947,83,1224,182,1052
2026-06-10,10:10:00,9705,6010,80,1285,284,1030
2026-06-10,10:20:00,9636,6079,77,1285,284,1085
2026-06-10,10:30:00,9653,6051,57,1332,242,1117
2026-06-10,10:40:00,9621,6100,44,1353,242,1189
2026-06-10,10:50:00,9616,6123,49,1411,242,1211
2026-06-10,11:00:00,9630,6072,52,1406,184,1276
2026-06-10,11:10:00,9615,6103,50,1413,184,1299
2026-06-10,11:20:00,9620,6100,76,1319,245,1290
2026-06-10,11:30:00,9625,6086,27,1264,241,1343
2026-06-10,11:40:00,9665,6068,43,1183,241,1336
2026-06-10,11:50:00,9682,5996,31,1181,241,1326
2026-06-10,12:00:00,9725,5613,65,1318,241,1343
2026-06-10,12:10:00,9682,5659,55,1329,243,1265
2026-06-10,12:20:00,9699,5602,48,1325,182,1227
2026-06-10,12:30:00,9671,5606,50,1345,182,1249
2026-06-10,12:40:00,9689,5468,85,1382,181,1258
2026-06-10,12:50:00,9679,5587,73,1391,182,1254
2026-06-10,13:00:00,9698,5652,67,1397,182,1220
2026-06-10,13:10:00,9704,5772,53,1400,183,1197
2026-06-10,13:20:00,9703,5937,44,1401,182,1213
2026-06-10,13:30:00,9698,5971,69,1441,183,1154
2026-06-10,13:40:00,9680,6012,37,1538,405,1184
2026-06-10,13:50:00,9708,6012,54,1615,298,1141
2026-06-10,14:00:00,9668,6166,39,1668,300,1097
2026-06-10,14:10:00,9653,6305,53,1656,325,1073
2026-06-10,14:20:00,9615,6552,55,1662,328,1006
