date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2024-06-02,00:00:00,9927,5613,-3,0,540,1
2024-06-02,00:10:00,9914,5652,-6,0,464,1
2024-06-02,00:20:00,9915,5670,-9,0,338,1
2024-06-02,00:30:00,9931,5651,-9,0,272,1
2024-06-02,00:40:00,9884,5538,-13,0,325,1
2024-06-02,00:50:00,9932,5438,-12,0,293,1
2024-06-02,01:00:00,9899,5294,-8,0,229,1
2024-06-02,01:10:00,9917,5196,-11,0,227,1
2024-06-02,01:20:00,9914,5123,-8,0,250,1
2024-06-02,01:30:00,9920,4928,1,0,254,1
2024-06-02,01:40:00,9905,4926,3,0,241,1
2024-06-02,01:50:00,9881,4916,0,0,220,1
2024-06-02,02:00:00,9856,4838,1,0,220,1
2024-06-02,02:10:00,9859,4744,3,0,218,1
2024-06-02,02:20:00,9865,4646,9,0,218,1
2024-06-02,02:30:00,9861,4577,12,0,223,1
2024-06-02,02:40:00,9865,4486,15,0,219,1
2024-06-02,02:50:00,9785,4529,16,0,220,1
2024-06-02,03:00:00,9687,4369,17,0,218,1
2024-06-02,03:10:00,9684,4419,20,0,223,1
2024-06-02,03:20:00,9646,4339,17,0,217,1
2024-06-02,03:30:00,9653,4320,15,0,218,1
2024-06-02,03:40:00,9661,4133,16,0,214,1
2024-06-02,03:50:00,9672,4112,20,0,217,1
2024-06-02,04:00:00,9678,4013,18,0,214,1
2024-06-02,04:10:00,9670,4000,17,0,219,0
2024-06-02,04:20:00,9684,3932,20,0,216,1
2024-06-02,04:30:00,9673,3878,17,0,216,1
2024-06-02,04:40:00,9674,3793,19,0,240,1
2024-06-02,04:50:00,9696,3740,17,0,233,1
2024-06-02,05:00:00,9668,3658,9,0,254,0
2024-06-02,05:10:00,9623,3657,9,0,273,1
2024-06-02,05:20:00,9592,3672,12,0,277,1
2024-06-02,05:30:00,9569,3642,10,0,268,1
2024-06-02,05:40:00,9552,3753,11,0,254,1
2024-06-02,05:50:00,9548,3681,10,0,250,1
2024-06-02,06:00:00,9534,3664,12,0,274,1
2024-06-02,06:10:00,9519,3728,7,0,284,1
2024-06-02,06:20:00,9403,3745,9,0,243,1
2024-06-02,06:30:00,9336,3800,13,0,298,1
2024-06-02,06:40:00,9333,3673,15,0,260,1
2024-06-02,06:50:00,9326,3642,14,0,261,1
2024-06-02,07:00:00,9257,3590,3,0,260,0
2024-06-02,07:10:00,9131,3553,11,0,276,4
2024-06-02,07:20:00,9014,3486,15,0,206,21
2024-06-02,07:30:00,8805,3477,17,0,207,40
2024-06-02,07:40:00,8582,3543,13,0,210,67
2024-06-02,07:50:00,8453,3548,14,0,258,99
2024-06-02,08:00:00,8440,3544,12,0,222,135
2024-06-02,08:10:00,8480,3599,7,0,253,184
