date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2024-06-24,00:00:00,10333,5231,-31,0,298,1
2024-06-24,00:10:00,10155,5247,-24,0,292,0
2024-06-24,00:20:00,9962,5267,-12,0,296,1
2024-06-24,00:30:00,9898,5215,-20,0,297,1
2024-06-24,00:40:00,9870,5157,-27,0,316,1
2024-06-24,00:00:00,10333,5231,-31,0,298,1
2024-06-24,00:10:00,10155,5247,-24,0,292,0
2024-06-24,00:20:00,9962,5267,-12,0,296,1
2024-06-24,00:30:00,9898,5215,-20,0,297,1
2024-06-24,00:40:00,9870,5157,-27,0,316,1
2024-06-24,00:50:00,9868,4991,-17,0,304,1
2024-06-24,01:00:00,9632,5063,-16,0,285,1
2024-06-24,01:10:00,9596,5053,-19,0,288,1
2024-06-24,01:20:00,9574,5026,-16,0,288,1
2024-06-24,01:30:00,9451,4960,-12,0,280,1
2024-06-24,01:40:00,9136,5107,-26,0,273,1
2024-06-24,00:00:00,10333,5231,-31,0,298,1
2024-06-24,00:10:00,10155,5247,-24,0,292,0
2024-06-24,00:20:00,9962,5267,-12,0,296,1
2024-06-24,00:30:00,9898,5215,-20,0,297,1
2024-06-24,00:40:00,9870,5157,-27,0,316,1
2024-06-24,00:50:00,9868,4991,-17,0,304,1
2024-06-24,01:00:00,9632,5063,-16,0,285,1
2024-06-24,01:10:00,9596,5053,-19,0,288,1
2024-06-24,01:20:00,9574,5026,-16,0,288,1
2024-06-24,01:30:00,9451,4960,-12,0,280,1
2024-06-24,01:40:00,9136,5107,-26,0,273,1
2024-06-24,01:50:00,9116,5120,-12,0,264,1
2024-06-24,02:00:00,9065,5036,-10,0,260,1
2024-06-24,02:10:00,8942,5097,-17,0,259,1
2024-06-24,02:20:00,8927,5096,-19,0,261,1
2024-06-24,02:30:00,8882,5040,-7,0,260,1
2024-06-24,02:40:00,8901,4990,-7,0,259,1
2024-06-24,00:00:00,10333,5231,-31,0,298,1
2024-06-24,00:10:00,10155,5247,-24,0,292,0
2024-06-24,00:20:00,9962,5267,-12,0,296,1
2024-06-24,00:30:00,9898,5215,-20,0,297,1
2024-06-24,00:40:00,9870,5157,-27,0,316,1
2024-06-24,00:50:00,9868,4991,-17,0,304,1
2024-06-24,01:00:00,9632,5063,-16,0,285,1
2024-06-24,01:10:00,9596,5053,-19,0,288,1
2024-06-24,01:20:00,9574,5026,-16,0,288,1
2024-06-24,01:30:00,9451,4960,-12,0,280,1
2024-06-24,01:40:00,9136,5107,-26,0,273,1
2024-06-24,01:50:00,9116,5120,-12,0,264,1
2024-06-24,02:00:00,9065,5036,-10,0,260,1
2024-06-24,02:10:00,8942,5097,-17,0,259,1
2024-06-24,02:20:00,8927,5096,-19,0,261,1
2024-06-24,02:30:00,8882,5040,-7,0,260,1
2024-06-24,02:40:00,8901,4990,-7,0,259,1
2024-06-24,02:50:00,8686,5043,-8,0,252,1
2024-06-24,03:00:00,8379,5121,-10,0,347,1
2024-06-24,03:10:00,8358,5016,-9,0,538,1
2024-06-24,03:20:00,8259,5081,-8,0,533,1
2024-06-24,03:30:00,8113,5045,-9,0,537,1
2024-06-24,03:40:00,7968,5112,-21,0,548,1
2024-06-24,00:00:00,10333,5231,-31,0,298,1
2024-06-24,00:10:00,10155,5247,-24,0,292,0
2024-06-24,00:20:00,9962,5267,-12,0,296,1
2024-06-24,00:30:00,9898,5215,-20,0,297,1
2024-06-24,00:40:00,9870,5157,-27,0,316,1
2024-06-24,00:50:00,9868,4991,-17,0,304,1
2024-06-24,01:00:00,9632,5063,-16,0,285,1
2024-06-24,01:10:00,9596,5053,-19,0,288,1
2024-06-24,01:20:00,9574,5026,-16,0,288,1
2024-06-24,01:30:00,9451,4960,-12,0,280,1
2024-06-24,01:40:00,9136,5107,-26,0,273,1
2024-06-24,01:50:00,9116,5120,-12,0,264,1
2024-06-24,02:00:00,9065,5036,-10,0,260,1
2024-06-24,02:10:00,8942,5097,-17,0,259,1
2024-06-24,02:20:00,8927,5096,-19,0,261,1
2024-06-24,02:30:00,8882,5040,-7,0,260,1
2024-06-24,02:40:00,8901,4990,-7,0,259,1
2024-06-24,02:50:00,8686,5043,-8,0,252,1
2024-06-24,03:00:00,8379,5121,-10,0,347,1
2024-06-24,03:10:00,8358,5016,-9,0,538,1
2024-06-24,03:20:00,8259,5081,-8,0,533,1
2024-06-24,03:30:00,8113,5045,-9,0,537,1
2024-06-24,03:40:00,7968,5112,-21,0,548,1
2024-06-24,03:50:00,8008,5124,-9,0,552,1
2024-06-24,04:00:00,7953,5026,-6,0,532,1
2024-06-24,04:10:00,7921,5160,-19,0,534,1
2024-06-24,04:20:00,7769,5167,-17,0,533,1
2024-06-24,04:30:00,7785,5190,-17,0,534,1
2024-06-24,04:40:00,7630,5243,-25,0,547,0
