date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2025-08-22,00:00:00,10675,5484,40,0,765,0
2025-08-22,00:10:00,10677,5398,35,0,656,0
2025-08-22,00:20:00,10677,5273,40,0,587,0
2025-08-22,00:30:00,10681,5167,41,0,534,0
2025-08-22,00:40:00,10645,5166,23,0,531,0
2025-08-22,00:50:00,10544,5135,36,0,530,0
2025-08-22,01:00:00,10478,5053,29,0,526,0
2025-08-22,01:10:00,10448,4969,37,0,519,0
2025-08-22,01:20:00,10413,4828,11,0,523,0
2025-08-22,01:30:00,10434,4710,39,0,522,0
2025-08-22,01:40:00,10430,4671,21,0,521,0
2025-08-22,01:50:00,10432,4663,25,0,521,0
2025-08-22,02:00:00,10417,4621,18,0,520,0
2025-08-22,02:10:00,10329,4501,39,0,523,0
2025-08-22,02:20:00,10251,4509,39,0,530,0
2025-08-22,02:30:00,10218,4355,38,0,533,0
2025-08-22,02:40:00,10228,4384,39,0,531,0
2025-08-22,02:50:00,10221,4329,38,0,532,0
2025-08-22,03:00:00,10219,4238,39,0,531,0
2025-08-22,03:10:00,10235,4198,14,0,530,0
2025-08-22,03:20:00,10213,4160,22,0,528,0
2025-08-22,03:30:00,10214,4137,25,0,526,0
2025-08-22,03:40:00,10177,4102,-7,0,524,0
2025-08-22,03:50:00,10068,4131,39,0,526,0
2025-08-22,04:00:00,9983,4144,35,0,525,0
2025-08-22,04:10:00,9946,4164,-14,0,528,0
2025-08-22,04:20:00,9881,4207,-20,0,528,0
2025-08-22,04:30:00,9857,4149,16,0,526,0
2025-08-22,04:40:00,9873,4210,37,0,528,0
2025-08-22,04:50:00,9890,4154,28,0,529,0
2025-08-22,05:00:00,9859,4138,32,0,527,0
2025-08-22,05:10:00,9884,4146,32,0,526,0
2025-08-22,05:20:00,9885,4133,32,0,529,0
2025-08-22,05:30:00,9882,4137,28,0,528,0
2025-08-22,05:40:00,9891,4290,41,0,531,0
2025-08-22,05:50:00,9894,4334,9,0,532,0
2025-08-22,06:00:00,10000,4184,33,0,552,0
2025-08-22,06:10:00,10073,4319,-6,0,555,0
2025-08-22,06:20:00,10121,4370,24,0,553,0
2025-08-22,06:30:00,10176,4340,38,0,534,0
2025-08-22,06:40:00,10178,4356,14,0,546,0
2025-08-22,06:50:00,10200,4239,26,0,546,0
2025-08-22,07:00:00,10248,4049,21,0,600,1
2025-08-22,07:10:00,10266,4025,19,0,598,2
2025-08-22,07:20:00,10279,4003,18,0,490,9
2025-08-22,07:30:00,10282,3997,40,0,491,32
2025-08-22,07:40:00,10279,4087,20,0,492,75
2025-08-22,07:50:00,10304,4051,24,0,495,122
2025-08-22,08:00:00,10309,4138,-4,0,496,180
2025-08-22,08:10:00,10299,4266,35,0,607,258
2025-08-22,08:20:00,10300,4370,36,0,614,347
2025-08-22,08:30:00,10288,4434,35,0,606,452
2025-08-22,08:40:00,10315,4558,32,0,607,534
2025-08-22,08:50:00,10328,4450,18,0,602,634
2025-08-22,09:00:00,10517,4249,0,0,598,728
2025-08-22,09:10:00,10600,4203,40,0,598,818
2025-08-22,09:20:00,10650,4133,38,0,603,902
2025-08-22,09:30:00,10703,4075,41,0,603,972
2025-08-22,09:40:00,10688,4053,39,0,600,1013
2025-08-22,09:50:00,10690,4104,32,0,601,1064
2025-08-22,10:00:00,10705,3999,19,0,596,1104
2025-08-22,10:10:00,10663,4197,35,0,603,1120
2025-08-22,10:20:00,10596,4342,32,0,617,1137
2025-08-22,10:30:00,10538,4328,33,0,572,1226
2025-08-22,10:40:00,10493,4440,35,0,552,1281
2025-08-22,10:50:00,10461,4549,28,0,541,1290
2025-08-22,11:00:00,10472,4389,38,0,543,1309
2025-08-22,11:10:00,10483,4362,39,0,543,1428
2025-08-22,11:20:00,10466,4371,49,0,543,1431
2025-08-22,11:30:00,10505,4291,48,0,543,1449
2025-08-22,11:40:00,10503,4362,4,0,543,1475
2025-08-22,11:50:00,10513,4286,37,0,542,1516
2025-08-22,12:00:00,10350,4423,5,0,543,1443
2025-08-22,12:10:00,10251,4353,34,0,532,1502
2025-08-22,12:20:00,10242,4343,36,0,530,1515
2025-08-22,12:30:00,10218,4297,37,0,527,1583
2025-08-22,12:40:00,10059,4474,37,0,408,1505
2025-08-22,12:50:00,9943,4532,12,0,404,1573
2025-08-22,13:00:00,9935,4545,28,0,509,1563
2025-08-22,13:10:00,9939,4656,37,0,520,1485
2025-08-22,13:20:00,9958,4677,36,0,553,1491
2025-08-22,13:30:00,9970,4646,40,0,543,1445
2025-08-22,13:40:00,9980,4590,31,0,653,1464
2025-08-22,13:50:00,9997,4649,-5,0,615,1539
2025-08-22,14:00:00,9998,4738,29,0,654,1428
2025-08-22,14:10:00,10019,4854,38,0,656,1457
2025-08-22,14:20:00,9996,4992,32,0,662,1474
2025-08-22,14:30:00,10151,5119,37,0,626,1363
2025-08-22,14:40:00,10375,4948,34,0,708,1462
2025-08-22,14:50:00,10409,5121,7,0,714,1427
2025-08-22,15:00:00,10581,5127,34,0,619,1460
2025-08-22,15:10:00,10647,5134,37,0,632,1398
2025-08-22,15:20:00,10665,5214,32,0,637,1407
2025-08-22,15:30:00,10682,5482,29,0,624,1265
2025-08-22,15:40:00,10681,5480,32,0,681,1244
2025-08-22,15:50:00,10706,5662,23,0,713,1115
2025-08-22,16:00:00,10706,5887,17,0,749,941
2025-08-22,16:10:00,10698,5957,17,0,728,1041
2025-08-22,16:20:00,10688,6079,17,0,766,1032
2025-08-22,16:30:00,10692,6129,11,0,777,1020
2025-08-22,16:40:00,10694,6178,34,0,787,959
2025-08-22,16:50:00,10698,6283,29,0,787,882
2025-08-22,17:00:00,10685,6325,-5,0,761,780
2025-08-22,17:10:00,10689,6155,30,0,756,743
2025-08-22,17:20:00,10695,6183,-2,0,767,712
2025-08-22,17:30:00,10697,6168,40,0,771,650
2025-08-22,17:40:00,10692,6147,37,0,755,534
2025-08-22,17:50:00,10683,6162,-6,0,770,484
2025-08-22,18:00:00,10704,6153,38,0,757,416
2025-08-22,18:10:00,10693,5996,14,0,779,348
2025-08-22,18:20:00,10686,6032,40,0,865,259
2025-08-22,18:30:00,10697,6064,35,0,884,195
2025-08-22,18:40:00,10695,6192,40,0,880,140
2025-08-22,18:50:00,10684,6352,18,0,871,95
2025-08-22,19:00:00,10689,6360,36,0,1023,53
2025-08-22,19:10:00,10712,6506,-20,0,1154,24
2025-08-22,19:20:00,10677,6773,30,0,1271,7
2025-08-22,19:30:00,10683,7023,32,0,1336,2
2025-08-22,19:40:00,10684,7309,-3,0,1366,0
2025-08-22,19:50:00,10677,7375,44,0,1375,0
2025-08-22,20:00:00,10676,7386,41,0,1395,0
2025-08-22,20:10:00,10674,7324,37,0,1410,0
2025-08-22,20:20:00,10682,7355,29,0,1408,0
2025-08-22,20:30:00,10694,7347,39,0,1379,0
2025-08-22,20:40:00,10672,7311,40,0,1369,4
2025-08-22,20:50:00,10691,7308,-1,0,1380,4
2025-08-22,21:00:00,10694,7278,15,0,1362,4
