date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2024-06-03,00:00:00,8817,5580,5,0,517,1
2024-06-03,00:10:00,8811,5587,3,0,432,1
2024-06-03,00:20:00,8829,5489,3,0,395,1
2024-06-03,00:30:00,8809,5338,3,0,395,1
2024-06-03,00:40:00,8833,5290,1,0,402,1
2024-06-03,00:00:00,8817,5580,5,0,517,1
2024-06-03,00:10:00,8811,5587,3,0,432,1
2024-06-03,00:20:00,8829,5489,3,0,395,1
2024-06-03,00:30:00,8809,5338,3,0,395,1
2024-06-03,00:40:00,8833,5290,1,0,402,1
2024-06-03,00:50:00,8823,5241,-1,0,375,1
2024-06-03,01:00:00,8837,5025,-1,0,373,0
2024-06-03,01:10:00,8817,5032,-2,0,371,1
2024-06-03,01:20:00,8834,4890,-3,0,373,0
2024-06-03,01:30:00,8768,4834,-2,0,374,1
2024-06-03,01:40:00,8850,4746,-4,0,375,1
2024-06-03,00:00:00,8817,5580,5,0,517,1
2024-06-03,00:10:00,8811,5587,3,0,432,1
2024-06-03,00:20:00,8829,5489,3,0,395,1
2024-06-03,00:30:00,8809,5338,3,0,395,1
2024-06-03,00:40:00,8833,5290,1,0,402,1
2024-06-03,00:50:00,8823,5241,-1,0,375,1
2024-06-03,01:00:00,8837,5025,-1,0,373,0
2024-06-03,01:10:00,8817,5032,-2,0,371,1
2024-06-03,01:20:00,8834,4890,-3,0,373,0
2024-06-03,01:30:00,8768,4834,-2,0,374,1
2024-06-03,01:40:00,8850,4746,-4,0,375,1
2024-06-03,01:50:00,8715,4777,1,0,377,1
2024-06-03,02:00:00,8570,4783,-4,0,376,1
2024-06-03,02:10:00,8448,4840,-4,0,437,0
2024-06-03,02:20:00,8377,4823,-2,0,434,1
2024-06-03,02:30:00,8375,4780,2,0,381,1
2024-06-03,02:40:00,8376,4734,-4,0,379,1
2024-06-03,00:00:00,8817,5580,5,0,517,1
2024-06-03,00:10:00,8811,5587,3,0,432,1
2024-06-03,00:20:00,8829,5489,3,0,395,1
2024-06-03,00:30:00,8809,5338,3,0,395,1
2024-06-03,00:40:00,8833,5290,1,0,402,1
2024-06-03,00:50:00,8823,5241,-1,0,375,1
2024-06-03,01:00:00,8837,5025,-1,0,373,0
2024-06-03,01:10:00,8817,5032,-2,0,371,1
2024-06-03,01:20:00,8834,4890,-3,0,373,0
2024-06-03,01:30:00,8768,4834,-2,0,374,1
2024-06-03,01:40:00,8850,4746,-4,0,375,1
2024-06-03,01:50:00,8715,4777,1,0,377,1
2024-06-03,02:00:00,8570,4783,-4,0,376,1
2024-06-03,02:10:00,8448,4840,-4,0,437,0
2024-06-03,02:20:00,8377,4823,-2,0,434,1
2024-06-03,02:30:00,8375,4780,2,0,381,1
2024-06-03,02:40:00,8376,4734,-4,0,379,1
2024-06-03,02:50:00,8333,4564,-2,0,403,1
2024-06-03,03:00:00,8320,4593,9,0,405,1
2024-06-03,03:10:00,8352,4544,7,0,400,1
2024-06-03,03:20:00,8324,4413,10,0,396,0
2024-06-03,03:30:00,8367,4369,10,0,402,1
2024-06-03,03:40:00,8337,4323,1,0,363,1
2024-06-03,00:00:00,8817,5580,5,0,517,1
2024-06-03,00:10:00,8811,5587,3,0,432,1
2024-06-03,00:20:00,8829,5489,3,0,395,1
2024-06-03,00:30:00,8809,5338,3,0,395,1
2024-06-03,00:40:00,8833,5290,1,0,402,1
2024-06-03,00:50:00,8823,5241,-1,0,375,1
2024-06-03,01:00:00,8837,5025,-1,0,373,0
2024-06-03,01:10:00,8817,5032,-2,0,371,1
2024-06-03,01:20:00,8834,4890,-3,0,373,0
2024-06-03,01:30:00,8768,4834,-2,0,374,1
2024-06-03,01:40:00,8850,4746,-4,0,375,1
2024-06-03,01:50:00,8715,4777,1,0,377,1
2024-06-03,02:00:00,8570,4783,-4,0,376,1
2024-06-03,02:10:00,8448,4840,-4,0,437,0
2024-06-03,02:20:00,8377,4823,-2,0,434,1
2024-06-03,02:30:00,8375,4780,2,0,381,1
2024-06-03,02:40:00,8376,4734,-4,0,379,1
2024-06-03,02:50:00,8333,4564,-2,0,403,1
2024-06-03,03:00:00,8320,4593,9,0,405,1
2024-06-03,03:10:00,8352,4544,7,0,400,1
2024-06-03,03:20:00,8324,4413,10,0,396,0
2024-06-03,03:30:00,8367,4369,10,0,402,1
2024-06-03,03:40:00,8337,4323,1,0,363,1
2024-06-03,03:50:00,8359,4261,3,0,348,1
2024-06-03,04:00:00,8359,4229,3,0,325,1
2024-06-03,04:10:00,8374,4175,1,0,323,1
2024-06-03,04:20:00,8428,4062,2,0,299,1
2024-06-03,04:30:00,8413,4151,1,0,240,1
