date,time,Coal,Gas,CoGen,Oil,Hydro,Solar
2024-05-13,00:00:00,10355,5434,-24,0,444,1
2024-05-13,00:10:00,10341,5435,-21,0,458,1
2024-05-13,00:20:00,10368,5271,-16,0,427,1
2024-05-13,00:30:00,10354,5193,-27,0,410,1
2024-05-13,00:40:00,10339,5113,-24,0,420,0
2024-05-13,00:00:00,10355,5434,-24,0,444,1
2024-05-13,00:10:00,10341,5435,-21,0,458,1
2024-05-13,00:20:00,10368,5271,-16,0,427,1
2024-05-13,00:30:00,10354,5193,-27,0,410,1
2024-05-13,00:40:00,10339,5113,-24,0,420,0
2024-05-13,00:50:00,10361,5051,-16,0,228,1
2024-05-13,01:00:00,10340,5085,-16,0,221,1
2024-05-13,01:10:00,10354,4927,-11,0,244,1
2024-05-13,01:20:00,10349,4887,-8,0,236,1
2024-05-13,01:30:00,10347,4816,-19,0,237,1
2024-05-13,01:40:00,10354,4597,-16,0,216,1
2024-05-13,00:00:00,10355,5434,-24,0,444,1
2024-05-13,00:10:00,10341,5435,-21,0,458,1
2024-05-13,00:20:00,10368,5271,-16,0,427,1
2024-05-13,00:30:00,10354,5193,-27,0,410,1
2024-05-13,00:40:00,10339,5113,-24,0,420,0
2024-05-13,00:50:00,10361,5051,-16,0,228,1
2024-05-13,01:00:00,10340,5085,-16,0,221,1
2024-05-13,01:10:00,10354,4927,-11,0,244,1
2024-05-13,01:20:00,10349,4887,-8,0,236,1
2024-05-13,01:30:00,10347,4816,-19,0,237,1
2024-05-13,01:40:00,10354,4597,-16,0,216,1
2024-05-13,01:50:00,10284,4691,-12,0,215,1
2024-05-13,02:00:00,10284,4550,-18,0,217,1
2024-05-13,02:10:00,10268,4526,-14,0,220,1
2024-05-13,02:20:00,10284,4496,-12,0,223,1
2024-05-13,02:30:00,10287,4291,-16,0,218,1
2024-05-13,02:40:00,10262,4334,-28,0,221,1
2024-05-13,00:00:00,10355,5434,-24,0,444,1
2024-05-13,00:10:00,10341,5435,-21,0,458,1
2024-05-13,00:20:00,10368,5271,-16,0,427,1
2024-05-13,00:30:00,10354,5193,-27,0,410,1
2024-05-13,00:40:00,10339,5113,-24,0,420,0
2024-05-13,00:50:00,10361,5051,-16,0,228,1
2024-05-13,01:00:00,10340,5085,-16,0,221,1
2024-05-13,01:10:00,10354,4927,-11,0,244,1
2024-05-13,01:20:00,10349,4887,-8,0,236,1
2024-05-13,01:30:00,10347,4816,-19,0,237,1
2024-05-13,01:40:00,10354,4597,-16,0,216,1
2024-05-13,01:50:00,10284,4691,-12,0,215,1
2024-05-13,02:00:00,10284,4550,-18,0,217,1
2024-05-13,02:10:00,10268,4526,-14,0,220,1
2024-05-13,02:20:00,10284,4496,-12,0,223,1
2024-05-13,02:30:00,10287,4291,-16,0,218,1
2024-05-13,02:40:00,10262,4334,-28,0,221,1
2024-05-13,02:50:00,10201,4215,-26,0,217,1
2024-05-13,03:00:00,10131,4256,-21,0,255,1
2024-05-13,03:10:00,10098,4237,-23,0,253,1
2024-05-13,03:20:00,10009,4181,-16,0,217,1
2024-05-13,03:30:00,9726,4372,-12,0,255,1
2024-05-13,03:40:00,9658,4358,-13,0,254,1
2024-05-13,00:00:00,10355,5434,-24,0,444,1
2024-05-13,00:10:00,10341,5435,-21,0,458,1
2024-05-13,00:20:00,10368,5271,-16,0,427,1
2024-05-13,00:30:00,10354,5193,-27,0,410,1
2024-05-13,00:40:00,10339,5113,-24,0,420,0
2024-05-13,00:50:00,10361,5051,-16,0,228,1
2024-05-13,01:00:00,10340,5085,-16,0,221,1
2024-05-13,01:10:00,10354,4927,-11,0,244,1
2024-05-13,01:20:00,10349,4887,-8,0,236,1
2024-05-13,01:30:00,10347,4816,-19,0,237,1
2024-05-13,01:40:00,10354,4597,-16,0,216,1
2024-05-13,01:50:00,10284,4691,-12,0,215,1
2024-05-13,02:00:00,10284,4550,-18,0,217,1
2024-05-13,02:10:00,10268,4526,-14,0,220,1
2024-05-13,02:20:00,10284,4496,-12,0,223,1
2024-05-13,02:30:00,10287,4291,-16,0,218,1
2024-05-13,02:40:00,10262,4334,-28,0,221,1
2024-05-13,02:50:00,10201,4215,-26,0,217,1
2024-05-13,03:00:00,10131,4256,-21,0,255,1
2024-05-13,03:10:00,10098,4237,-23,0,253,1
2024-05-13,03:20:00,10009,4181,-16,0,217,1
2024-05-13,03:30:00,9726,4372,-12,0,255,1
2024-05-13,03:40:00,9658,4358,-13,0,254,1
2024-05-13,03:50:00,9679,4258,-13,0,232,1
2024-05-13,04:00:00,9634,4288,-11,0,255,1
2024-05-13,04:10:00,9673,4227,-14,0,251,1
2024-05-13,04:20:00,9666,4210,-31,0,243,1
2024-05-13,04:30:00,9677,4198,-21,0,217,1
2024-05-13,04:40:00,9580,4226,-16,0,232,1
2024-05-13,00:00:00,10355,5434,-24,0,444,1
2024-05-13,00:10:00,10341,5435,-21,0,458,1
2024-05-13,00:20:00,10368,5271,-16,0,427,1
2024-05-13,00:30:00,10354,5193,-27,0,410,1
2024-05-13,00:40:00,10339,5113,-24,0,420,0
2024-05-13,00:50:00,10361,5051,-16,0,228,1
2024-05-13,01:00:00,10340,5085,-16,0,221,1
2024-05-13,01:10:00,10354,4927,-11,0,244,1
2024-05-13,01:20:00,10349,4887,-8,0,236,1
2024-05-13,01:30:00,10347,4816,-19,0,237,1
2024-05-13,01:40:00,10354,4597,-16,0,216,1
2024-05-13,01:50:00,10284,4691,-12,0,215,1
2024-05-13,02:00:00,10284,4550,-18,0,217,1
2024-05-13,02:10:00,10268,4526,-14,0,220,1
2024-05-13,02:20:00,10284,4496,-12,0,223,1
2024-05-13,02:30:00,10287,4291,-16,0,218,1
2024-05-13,02:40:00,10262,4334,-28,0,221,1
2024-05-13,02:50:00,10201,4215,-26,0,217,1
2024-05-13,03:00:00,10131,4256,-21,0,255,1
2024-05-13,03:10:00,10098,4237,-23,0,253,1
2024-05-13,03:20:00,10009,4181,-16,0,217,1
2024-05-13,03:30:00,9726,4372,-12,0,255,1
2024-05-13,03:40:00,9658,4358,-13,0,254,1
2024-05-13,03:50:00,9679,4258,-13,0,232,1
2024-05-13,04:00:00,9634,4288,-11,0,255,1
2024-05-13,04:10:00,9673,4227,-14,0,251,1
2024-05-13,04:20:00,9666,4210,-31,0,243,1
2024-05-13,04:30:00,9677,4198,-21,0,217,1
2024-05-13,04:40:00,9580,4226,-16,0,232,1
2024-05-13,04:50:00,9586,4205,-21,0,235,1
2024-05-13,05:00:00,9554,4152,-16,0,201,1
2024-05-13,05:10:00,9385,4360,-17,0,247,1
2024-05-13,05:20:00,9378,4352,-10,0,262,1
2024-05-13,05:30:00,9372,4349,-16,0,268,1
2024-05-13,05:40:00,9440,4481,-12,0,269,1
2024-05-13,00:00:00,10355,5434,-24,0,444,1
2024-05-13,00:10:00,10341,5435,-21,0,458,1
2024-05-13,00:20:00,10368,5271,-16,0,427,1
2024-05-13,00:30:00,10354,5193,-27,0,410,1
2024-05-13,00:40:00,10339,5113,-24,0,420,0
2024-05-13,00:50:00,10361,5051,-16,0,228,1
2024-05-13,01:00:00,10340,5085,-16,0,221,1
2024-05-13,01:10:00,10354,4927,-11,0,244,1
2024-05-13,01:20:00,10349,4887,-8,0,236,1
2024-05-13,01:30:00,10347,4816,-19,0,237,1
2024-05-13,01:40:00,10354,4597,-16,0,216,1
2024-05-13,01:50:00,10284,4691,-12,0,215,1
2024-05-13,02:00:00,10284,4550,-18,0,217,1
2024-05-13,02:10:00,10268,4526,-14,0,220,1
2024-05-13,02:20:00,10284,4496,-12,0,223,1
2024-05-13,02:30:00,10287,4291,-16,0,218,1
2024-05-13,02:40:00,10262,4334,-28,0,221,1
2024-05-13,02:50:00,10201,4215,-26,0,217,1
2024-05-13,03:00:00,10131,4256,-21,0,255,1
2024-05-13,03:10:00,10098,4237,-23,0,253,1
2024-05-13,03:20:00,10009,4181,-16,0,217,1
2024-05-13,03:30:00,9726,4372,-12,0,255,1
2024-05-13,03:40:00,9658,4358,-13,0,254,1
2024-05-13,03:50:00,9679,4258,-13,0,232,1
2024-05-13,04:00:00,9634,4288,-11,0,255,1
2024-05-13,04:10:00,9673,4227,-14,0,251,1
2024-05-13,04:20:00,9666,4210,-31,0,243,1
2024-05-13,04:30:00,9677,4198,-21,0,217,1
2024-05-13,04:40:00,9580,4226,-16,0,232,1
2024-05-13,04:50:00,9586,4205,-21,0,235,1
2024-05-13,05:00:00,9554,4152,-16,0,201,1
2024-05-13,05:10:00,9385,4360,-17,0,247,1
2024-05-13,05:20:00,9378,4352,-10,0,262,1
2024-05-13,05:30:00,9372,4349,-16,0,268,1
2024-05-13,05:40:00,9440,4481,-12,0,269,1
2024-05-13,05:50:00,9472,4375,-11,0,270,1
2024-05-13,06:00:00,9586,4351,-9,0,243,1
2024-05-13,06:10:00,9692,4510,-10,0,237,1
2024-05-13,06:20:00,9785,4406,-8,0,243,1
2024-05-13,06:30:00,9775,4376,-12,0,238,1
2024-05-13,06:40:00,9770,4296,-10,0,244,1
2024-05-13,00:00:00,10355,5434,-24,0,444,1
2024-05-13,00:10:00,10341,5435,-21,0,458,1
2024-05-13,00:20:00,10368,5271,-16,0,427,1
2024-05-13,00:30:00,10354,5193,-27,0,410,1
2024-05-13,00:40:00,10339,5113,-24,0,420,0
2024-05-13,00:50:00,10361,5051,-16,0,228,1
2024-05-13,01:00:00,10340,5085,-16,0,221,1
2024-05-13,01:10:00,10354,4927,-11,0,244,1
2024-05-13,01:20:00,10349,4887,-8,0,236,1
2024-05-13,01:30:00,10347,4816,-19,0,237,1
2024-05-13,01:40:00,10354,4597,-16,0,216,1
2024-05-13,01:50:00,10284,4691,-12,0,215,1
2024-05-13,02:00:00,10284,4550,-18,0,217,1
2024-05-13,02:10:00,10268,4526,-14,0,220,1
2024-05-13,02:20:00,10284,4496,-12,0,223,1
2024-05-13,02:30:00,10287,4291,-16,0,218,1
2024-05-13,02:40:00,10262,4334,-28,0,221,1
2024-05-13,02:50:00,10201,4215,-26,0,217,1
2024-05-13,03:00:00,10131,4256,-21,0,255,1
2024-05-13,03:10:00,10098,4237,-23,0,253,1
2024-05-13,03:20:00,10009,4181,-16,0,217,1
2024-05-13,03:30:00,9726,4372,-12,0,255,1
2024-05-13,03:40:00,9658,4358,-13,0,254,1
2024-05-13,03:50:00,9679,4258,-13,0,232,1
2024-05-13,04:00:00,9634,4288,-11,0,255,1
2024-05-13,04:10:00,9673,4227,-14,0,251,1
2024-05-13,04:20:00,9666,4210,-31,0,243,1
2024-05-13,04:30:00,9677,4198,-21,0,217,1
2024-05-13,04:40:00,9580,4226,-16,0,232,1
2024-05-13,04:50:00,9586,4205,-21,0,235,1
2024-05-13,05:00:00,9554,4152,-16,0,201,1
2024-05-13,05:10:00,9385,4360,-17,0,247,1
2024-05-13,05:20:00,9378,4352,-10,0,262,1
2024-05-13,05:30:00,9372,4349,-16,0,268,1
2024-05-13,05:40:00,9440,4481,-12,0,269,1
2024-05-13,05:50:00,9472,4375,-11,0,270,1
2024-05-13,06:00:00,9586,4351,-9,0,243,1
2024-05-13,06:10:00,9692,4510,-10,0,237,1
2024-05-13,06:20:00,9785,4406,-8,0,243,1
2024-05-13,06:30:00,9775,4376,-12,0,238,1
2024-05-13,06:40:00,9770,4296,-10,0,244,1
2024-05-13,06:50:00,9796,4350,-8,0,241,1
2024-05-13,07:00:00,9850,4163,-9,0,201,2
2024-05-13,07:10:00,9855,4153,-7,0,218,9
2024-05-13,07:20:00,9859,4108,-17,0,216,30
2024-05-13,07:30:00,9850,4161,-13,0,218,62
2024-05-13,07:40:00,9871,4199,-14,0,261,106
2024-05-13,00:00:00,10355,5434,-24,0,444,1
2024-05-13,00:10:00,10341,5435,-21,0,458,1
2024-05-13,00:20:00,10368,5271,-16,0,427,1
2024-05-13,00:30:00,10354,5193,-27,0,410,1
2024-05-13,00:40:00,10339,5113,-24,0,420,0
2024-05-13,00:50:00,10361,5051,-16,0,228,1
2024-05-13,01:00:00,10340,5085,-16,0,221,1
2024-05-13,01:10:00,10354,4927,-11,0,244,1
2024-05-13,01:20:00,10349,4887,-8,0,236,1
2024-05-13,01:30:00,10347,4816,-19,0,237,1
2024-05-13,01:40:00,10354,4597,-16,0,216,1
2024-05-13,01:50:00,10284,4691,-12,0,215,1
2024-05-13,02:00:00,10284,4550,-18,0,217,1
2024-05-13,02:10:00,10268,4526,-14,0,220,1
2024-05-13,02:20:00,10284,4496,-12,0,223,1
2024-05-13,02:30:00,10287,4291,-16,0,218,1
2024-05-13,02:40:00,10262,4334,-28,0,221,1
2024-05-13,02:50:00,10201,4215,-26,0,217,1
2024-05-13,03:00:00,10131,4256,-21,0,255,1
2024-05-13,03:10:00,10098,4237,-23,0,253,1
2024-05-13,03:20:00,10009,4181,-16,0,217,1
2024-05-13,03:30:00,9726,4372,-12,0,255,1
2024-05-13,03:40:00,9658,4358,-13,0,254,1
2024-05-13,03:50:00,9679,4258,-13,0,232,1
2024-05-13,04:00:00,9634,4288,-11,0,255,1
2024-05-13,04:10:00,9673,4227,-14,0,251,1
2024-05-13,04:20:00,9666,4210,-31,0,243,1
2024-05-13,04:30:00,9677,4198,-21,0,217,1
2024-05-13,04:40:00,9580,4226,-16,0,232,1
2024-05-13,04:50:00,9586,4205,-21,0,235,1
2024-05-13,05:00:00,9554,4152,-16,0,201,1
2024-05-13,05:10:00,9385,4360,-17,0,247,1
2024-05-13,05:20:00,9378,4352,-10,0,262,1
2024-05-13,05:30:00,9372,4349,-16,0,268,1
2024-05-13,05:40:00,9440,4481,-12,0,269,1
2024-05-13,05:50:00,9472,4375,-11,0,270,1
2024-05-13,06:00:00,9586,4351,-9,0,243,1
2024-05-13,06:10:00,9692,4510,-10,0,237,1
2024-05-13,06:20:00,9785,4406,-8,0,243,1
2024-05-13,06:30:00,9775,4376,-12,0,238,1
2024-05-13,06:40:00,9770,4296,-10,0,244,1
2024-05-13,06:50:00,9796,4350,-8,0,241,1
2024-05-13,07:00:00,9850,4163,-9,0,201,2
2024-05-13,07:10:00,9855,4153,-7,0,218,9
2024-05-13,07:20:00,9859,4108,-17,0,216,30
2024-05-13,07:30:00,9850,4161,-13,0,218,62
2024-05-13,07:40:00,9871,4199,-14,0,261,106
2024-05-13,07:50:00,9890,4266,-21,0,270,152
2024-05-13,08:00:00,9960,4348,-20,0,325,206
2024-05-13,08:10:00,10027,4449,-16,0,586,261
