district_mukim,avg_floorsm,rental_2021,rental_2022,location,types,source
Taman Desa Aman 2,75.0,380 - 400,380 - 400,Yan,SINGLE STOREY SEMI - DETACH,2022/KEDAH
   Zon Kenanga,130.0,,900 - 1000,Bandar Amanjaya ,SINGLE STOREY SEMI - DETACH,2022/KEDAH
   Zon Melor             ,119.0,650,650,Bandar Amanjaya ,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Bandar Puterijaya Seksyen 3A,113.0,,650 - 700,Bandar Amanjaya ,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Bukit Rebana (SP Height),110.0,,400 - 600,Bandar Amanjaya ,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Intan Fasa 1                        ,111.0,800,800,Bandar Amanjaya ,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Bandar Permata Lunas,109.0,,1300,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Aman,75.0,,700,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Bestari,94.0,800,800,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Bistari,86.0,550 - 600,550 - 600,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Dahlia,161.0,,1200,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Haruan,107.0,,700,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Kempas Fasa 3,142.0,,800,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Keranji Fasa 1,202.0,,1600,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Kulim Utama,87.0,650,650,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Lagenda,119.0,,800,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Mahsuri,122.0,,750,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman MBI Desaku,115.0,,1200,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Merawan,218.0,,1600,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Puteri,109.0,650,650,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Semarak (Pecahan Lot 953),97.0,,1200,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Seroja,95.0,650,650,Kulim,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Wawasan Indah,84.0,1000 - 1300,1000 - 1300,Langkawi,SINGLE STOREY SEMI - DETACH,2022/KEDAH
Taman Cemara,228.0,1000 - 1500,1000 -1500,Kota Setar,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Golf,144.0,900 - 1000,900 - 1000,Kota Setar,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Jeliti,190.0,900 - 1000,900 - 1000,Kota Setar,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Lumba Kuda,224.0,1000 -1500,1000 - 1600,Kota Setar,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Meranti Indah,202.0,850 - 900,850 - 900,Kota Setar,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Pulasan,128.0,900 - 1000,900 - 1000,Kota Setar,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Cermai,199.0,900 - 1000,900 - 1000,Kubang Pasu,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Tunku Sarena ,191.0,800 - 1000,800 - 1000,Kubang Pasu,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Bandar Laguna Merbok ,220.0,,1200 -1500,Kuala Muda               ,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Bukit Banyan,275.0,,1500,Kuala Muda               ,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Perdana Heights                         ,251.0,1500,1500 - 1800,Kuala Muda               ,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Mewah                               ,184.0,1100,1100,Kuala Muda               ,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Ria Jaya Fasa 3                     ,165.0,700,700,Kuala Muda               ,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Yarra Park Westfield,280.0,,1200 - 1500,Kuala Muda               ,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Beringin Indah,240.0,,1300,Kulim,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Bukit Indah ,150.0,2200 - 2500,2200 - 2500,Langkawi,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Rima Emas,221.0,,1800,Langkawi,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Seri Negeri,160.0,1100 - 1300,1100 - 1300,Langkawi,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Seroja ,147.0,1000 - 1500,1000 - 1500,Langkawi,DOUBLE STOREY SEMI - DETACH,2022/KEDAH
Taman Bukit Indah ,406.0,,2500,Langkawi,TWO AND A - HALF STOREY DETACH,2022/KEDAH
Taman Bunga Padi,51,400 - 450,400 - 450,Kangar,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Bunga Padma,63,450 - 500,450 - 500,Kangar,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Bunga Raya,51,400 - 450,400 - 450,Kangar,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Dato Jaafar,59,450 - 500,450 - 500,Kangar,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Dato' Wan Ahmad,55,350 - 450,350 - 450,Kangar,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Gasing,58,500,500 - 550,Kangar,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Hijrah,65,400 - 480,400 - 500,Kangar,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Sepadu,62,400 - 480,400 - 500,Kangar,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Seri Embun,62,420 - 500,450 - 500,Kangar,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Seri Manis,58,400 - 450,400 - 450,Kangar,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Sri Intan ,58,350 - 400,350 - 400,Kangar,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
RPA Arau,65,400 - 450,400 - 500,Arau,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Bunga Kenanga,65,300 - 350,300 - 350,Arau,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Bunga Mawar,60,400 - 450,400 - 450,Arau,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Bunga Selasih,65,300 - 350,300 - 350,Arau,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Bukit Kubu,65,300 - 400,300 - 400,Kuala Perlis,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Bunga Kertas,58,300 - 400,300 - 400,Kuala Perlis,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Seberang Jaya,62,320 - 400,350 - 400,Kuala Perlis,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Sri Semarak,59,300 - 400,300 - 400,Kuala Perlis,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
RPA Santan II,74,300 - 400,300 - 400,Beseri,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Beseri Indah,56,350 - 450,350 - 450,Beseri,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Beseri Jaya,51,300 - 350,300 - 350,Beseri,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Beseri Permai,69,350 - 450,350 - 450,Beseri,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Bunga Janda Kaya,55,250 - 300,300 - 320,Beseri,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Emas,68,350 - 400,350 - 400,Beseri,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Melati Indah,73,300 - 400,300 - 400,Beseri,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Kaki Bukit,57,300 - 350,300 - 350,Titi Tinggi,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Padang Besar,57,350 - 400,350 - 400,Titi Tinggi,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Cempaka Putih,70,350 - 450,350 - 450,Kurung Anai,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Desa Pauh,67,400 - 450,400 - 450,Kurung Anai,SINGLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Kemajuan,77,500 - 600,500 - 600,Kangar,DOUBLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Seroja,75,350 - 450,380 - 450,Kangar,DOUBLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Sri Kenanga,78,300 - 400,350 - 400,Kangar,DOUBLE STOREY LOW-COST TERRACE,2022/PERLIS
Taman Kuala Perlis,65,300 - 350,300 - 350,Kuala Perlis,DOUBLE STOREY LOW-COST TERRACE,2022/PERLIS
, ,,, ,SINGLE STOREY TERRACE,2022/PERLIS
Taman Aman,85,500 - 650,550 - 700,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Bintong Ceria,93,500 - 600,500 - 600,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Bukit Kayangan,83,450 - 530,450 - 530,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Desa Bintong,81,450 - 500,450 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Desa Katong,70,400 - 500,450 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Desa Putra,70,450 - 500,450 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Firdaus,76,550 - 580,550 - 580,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Guru Jaya,97,550 - 600,550 - 600,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Hijrah,66,550 - 650,550 - 650,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Ira ,84,500 - 600,500 - 600,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Jali,60,450 - 500,450 - 550,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Jarak,85,450 - 550,450 - 550,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Kechor,86,450 - 500,450 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Mas Muda,82,480 - 550,480 - 550,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Masmuda F6,85,650 - 700,650 - 700,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Medan Sepakat,74,400 - 500,450 - 550,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Muda Sepakat,83,400 - 500,400 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Mutiara Baru,84,400 - 500,450 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Mutiara Tiga,88,550 - 650,550 - 650,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Padang Behor,103,600 - 650,600 - 650,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Paduka,78,400 - 500,450 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Perlis,98,500 - 650,550 - 700,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Repoh Jaya,94,450 - 500,450 - 550,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Saujana Idaman,72,650 - 750,650 - 750,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Sena Indah,86,450 - 550,500 - 600,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Seri Lanchang,70,400 - 500,400 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Seri Medan,82,400 - 500,400 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Seri Pulai,80,450 - 500,450 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Sri Bakau,75,500 - 550,500 - 550,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Sri Bintong Maju,86,550 - 600,550 - 600,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Sri Hartamas,67,550 - 600,550 - 600,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Suriani,86,400 - 500,400 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Teratai,70,400 - 500,400 - 500,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Wan Arpah,83,500 - 600,500 - 600,Kangar,SINGLE STOREY TERRACE,2022/PERLIS
Taman Jejawi,85,450 - 530,450 - 550,Jejawi,SINGLE STOREY TERRACE,2022/PERLIS
Taman Mesra,85,500 - 600,500 - 600,Jejawi,SINGLE STOREY TERRACE,2022/PERLIS
Taman Muhibbah,69,600 - 700,600 - 700,Jejawi,SINGLE STOREY TERRACE,2022/PERLIS
Taman Utara,96,500 - 550,500 - 550,Jejawi,SINGLE STOREY TERRACE,2022/PERLIS
Taman Berlian,85,400 - 450,400 - 500,Kuala Perlis,SINGLE STOREY TERRACE,2022/PERLIS
Taman Bukit Kubu,75,450 - 500,450 - 500,Kuala Perlis,SINGLE STOREY TERRACE,2022/PERLIS
Taman Kuala Perlis Indah,85,400 - 450,400 - 450,Kuala Perlis,SINGLE STOREY TERRACE,2022/PERLIS
Taman Peladang Jaya,75,400 - 480,400 - 480,Kuala Perlis,SINGLE STOREY TERRACE,2022/PERLIS
Taman Seberang Ramai,83,450 - 500,450 - 500,Kuala Perlis,SINGLE STOREY TERRACE,2022/PERLIS
Taman Sejahtera,83,400 - 450,400 - 450,Kuala Perlis,SINGLE STOREY TERRACE,2022/PERLIS
Taman Semarak,61,450 - 500,450 - 500,Kuala Perlis,SINGLE STOREY TERRACE,2022/PERLIS
Taman Sri Bayu,80,450 - 500,450 - 500,Kuala Perlis,SINGLE STOREY TERRACE,2022/PERLIS
Taman Utara Jaya,79,350 - 420,350 - 450,Kuala Perlis,SINGLE STOREY TERRACE,2022/PERLIS
Taman Arau,92,500 - 550,500 - 550,Arau,SINGLE STOREY TERRACE,2022/PERLIS
Taman Bersatu,72,350 - 450,350 - 450,Arau,SINGLE STOREY TERRACE,2022/PERLIS
Taman Pekan Arau,73,350 - 450,400 - 450,Arau,SINGLE STOREY TERRACE,2022/PERLIS
Taman Ria,75,350 - 450,400 - 450,Arau,SINGLE STOREY TERRACE,2022/PERLIS
Taman Seri Arau,89,600,600 - 650,Arau,SINGLE STOREY TERRACE,2022/PERLIS
Taman Seri Intan,70,350 - 450,400 - 500,Arau,SINGLE STOREY TERRACE,2022/PERLIS
Taman Seri Mawar,85,400 - 450,400 - 450,Arau,SINGLE STOREY TERRACE,2022/PERLIS
Taman Seri Wang,61,550 - 700,550 - 700,Arau,SINGLE STOREY TERRACE,2022/PERLIS
Taman Beseri Jaya,79,400 - 500,400 - 500,Beseri,SINGLE STOREY TERRACE,2022/PERLIS
Taman Haz Melati,85,450 - 550,450 - 550,Beseri,SINGLE STOREY TERRACE,2022/PERLIS
Taman Melati Indah,86,450 - 550,450 - 550,Beseri,SINGLE STOREY TERRACE,2022/PERLIS
Taman Melati Permai,85,600,600 - 650,Beseri,SINGLE STOREY TERRACE,2022/PERLIS
Taman Desa Pauh,92,450 - 550,450 - 550,Kurong Anai,SINGLE STOREY TERRACE,2022/PERLIS
Taman Pauh Indah,91,550 - 600,550 - 600,Kurong Anai,SINGLE STOREY TERRACE,2022/PERLIS
Taman Sri Pauh,80,480 - 550,480 - 550,Kurong Anai,SINGLE STOREY TERRACE,2022/PERLIS
Taman Tengku Budriah,92,550 - 600,550 - 650,Kurong Anai,SINGLE STOREY TERRACE,2022/PERLIS
Taman Kim,97,,500 - 550,Titi Tinggi,SINGLE STOREY TERRACE,2022/PERLIS
Taman Padang Besar,61,450 - 500,450 - 500,Titi Tinggi,SINGLE STOREY TERRACE,2022/PERLIS
Bandar Baru Putra Height,90,,400 - 500,Padang Siding,SINGLE STOREY TERRACE,2022/PERLIS
Taman Bukit Kaya ,164,900,900,Kangar,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Bukit Kaya Indah,187,1050 - 1200,1050 - 1200,Kangar,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Bukit Kayangan,180,600 - 700,600 - 700,Kangar,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Desa Putera,179,550 - 650,550 - 650,Kangar,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Desa Saujana,180,,750 - 800,Kangar,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Guru Jaya,151,650 - 750,650 - 750,Kangar,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Kemajuan,115,500 - 600,550 - 650,Kangar,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Pertama,181,500 - 600,550 - 600,Kangar,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Putra Utama,151,1000,1000,Kangar,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Sena Indah,161,500 - 600,550 - 650,Kangar,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Seri Murni,166,600 - 700,600 - 700,Kangar,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Ismail Shaik,178,600 - 700,600 - 700,Arau,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Utara Jaya,115,450 - 550,500 - 600,Kuala Perlis,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Muda Asas,140,600 - 650,600 - 650,Kurong Anai,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Pauh Indah,117,600 - 650,600 - 650,Kurong Anai,DOUBLE STOREY TERRACE,2022/PERLIS
Taman Behor Indah,98,500 - 600,550 - 650,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Bintong Ceria,112,750 - 800,750 - 850,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Bukit Kaya,89,600 - 700,600 - 700,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Bukit Kayangan,100,650 - 750,650 - 750,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Desa Katong,85,550 - 650,550 - 650,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Desa Kayang,82,500 - 550,550 - 600,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Desa Putra,90,480 - 600,550 - 650,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Desa Sentua,91,450 - 580,500 - 600,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Fauziah,109,550 - 700,550 - 700,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Firdaus,76,550 - 650,550 - 650,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Gembira,102,600 - 700,600 - 700,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Guru,93,550 - 700,550 - 700,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Guru Jaya,132,700 - 750,700 - 750,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Harmoni,83,700 - 750,700 - 750,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Hijrah,73,600 - 700,600 - 700,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Ira,105,550 - 700,550 - 700,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Jali,85,550 - 650,550 - 650,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Jarak,100,,500 - 650,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Koperasi,83,500 - 600,500 - 600,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Padang Behor,87,650 - 700,650 - 700,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Perlis,100,500 - 600,500 - 600,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Repoh Jaya,104,550 - 600,550 - 600,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Repoh Permai,104,650 - 700,650 - 700,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Sentua,100,500 - 600,500 - 600,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Seri Bakau,117,800,800 - 850,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Seri Pulai,86,500 - 600,550 - 600,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Setia Utama,97,550 - 650,550 - 650,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Sri Bintong Maju,86,650 - 700,650 - 700,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Syed Alwi Putra,119,700 - 750,700 - 750,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Temak Jaya,102,650 - 750,650 - 750,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Utama Indah,100,700 - 750,700 - 800,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Utama Jaya,118,600 - 700,600 - 700,Kangar,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Jejawi,105,500 - 600,550 - 600,Jejawi,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Muhibbah,92,600 - 700,600 - 700,Jejawi,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Seri Lanchang,90,500 - 600,550 - 600,Jejawi,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Utara Jejawi,138,550 - 650,550 - 650,Jejawi,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Berlian,86,450 - 550,450 - 550,Kuala Perlis,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Bukit Kubu 11,100,700,700,Kuala Perlis,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Kuala Perlis Indah,75,450 - 550,450 - 550,Kuala Perlis,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Peladang Jaya,79,450 - 550,450 - 550,Kuala Perlis,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Sejahtera,78,400 - 500,450 - 500,Kuala Perlis,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Seri Bayu,81,,600 -700,Kuala Perlis,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Suria,76,450 - 550,450 - 600,Kuala Perlis,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Arau Utama,120,600 - 700,600 - 700,Arau,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Desa Nyum,98,500 - 600,500 - 600,Arau,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Enyum Setia,120,,700 - 750,Arau,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Mesra,79,450 - 550,500 - 550,Arau,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Seri Lanchang,90,450 - 550,500 - 580,Arau,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Seri Mawar,87,450 - 550,500 - 550,Arau,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Seri Wang,86,500 - 650,550 - 650,Arau,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Beseri Indah,92,550 - 650,550 - 650,Beseri,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Beseri Murni,115,500 - 600,500 - 600,Beseri,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Beseri Permai,93,750,750,Beseri,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Haz Melati,100,500 - 600,500 - 600,Beseri,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Melati Indah,137,550 - 650,550 - 650,Beseri,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Tunjung,116,400 - 500,400 - 500,Beseri,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Santan Indah,90,550 - 650,550 - 650,Mukim Padang Pauh,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Padang Besar,80,450 - 550,500 - 600,Titi Tinggi,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Pauh Indah,106,700 - 750,700 - 750,Kurong Anai,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Tengku Budriah,105,680 - 750,680 - 750,Kurong Anai,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Simpang Indah,99,500 - 600,500 - 600,Kayang,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Taman Simpang Jaya,120,500 - 600,500 - 600,Kayang,SINGLE STOREY SEMI-DETACH,2022/PERLIS
Kampong Guru,195,750 - 850,750 - 850,Kangar,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Bukit Kaya,220,1500,1500,Kangar,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Desa Kayang,148,600 - 750,650 - 750,Kangar,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Guru Jaya,190,600 - 750,650 - 750,Kangar,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Kangar,163,650 - 750,650 - 750,Kangar,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Mewah,247,1500,1500,Kangar,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Pertama,204,650 - 750,650 - 750,Kangar,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Salang Indah,179,1000  - 1100,1000  - 1100,Kangar,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Saujana Idaman,187,900 - 950,900 - 950,Kangar,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Muda Asas,178,600 - 650,600 - 700,Kurong Anai,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Tengku Budriah,195,650 - 700,650 - 750,Kurong Anai,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Indera Indah,195,900 - 1000,900 - 1000,Kuala Perlis,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Kuala Perlis,162,,800 - 850,Kuala Perlis,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Sentosa,150,600 - 700,600 - 700,Kuala Perlis,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Singgahsana,171,600,600 - 650,Padang Besar,DOUBLE STOREY SEMI-DETACH,2022/PERLIS
Taman Hijrah 3,145,840,840 - 900,Kangar,SINGLE STOREY DETACH,2022/PERLIS
Taman Jali,110,650 - 750,700 - 800,Kangar,SINGLE STOREY DETACH,2022/PERLIS
Taman Kechor Utama ,136,650 - 750,700 - 800,Kangar,SINGLE STOREY DETACH,2022/PERLIS
Taman Utama,136,650 - 750,700 - 850,Kangar,SINGLE STOREY DETACH,2022/PERLIS
Taman Guru,165,1000 - 1200,1000 - 1200,Kangar,DOUBLE STOREY DETACH,2022/PERLIS
Taman Puchong Perdana,52,800 - 900,800 - 900,Petaling,SINGLE STOREY LOW - COST TERRACE,2022/SELANGOR
Perumahan kinrara,57,  900 - 1000,  900 - 1000,Petaling,SINGLE STOREY LOW - COST TERRACE,2022/SELANGOR
Taman Cempaka Sari,55,,750 - 800,Klang,SINGLE STOREY LOW - COST TERRACE,2022/SELANGOR
Taman Bukit Rawang Jaya,75,500 - 700,500 - 700,Gombak,SINGLE STOREY LOW - COST TERRACE,2022/SELANGOR
