district_mukim,sample_size,avg_landsm,avg_floorsm,price_2021,price_2022,avg_pricePerct,location,types,source
Taman Tun Dr Ismail,1.0,178.0,261.1,1410000,1380000,-2.127659574468085,Mukim Kuala Lumpur,ONE AND HALF STOREY TERRACE,2022/WP KL
Bandar Baru Sri Petaling,1.0,160.0,122.55,670000,745000,11.194029850746269,Mukim Petaling,ONE AND HALF STOREY TERRACE,2022/WP KL
Taman Kok Lian,1.0,65.0,71.535,,350000,ND,Mukim Batu,DOUBLE STOREY LOW - COST TERRACE,2022/WP KL
Bukit Anggerik,4.0,66.76,79.7975,270000 - 360000,270000 - 370000,Stable,Mukim Cheras,DOUBLE STOREY LOW - COST TERRACE,2022/WP KL
Bandar Baru Sri Petaling,7.0,74.85714285714286,74.31499999999998,270000 - 499000,288000 - 420000,-4.315158899380645,Mukim Petaling,DOUBLE STOREY LOW - COST TERRACE,2022/WP KL
Desa Setapak,1.0,55.0,83.83,,400000,ND,Mukim Setapak,DOUBLE STOREY LOW - COST TERRACE,2022/WP KL
Bandar Menjalara (Desa Seri Mahkota),6.0,83.66666666666667,85.52133333333335,500000 - 700000,450000 - 690000,Stable,Mukim Batu,DOUBLE STOREY MEDIUM COST,2022/WP KL
Kepong Garden,1.0,134.0,152.35999999999999,,760000,ND,Mukim Batu,DOUBLE STOREY MEDIUM COST,2022/WP KL
Taman Koperasi Polis Fasa 1,6.0,82.0,82.72233333333334,330000 - 450000,330000 - 460000,8.301886792452828,Mukim Batu,DOUBLE STOREY MEDIUM COST,2022/WP KL
Taman Koperasi Polis Fasa 2,6.0,82.0,115.37166666666666,400000 - 550000,435000 - 550000,6.019276232042185,Mukim Batu,DOUBLE STOREY MEDIUM COST,2022/WP KL
Taman Intan Baiduri,2.0,143.0,131.4875,,585000-610000,ND,Mukim Batu,DOUBLE STOREY MEDIUM COST,2022/WP KL
Taman Kok Lian,1.0,80.0,82.43,350000 - 382000,380000,3.825136612021858,Mukim Batu,DOUBLE STOREY MEDIUM COST,2022/WP KL
Taman Segambut Damai,2.0,65.0,79.3,450000,388000 - 430000,-9.11111111111111,Mukim Batu,DOUBLE STOREY MEDIUM COST,2022/WP KL
Taman Sejahtera,1.0,82.0,103.55,460000,475000,3.260869565217391,Mukim Batu,DOUBLE STOREY MEDIUM COST,2022/WP KL
Taman Sri Bintang,1.0,99.0,96.625,570000,600000,5.263157894736842,Mukim Batu,DOUBLE STOREY MEDIUM COST,2022/WP KL
Taman Sri Kepong Baru,2.0,55.0,71.91250000000001,320000 - 450000,340000 - 430000,-4.938271604938271,Mukim Batu,DOUBLE STOREY MEDIUM COST,2022/WP KL
Taman Sri Sinar,6.0,72.27083333333333,80.93833333333333,315000 - 700000,360000 - 660000,Stable,Mukim Batu,DOUBLE STOREY MEDIUM COST,2022/WP KL
