district_mukim,sample_size,avg_landsm,avg_floorsm,price_2021,price_2022,avg_pricePerct,location,types,source
Perkampungan Sekilau,5.0,139.0,82.0,243000 - 280000,250000 - 280000,3.8,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Perkampungan Seri Damai,3.0,139.0,89.0,180000 - 295000,240000 - 260000,Stable,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Perkampungan Seri Mahkota,7.0,150.0,87.0,190000 - 270000,225000 - 250000,Stable,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Perkampungan Seri Setali,5.0,149.0,93.0,220000 - 300000,250000 - 294000,Stable,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Perkampungan Sungai Karang Darat,3.0,126.0,75.0,230000 - 260000,230000 - 260000,Stable,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Perkampungan Sungai Soi,3.0,154.0,88.0,210000 - 265000,230000 - 270000,2.6,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Perkampungan Sungai Ular,2.0,146.0,83.0,,215000,ND,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Semambu,2.0,126.0,72.0,230000 - 285000,250000 - 300000,6.1,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Seri Kuantan,4.0,161.0,89.0,280000 - 315000,286000 - 360000,4.4,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Seri Teruntum,4.0,154.0,95.0,250000 - 280000,250000 - 310000,3.6,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Taman Guru,2.0,130.0,78.0,198000 - 250000,230000,2.6,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Taman Kota Sultan Ahmad Shah (KoTaman TasAS),2.0,153.0,106.0,325000,330000 - 350000,4.4,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Taman Putera Perwira,4.0,121.0,68.0,175000 - 245000,173000 - 220000,2.8,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Taman Taman Tas,1.0,154.0,92.0,270000,290000,7.4,Kuantan,SINGLE STOREY TERRACE,2022/PAHANG
Ketapang,1.0,130.0,84.0,215000,200000,-7,Pekan,SINGLE STOREY TERRACE,2022/PAHANG
Peramu Jaya,1.0,186.0,74.0,248000 - 265000,260000,Stable,Pekan,SINGLE STOREY TERRACE,2022/PAHANG
Taman Harmoni,2.0,133.0,72.0,170000 - 210000,190000 - 200000,2.5,Pekan,SINGLE STOREY TERRACE,2022/PAHANG
"Tanjung Residence, Ubai",1.0,112.0,71.0,,200000,ND,Pekan,SINGLE STOREY TERRACE,2022/PAHANG
Bandar Rompin,1.0,139.0,82.0,,250000,ND,Rompin ,SINGLE STOREY TERRACE,2022/PAHANG
"Bandar Satelite, Muadzam Shah",1.0,143.0,101.0,230000 - 240000,255000,9,Rompin ,SINGLE STOREY TERRACE,2022/PAHANG
"Taman Pantai Indah, Jalan Pantai Hiburan",1.0,130.0,81.0,,195000,ND,Rompin ,SINGLE STOREY TERRACE,2022/PAHANG
Taman Rompin Makmur,1.0,149.0,74.0,230000 - 240000,260000,7.6,Rompin ,SINGLE STOREY TERRACE,2022/PAHANG
Taman Jengka Idaman,1.0,130.0,80.0,240000 - 250000,250000,Stable,Maran,SINGLE STOREY TERRACE,2022/PAHANG
Taman Jengka Indah,1.0,130.0,69.0,,230000,ND,Maran,SINGLE STOREY TERRACE,2022/PAHANG
Taman Bahagia,1.0,149.0,115.0,,180000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Bukit Bendera,1.0,186.0,97.0,,250000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Bukit Semantan,1.0,170.0,112.0,,300000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Desa Saujana,1.0,130.0,70.0,160000,170000,6.25,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Intan,1.0,172.0,137.0,,250000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Jaya 3,1.0,156.0,83.0,250000,250000,Stable,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Jaya 4,1.0,134.0,78.0,,200000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Kemuning Indah,3.0,143.0,81.0,,225000 - 250000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Kristal,1.0,130.0,76.0,,230000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman KSM Height,1.0,169.0,121.0,,290000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman KSM ,1.0,174.0,84.0,,180000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Mahkota,1.0,143.0,101.0,,250000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Muhibbah,2.0,143.0,81.0,,267000 - 280000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Rimba,3.0,157.0,101.0,,220000 - 245000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Rimba Emas,1.0,167.0,120.0,,298000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Rimba,1.0,143.0,92.0,,280000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Seberang Permai,1.0,156.0,97.0,,250000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Seberang Temerloh,1.0,130.0,89.0,,250000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Sri Belengu,1.0,167.0,120.0,,298000,ND,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Temerloh Jaya,1.0,143.0,82.0,240000,250000,4.2,Temerloh,SINGLE STOREY TERRACE,2022/PAHANG
Taman Anggerik Height,1.0,153.0,102.0,,383000,ND,Bentong,SINGLE STOREY TERRACE,2022/PAHANG
Taman Bukit Indah,2.0,143.0,84.0,,280000 - 300000,ND,Bentong,SINGLE STOREY TERRACE,2022/PAHANG
Taman Hijau,1.0,153.0,111.0,,250000,ND,Bentong,SINGLE STOREY TERRACE,2022/PAHANG
Taman Karak,2.0,139.0,98.0,,180000 - 223000,ND,Bentong,SINGLE STOREY TERRACE,2022/PAHANG
Taman Mawar Bentong,1.0,128.0,99.0,275000,275000,Stable,Bentong,SINGLE STOREY TERRACE,2022/PAHANG
Taman Permai Karak,1.0,130.0,78.0,,260000,ND,Bentong,SINGLE STOREY TERRACE,2022/PAHANG
Taman Seri Bukit Tinggi,1.0,130.0,74.0,,300000,ND,Bentong,SINGLE STOREY TERRACE,2022/PAHANG
Taman Seri Bayu,1.0,130.0,72.0,220000 - 230000,230000,2.2,Bentong,SINGLE STOREY TERRACE,2022/PAHANG
Taman Wijaya,1.0,153.0,93.0,300000,300000,Stable,Bentong,SINGLE STOREY TERRACE,2022/PAHANG
Taman Damak Indah,1.0,130.0,82.0,,200000,ND,Jerantut,SINGLE STOREY TERRACE,2022/PAHANG
Taman Damai Jerantut,1.0,160.0,84.0,,225000,ND,Jerantut,SINGLE STOREY TERRACE,2022/PAHANG
Taman Embun Jaya,1.0,134.0,92.0,250000,258000,3.2,Jerantut,SINGLE STOREY TERRACE,2022/PAHANG
Taman Inderapura,2.0,153.0,89.0,,220000 - 250000,ND,Jerantut,SINGLE STOREY TERRACE,2022/PAHANG
Taman Intan Jerantut,1.0,166.0,102.0,,185000,ND,Jerantut,SINGLE STOREY TERRACE,2022/PAHANG
Taman Mawar Murni,1.0,164.0,102.0,,240000,ND,Jerantut,SINGLE STOREY TERRACE,2022/PAHANG
Taman Melati Jerantut,1.0,133.0,93.0,225000 - 240000,243000,2.82,Jerantut,SINGLE STOREY TERRACE,2022/PAHANG
Taman Pedah Jaya,1.0,149.0,86.0,,230000,ND,Jerantut,SINGLE STOREY TERRACE,2022/PAHANG
Taman Pelangi,2.0,147.0,76.0,,180000 - 200000,ND,Jerantut,SINGLE STOREY TERRACE,2022/PAHANG
Taman Ruby,1.0,153.0,101.0,180000,180000,Stable,Jerantut,SINGLE STOREY TERRACE,2022/PAHANG
Taman Cempaka Murni,1.0,149.0,99.0,240000,230000,-4.2,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Damai Mengkuang,1.0,130.0,85.0,,180000,ND,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Mawar Indah,1.0,130.0,82.0,,240000,ND,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Melur Indah,2.0,157.0,102.0,,260000 - 275000,ND,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Meranti Indah,1.0,133.0,92.0,,245000,ND,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Merbau Impian,1.0,221.0,118.0,,338000,ND,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Merbau Indah,1.0,130.0,84.0,190000,185000,-2.7,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Selayang,1.0,143.0,75.0,,200000,ND,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Sentosa,1.0,121.0,84.0,,200000,ND,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Seri Bera,1.0,121.0,68.0,,175000,ND,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Triang Jaya,1.0,164.0,93.0,,218000,ND,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Triang Makmur,1.0,121.0,68.0,130000,130000,Stable,Bera,SINGLE STOREY TERRACE,2022/PAHANG
Taman Amalina Lestari,1.0,130.0,93.0,,245000,ND,Raub,SINGLE STOREY TERRACE,2022/PAHANG
Taman Cheroh Murni,1.0,153.0,70.0,,210000,ND,Raub,SINGLE STOREY TERRACE,2022/PAHANG
Taman Emas,1.0,153.0,110.0,,220000,ND,Raub,SINGLE STOREY TERRACE,2022/PAHANG
Taman KSM,1.0,153.0,109.0,,250000,ND,Raub,SINGLE STOREY TERRACE,2022/PAHANG
Taman Lily Fasa 2,1.0,130.0,89.0,285000,270000,-5.26,Raub,SINGLE STOREY TERRACE,2022/PAHANG
Taman Mewah,1.0,148.0,83.0,,150000,ND,Raub,SINGLE STOREY TERRACE,2022/PAHANG
Taman Raub Jaya 3,1.0,130.0,73.0,215000,235000,9.3,Raub,SINGLE STOREY TERRACE,2022/PAHANG
Taman Raub Jaya 6,1.0,143.0,98.0,,270000,ND,Raub,SINGLE STOREY TERRACE,2022/PAHANG
Taman Sri Raub,1.0,130.0,95.0,,230000,ND,Raub,SINGLE STOREY TERRACE,2022/PAHANG
,1.0,143.0,104.0,,270000,ND,Raub,SINGLE STOREY TERRACE,2022/PAHANG
Taman Merbau Indah,1.0,130.0,115.0,300000,300000,Stable,Bera,ONE AND HALF STOREY TERRACE,2022/PAHANG
Air Putih,1.0,75.0,78.0,,220000,ND,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
,1.0,100.0,100.0,,265000,ND,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Alor Akar,2.0,79.0,57.0,,185000 - 190000,ND,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Balok,3.0,87.0,122.0,,180000 - 195000,ND,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Bukit Setongkol,2.0,65.0,57.0,140000 - 150000,140000 - 170000,5.4,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Chengal Lempong,3.0,65.0,88.0,,170000 - 190000,ND,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Galing,3.0,65.0,57.0,183000,168000 - 220000,6.6,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
"Indera Mahkota 1, Bandar Indera Mahkota",3.0,65.0,73.0,120000 - 150000,120000 - 145000,-9,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
"Indera Mahkota 16, Bandar Indera Mahkota",1.0,65.0,82.0,,120000,ND,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Kampung Tiram,2.0,65.0,66.0,,130000 - 160000,ND,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Kubang Buaya,1.0,69.0,57.0,,188000,ND,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Pandan,5.0,65.0,67.0,,118000 - 150000,ND,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Perkampungan Cenderawasih,1.0,69.0,63.0,100000,100000,Stable,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Perkampungan Gambang Jaya,1.0,77.0,59.0,120000,130000,7.7,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Semambu,2.0,65.0,66.0,,133000 - 188000,ND,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Seri Setali,7.0,66.0,61.0,140000 - 190000,145000 - 200000,5.9,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Sri Mahkota,3.0,65.0,56.0,130000 - 150000,150000,5,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Tanah Putih,3.0,45.0,55.0,70000 - 130000,80000 - 110000,6.7,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Tas,1.0,65.0,70.0,153000,160000,4.6,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
,1.0,111.0,92.0,,180000,ND,Kuantan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
"Taman Pelangkah, Jalan Pekan - Batu Balik",1.0,65.0,57.0,100000,100000,Stable,Pekan,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Kencana,1.0,65.0,62.0,,100000,ND,Rompin,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Muda Jaya,1.0,72.0,68.0,,100000,ND,Maran,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Bahagia Indah,1.0,70.0,78.0,,113000,ND,Temerloh,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Bahagia,1.0,5.0,66.0,,170000,ND,Temerloh,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Desa Saujana,1.0,65.0,60.0,,60000,ND,Temerloh,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Kuala Krau,1.0,65.0,65.0,110000,100000,-9.1,Temerloh,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Temerloh Jaya,1.0,72.0,76.0,170000 - 180000,165000,-5.71,Temerloh,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
PAKR Bukit Piatu,1.0,65.0,78.0,,100000,ND,Bentong,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Bukit Indah,2.0,65.0,70.0,200000,160000 - 250000,2.5,Bentong,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
PAKR Bandar Baru Jerantut,2.0,65.0,69.0,ND,100000 - 120000,ND,Jerantut,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Desa Aman,1.0,72.0,82.0,,120000,ND,Bera,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Amalina,1.0,78.0,77.0,150000,160000,6.7,Raub,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
,1.0,78.0,104.0,,190000,ND,Raub,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Kemajuan,2.0,72.0,85.0,150000,150000 - 155000,Stable,Raub,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Medan Indah,1.0,68.0,65.0,,160000,ND,Raub,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Raub Jaya 3,3.0,65.0,75.0,,160000 - 180000,ND,Raub,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Raub Jaya 6,1.0,65.0,100.0,,150000,ND,Raub,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Lipis Fasa 2,1.0,82.0,148.0,,150000,ND,Lipis,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Taman Sama,1.0,65.0,70.0,,100000,ND,Lipis,DOUBLE STOREY LOW - COST TERRACE ,2022/PAHANG
Air Putih,8.0,84.0,98.0,215000 - 285000,195000 - 320000,5.1,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Alor Akar,1.0,65.0,78.0,,200000,ND,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Balok,2.0,65.0,78.0,155000 - 175000,160000 - 190000,5,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Bandar Putra,1.0,93.0,79.0,,210000,ND,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Bukit Bay - Route,1.0,121.0,134.0,,290000,ND,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Bukit Setongkol,1.0,119.0,113.0,,200000,ND,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
"Indera Mahkota 2, Bandar Indera Mahkota",5.0,82.0,82.0,185000 - 250000,170000 - 230000,Stable,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Pandan,1.0,65.0,78.0,160000,160000,Stable,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Perkampungan Cenderawasih,6.0,81.0,92.0,155000 - 220000,150000 - 220000,Stable,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Perkampungan Pelindung,2.0,111.0,100.0,,250000,ND,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Seri Kuantan,1.0,65.0,83.0,,180000,ND,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Seri Setali,1.0,123.0,108.0,,260000,ND,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Seri Teruntum,1.0,121.0,119.0,,318000,ND,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Sungai Karang Jaya,2.0,65.0,72.0,165000,180000,9.1,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Taman Taman Tas,1.0,111.0,92.0,180000 - 215000,200000,Stable,Kuantan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Taman Rompin Permai,1.0,93.0,72.0,,140000,ND,Rompin,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Taman Sri Layang,1.0,111.0,115.0,,280000,ND,Temerloh,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Taman Temerloh Jaya,1.0,117.0,130.0,,260000,ND,Temerloh,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Taman Saga,2.0,117.0,106.0,260000 - 360000,200000 - 380000,Stable,Bentong,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Taman Kerayong,1.0,139.0,117.0,,200000,ND,Bera,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Taman Medan Indah ,1.0,113.0,117.0,,298000,ND,Raub,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Taman Lipis Baru,1.0,106.0,152.0,,265000,ND,Lipis,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Taman Royal Lily,1.0,111.0,118.0,,590000,ND,Cameron Highlands,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PAHANG
Air Putih,1.0,143.0,188.0,650000,700000,7.7,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
,4.0,160.0,152.0,390000 - 500000,400000 - 490000,5.1,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Alor Akar,12.0,129.0,145.0,370000,350000 - 485000,7.8,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Bandar Putra,2.0,143.0,164.0,390000 - 437000,420000 - 460000,4.8,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Bukit Bay - Route,1.0,116.0,134.0,,330000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Bukit Sekilau,3.0,139.0,150.0,,350000 - 390000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
,2.0,183.0,176.0,425000 - 520000,450000 - 500000,2.5,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Bukit Setongkol,11.0,134.0,164.0,330000 - 475000,350000 - 500000,3.2,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Bukit Ubi,7.0,150.0,158.0,420000 - 550000,420000 - 550000,4,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Galing,4.0,154.0,151.0,380000 - 490000,375000 - 498000,Stable,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
"Indera Mahkota 1, Bandar Indera Mahkota",2.0,142.0,171.0,450000 - 493000,490000,3.2,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
,2.0,160.0,169.0,,570000 - 585000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
"Indera Mahkota 2, Bandar Indera Mahkota",4.0,140.0,131.0,320000 - 4980000,345000 - 435000,Stable,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
"Indera Mahkota 3, Bandar Indera Mahkota",2.0,131.0,164.0,,450000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
"Indera Mahkota 6, Bandar Indera Mahkota",1.0,143.0,130.0,,330000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
"Indera Mahkota 8, Bandar Indera Mahkota",2.0,143.0,188.0,380000 - 450000,415000 - 500000,7.1,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
"Indera Mahkota 14 & 15, Bandar Indera Mahkota",3.0,147.0,172.0,350000 - 400000,320000 - 500000,5.1,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
"Indera Mahkota 18, Bandar Indera Mahkota",1.0,190.0,158.0,,400000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Jalan Haji Ahmad,1.0,192.0,127.0,,380000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Kampung Padang,1.0,130.0,141.0,,290000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Kampung Tiram,1.0,161.0,170.0,428000,400000,-6.5,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Kempadang,2.0,151.0,144.0,285000 - 420000,366000 - 380000,5.5,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Kota Sultan Ahmad Shah (KoTaman TasAS),4.0,160.0,158.0,350000 - 500000,375000 - 500000,6.2,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Kubang Buaya,1.0,177.0,157.0,490000,505000,3.1,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Kurnia Jaya,1.0,133.0,140.0,,350000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Mat Kilau,1.0,142.0,164.0,400000,380000,-5,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Pandan,3.0,124.0,127.0,300000,300000 - 370000,11.8,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Perkampungan Sungai Isap,1.0,130.0,113.0,,290000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Permatang Badak,1.0,158.0,142.0,,380000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Semambu,1.0,141.0,153.0,373000,388000,3.9,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Seri Kuantan,2.0,158.0,152.0,400000 - 450000,350000 - 460000,-5.6,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Seri Mahkota,3.0,140.0,121.0,320000 - 340000,330000 - 350000,3,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Seri Setali,9.0,157.0,153.0,380000 - 550000,376000 - 550000,Stable,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Seri Teruntum,7.0,140.0,163.0,350000 - 460000,380000 - 460000,4.3,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Sungai Karang,2.0,121.0,151.0,,322000 - 330000,ND,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
"Taman Shahzan, Bandar Indera Mahkota",2.0,130.0,148.0,365000,370000 - 420000,7.6,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Tanjung Lumpur,1.0,136.0,209.0,450000,475000,5.6,Kuantan,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Harmoni,1.0,130.0,173.0,,385000,ND,Pekan,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Sri Sepakat,1.0,196.0,209.0,,410000,ND,Rompin,DOUBLE STOREY TERRACE,2022/PAHANG
Bahagia Court,1.0,143.0,159.0,,340000,ND,Temerloh,DOUBLE STOREY TERRACE,2022/PAHANG
Damai Court,1.0,121.0,157.0,,330000,ND,Temerloh,DOUBLE STOREY TERRACE,2022/PAHANG
Puncak Lestari,2.0,214.0,234.0,468000,480000 - 498000,4.29,Temerloh,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Bahagia Court,1.0,134.0,148.0,,350000,ND,Temerloh,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Chengal,1.0,164.0,149.0,,350000,ND,Temerloh,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Mentakab,1.0,143.0,169.0,,400000,ND,Temerloh,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Rimba,1.0,143.0,172.0,,355000,ND,Temerloh,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Temerloh Jaya,1.0,121.0,148.0,,287000,ND,Temerloh,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Tunas,1.0,219.0,203.0,,350000,ND,Temerloh,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Bentong Makmur,2.0,121.0,132.0,380000 - 425000,390000 - 400000,Stable,Bentong,DOUBLE STOREY TERRACE,2022/PAHANG
,1.0,153.0,175.0,,450000,ND,Bentong,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Bukit Indah,1.0,153.0,145.0,,410000,ND,Bentong,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Mawar,1.0,130.0,141.0,,300000,ND,Bentong,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Gemilang Raya,1.0,164.0,148.0,,350000,ND,Jerantut,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Melati Jerantut,1.0,133.0,180.0,330000 - 335000,338000,Stable,Jerantut,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Seroja,1.0,157.0,191.0,,328000,ND,Jerantut,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Meranti Indah,3.0,147.0,162.0,,300000 - 330000,ND,Bera,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Amalina Lestari,1.0,102.0,130.0,300000,320000,6.67,Raub,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Bunga Angsana,1.0,130.0,135.0,,378000,ND,Raub,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Cheroh Murni,1.0,153.0,172.0,,330000,ND,Raub,DOUBLE STOREY TERRACE,2022/PAHANG
Taman Seri Wawasan 2,2.0,139.0,149.0,400000,410000,2.5,Raub,DOUBLE STOREY TERRACE,2022/PAHANG
,3.0,159.0,156.0,,485000 - 488000,ND,Raub,DOUBLE STOREY TERRACE,2022/PAHANG
,2.0,130.0,145.0,,395000,ND,Raub,DOUBLE STOREY TERRACE,2022/PAHANG
