Store,Address,state
KUEK BROTHERS CO,NO. 13 PASAR BARU FASA 2 ASAJAYA ULU 94600 ASAJAYA SARAWAK,SARAWAK
TMG MART SDN BHD (ECO ARDENCE),"NO. 5,7,9,11,13 & 15 (TINGKAT BAWAH) JALAN ECO ARDENCE, C U12/36C ECO ARDENCE, SEKSYEN U12 40170 SHAH ALAM SELANGOR",SELANGOR
MEMPAGA FRESH SDN BHD (BENTA),"NO 26, TINGKAT ATAS DAN BAWAH TAMAN DESA BENTA JALAN DESA BENTA 2 27300 BENTA PAHANG",PAHANG
KIM HOCK SUPERMARKET SDN. BHD. (SIBU JAYA),"SUBLOT 27-36 IN LOT 1192, BLOCK 1, MENYAN LAND 96000 SIBU SARAWAK",SARAWAK
LOTUSS SG PETANI,"LOTUSS SG PETANI 300, JALAN HEIGHT LAGENDA HEIGHT 08000 SG PETANI KEDAH",KEDAH
99 SPEEDMART SDN BHD (BUKIT RAHMAN PUTRA) - 1137,"NO: 7 & 9, JALAN BRP 6/12 BUKIT RAHMAN PUTRA 68100 SHAH ALAM SELANGOR",SELANGOR
TMG EXPRESS 3000 SDN BHD (BENTONG DESA DAMAI),"LOT 17-19, JALAN BENTONG-RAUB, MUKIM BENTONG 28700 BENTONG PAHANG",PAHANG
U SENG MINI MARKET & STORE,NO.457 JALAN BESAR PAKA DUNGUN 23100 DUNGUN TERENGGANU,TERENGGANU
TRELEAF MART (KUBANG JELA),"LOT 8267, GM1000, KAMPUNG KUBANG JELA, MUKIM MANIR, 21200 KUALA TERENGGANU TERENGGANU",TERENGGANU
R6 MART (TASIK UTAMA),NO 15 JALAN TU 41 TAMAN TASIK UTAMA 75450 AYER KEROH MELAKA,MELAKA
B36-PASARAYA SAVE-DESA PENGKALAN BANDARAYA,NO.7 & 9 PENGKALAN BANDARAYA 10 DESA PENGKALAN BANDARAYA 31500 LAHAT PERAK,PERAK
99 SPEEDMART SDN BHD (TMN BUKIT MUTIARA ) - 2142,"NO: 59 & 61 (GROUND FLOOR), JALAN BUKIT MUTIARA 21, TAMAN BUKIT MUTIARA, 81100 JOHOR BAHRU JOHOR",JOHOR
