Store,Address,state
PASARAYA HAFIFAH (REPOH),"5, JALAN PROGRESIF 1, TAMAN PROGRESIF, 01000 KANGAR 01000 KANGAR PERLIS",PERLIS
HWA THAI SUPERMARKET (THE COMMUNE),JALAN KIAMBANG 10 BANDAR INDAHPURA 81000 KULAI JOHOR,JOHOR
99 SPEEDMART SDN BHD (TMN GUNUNG TAHAN UTAMA) - 2798,"NO: 3A & 4A (GROUND FLOOR), JALAN GT UTAMA 1 TAMAN GUNUNG TAHAN UTAMA 71350 KOTA NEGERI SEMBILAN",NEGERI SEMBILAN
CKS GROCER - TOWERING,"LOT NO.10 & 11, GROUND FLOOR, INDUSTRIAL CENTRE 88300 PENAMPANG SABAH",SABAH
BS SUPERMART SDN BHD (DEPO),"GROUND & 1ST FLR, SUBLOT 1-5 OF PARENT, LOT 2437 BLOCK 17, SALAK LAND DISTRICT, JALAN DEPO OFF JALAN SEMARIANG 93050 SEMARIANG SARAWAK",SARAWAK
99 SPEEDMART SDN BHD (TMN INDUSTRI SRI SULONG ) - 2077,"NO: 77 & 78 (GROUND FLOOR), JALAN SRI SULONG, TAMAN INDUSTRI SRI SULONG, PARIT SULONG, 83500 BATU PAHAT JOHOR",JOHOR
BATARAS HYPERMARKET ITCC,"LOT G-43, GROUND FLOOR, INTERNATIONAL TECHNOLOGY COMMERCIAL CENTRE (ITCC) JALAN PINTAS PENAMPANG 89500 PENAMPANG SABAH",SABAH
HWA THAI SUPERMARKET (PANDAN CITY),"PASAR BORONG NO.2,4,6,8,10 JALAN PANDAN RIA 4, TEBRAU 81100 JOHOR BAHRU JOHOR",JOHOR
MEGAMART SDN BHD (PARIT SULONG),"NO 14,15,16,17,18 & 18A JALAN SULONG EMAS 2 PUSAT PERNIAGAAN SULONG EMAS, PARIT SULONG 83500 BATU PAHAT JOHOR",JOHOR
KK SUPER MART (KLEBANG BESAR),"NO.30, JALAN NIRWANA 2, TAMAN NIRWANA, KLEBANG BESAR 76400 KLEBANG MELAKA",MELAKA
646 MINIMART (LABIS),"NO 22, PEKAN AYER PANAS, 85300 LABIS JOHOR",JOHOR
99 SPEEDMART SDN BHD (PANDAMARAN) - 1046,"NO. 153 & 155, JALAN CHAN AH CHOO, PANDAMARAN, 42000 PELABUHAN KLANG SELANGOR",SELANGOR
BATARAS FRESH MART KOTA MARUDU,"LOT.3,3A 5&6 BLOCK D, GROUND FLOOR BANDAU COMMERCIAL CENTRE PHASE 1 89100 KOTA MARUDU SABAH",SABAH
PKT SETIU,HSM 1372-1374 WISMA KPDS BANDAR PERMAISURI 22100 BANDAR PERMAISURI TERENGGANU,TERENGGANU
CKS SUPERMARKET BUNDUSAN,"CL215322768, LOT 2, JALAN BUNDUSAN, PENAMPANG. PETI SURAT 1 89507 BUNDUSAN SABAH",SABAH
ESTREE MART (PEKAN BARU),"NO. 67 & 68, PEKAN BARU, 06300 KUALA NERANG, KEDAH 06300 KUALA NERANG KEDAH",KEDAH
SERVAY EXPRESS - SEAP,"G16-18, GROUND FLOOR, LORONG API-API API-API CENTRE 88000 KOTA KINABALU SABAH",SABAH
99 SPEEDMART SDN BHD (ASAHAN) - 2030,NO: JA 8315 & JA 8316 (GROUND FLOOR) JALAN BEKOH JAYA 1 77100 TAMAN BEKOH JAYA MELAKA,MELAKA
99 SPEEDMART SDN BHD (TMN MEGAH RIA 1) - 2266,"NO: 3 & 5 (GROUND FLOOR), JALAN API-API 9 TAMAN MEGAH RIA KAMPUNG MASJID LAMA 81750 MASAI JOHOR",JOHOR
MOHD TARMIZI BIN MOHD NOOR,KAMPUNG KEMUBU 18000 KUALA KRAI KELANTAN,KELANTAN
PASARAYA MATAHARI (KLANG UTAMA),"MATAHARI PARADE, LOT 22532 JALAN SUNGAI PULOH 14, TAMAN KLANG UTAMA MUKIM KAPAR 42100 KLANG SELANGOR",SELANGOR
BUKIT RAMBAI FAMILY STORE SDN BHD,NO. 7000 JALAN PBR 38 KAWASAN PERINDUSTRIAN BUKIT RAMBAI 75260 BUKIT RAMBAI MELAKA,MELAKA
YY MINI MARKET (SEGAMAT),NO. 18 JALAN BISTARI 4/2 TAMAN YAYASAN 85010 SEGAMAT JOHOR,JOHOR
PKT PASIR TUMBOH,"LOT 10 & 11, KEDAO PASIR TUMBOH JALAN PASIR PUTEH 15200 KOTA BHARU KELANTAN",KELANTAN
KAH HOE MINI MARKET (SEGAMAT),"33, JALAN SULTAN, BUKIT SIPUT, 85020 SEGAMAT JOHOR",JOHOR
PEMBORONG PAK TAM - SUNGAI TIANG,"SUNGAI TIANG 3&4,SIMPANG 3 KAMPUNG BARU 06750 PENDANG KEDAH. 06750 PENDANG KEDAH",KEDAH
ECONSAVE CASH & CARRY (SMT) SDN BHD (SUNGAI MATI),"NO. 1-6, JALAN MURNI 2 TAMAN MURNI SUNGAI MATI 84400 TANGKAK JOHOR",JOHOR
PASAR RAYA SRI KASSIM SDN BHD,"LOT 1605, MEDAN SUNGAI BESAR 45300 SUNGAI BESAR SELANGOR",SELANGOR
PASARAYA WELL-MART GB1,"NO. 2G & 3G, JALAN GP2A TAMAN GOMBAK PERMAI 68100 BATU CAVES SELANGOR",SELANGOR
99 SPEEDMART SDN BHD (PEKAN JASIN) - 1760,"NO: J7918 & J7919, JALAN BUNGA TANJUNG, TAMAN MAJU TAMAN BUKIT MELAKA 77000 JASIN MELAKA",MELAKA
ERA MINI MARKET SDN BHD,"NT 10301972, KG RANGGU 91000 TAWAU SABAH",SABAH
GS MART (BANDAR PONTIAN),"NO 13, 15 & 17 JALAN BAKEK TAMAN MEWAH 82000 PONTIAN JOHOR",JOHOR
68 FRESHMART SDN BHD (SEGAMAT),"35, 35 & 36 JALAN BISTARI 4/9, TAMAN YAYASAN, 85000 SEGAMAT JOHOR",JOHOR
BILLION DUTY-FREE (LANGKAWI) SDN BHD - KEDAWANG,"8, JALAN KEDAWANG, KAMPUNG KEDAWANG 07000 LANGKAWI KEDAH",KEDAH
COOPMART KPGB,D/A ANJUNG USAHAWAN GEDONG 94800 SIMUNJAN SARAWAK,SARAWAK
99 SPEEDMART SDN BHD (TAMAN SRI GOMBAK 1) - 1316,"NO: 1 & 3,JALAN SG 3/12 TAMAN SERI GOMBAK 68100 BATU CAVES SELANGOR",SELANGOR
GS MART (NUSARIA),"NO 5,7 & 9 JALAN NUSARIA 4/7 TAMAN NUSANTARA 79200 ISKANDAR PUTERI JOHOR",JOHOR
ECONSAVE CASH & CARRY (JK) SDN BHD (JENGKA),"NO. 1, JALAN BDJS 2 BLOK DAGANGAN JENGKA SEJAHTERA BANDAR TUN ABDUL RAZAK 26400 JENGKA PAHANG",PAHANG
PASARAYA EKONOMI (CHANGLUN) A-WANG SDN. BHD.,"NO. 62-65, PEKAN CHANGLUN, JALAN KODIANG, 06010 CHANGLUN KEDAH",KEDAH
99 SPEEDMART SDN BHD (TELUPID TOWN) - SBH 22919,"BLOCK A, LOT 6B AND LOT 7 JALAN RANAU-SANDAKAN, TAMAN MOMOGUN PEKAN TELUPID 89100 BELURAN SABAH",SABAH
POH SING TRADING,"NO. 10, JALAN PENGHULU GERINANG 96800 KAPIT SARAWAK",SARAWAK
ECO-SHOP MENGLEMBU,"50, JALAN LAHAT, KAWASAN PERUSAHAAN MENGLEMBU 31450 MENGLEMBU PERAK",PERAK
EHSAN SEGI SRI MUDA,"7G, 9G, 11G & 13G JALAN DAMAI 25/60 TAMAN SRI MUDA 40400 SHAH ALAM SELANGOR",SELANGOR
BIG SUPERMART SDN BHD (BATU CAVES),"NO 3-19, JALAN SG 3/19, PUSAT BANDAR SRI GOMBAK 68100 BATU CAVES SELANGOR",SELANGOR
99 SPEEDMART SDN BHD (TAMAN RASA INDAH) - 1581,"NO: 11 & 13 JALAN DAMAR 1 TMN RASA INDAH, RASA 44200 BATANG KALI SELANGOR",SELANGOR
PASIR KELANG MINI MART,LOT 2494 KAMPUNG PASIR KELANG BARU 18000 KUALA KRAI KELANTAN,KELANTAN
CHOP YAK LONG,"NO. 8, PASAR SEBANGAN, SIMUNJAN 95800 SEBANGAN SARAWAK",SARAWAK
DMART SEGI SUNGAI KOYAN 01,FELDA SG KOYAN 01 RAUB 27650 RAUB PAHANG,PAHANG
KEDAI RUNCIT BERKAT RAJIYA,"NO. 12A, TINGKAT BAWAH LORONB 28, TAMAN BERKAT 34700 SIMPANG PERAK",PERAK
99 SPEEDMART SDN BHD (SABAK BERNAM) - 1252,LOT 619 & 620 JALAN RAJA CHULAN TMN MUTIARA 2 SEKSYEN 5 45200 SABAK BERNAM SELANGOR,SELANGOR
WLS ENTERPRISE SDN BHD - KC,"PT 2021-2023, KG CHEMPAKA, JALAN PANJI 16100 16100 KOTA BAHRU KELANTAN",KELANTAN
ECONMART MANTIN SDN.BHD,"PT 131 (173 & 173), JALAN BESAR MANTIN PEKAN MANTIN 71700 MANTIN NEGERI SEMBILAN",NEGERI SEMBILAN
SRW MART,PT 225&226 KG WAKAF ZAIN TAWANG 16020 BACHOK KELANTAN,KELANTAN
KK SUPER MART (TELUK PULAI),"NO.129, JALAN TELUK PULAI 41100 KLANG SELANGOR",SELANGOR
SEGI FRESH SRI MANJUNG,"NO. 11-G, 12-G & 13-G JALAN SM 1C/15 FASA 1C4, BANDAR BARU 32040 SRI MANJUNG PERAK",PERAK
HWA THAI SUPERMARKET (SKS MART),RETAIL LOT NO.2 JALAN HANG LEKIR TAMAN INDUSTRI JAYA 81300 SKUDAI JOHOR,JOHOR
LIM KIM SENG,NO. 9 & 11 DEBAK BAZAAR 95500 DEBAK SARAWAK,SARAWAK
PASARAYA ECONO (KUALA PERLIS),NO.51 JALAN SARAWAK TAMAN BUKIT KUBU JAYA 02000 KUALA PERLIS PERLIS,PERLIS
PASAR RAYA AA TEGUH (BP1),"NO 3, 5 ,7 & 11 LORONG PERMATANG PASIR 1 TAMAN MANGGIS INDAH 11010 BALIK PULAU PENANG",PENANG
SEGI FRESH (TELOK PANGLIMA GARANG),"SEGI FRESH TELOK PANGLIMA GARANG LOT 621, 6, JALAN GANGSA KAWASAN PERINDUSTRIAN TELOK PANGLIMA GARANG 42500 TELOK PANGLIMA GARANG SELANGOR",SELANGOR
TUNAS MANJA SUPERMARKET (IM2),"A35 - A43, JALAN IM2 TAMAN PASDEC AMAN 25200 BANDAR INDERA MAHKOTA PAHANG",PAHANG
PASARAYA EKONOMI (PERLIS) A-WANG SDN. BHD.,"DEWAN M.P.K., SIMPANG EMPAT, 02700 SIMPANG EMPAT PERLIS",PERLIS
SEGAR JAYA,"KAMPUNG NAMBAYAN TAMBUNAN, 89650 TAMBUNAN 89650 TAMBUNAN SABAH",SABAH
KK SUPER MART (JALAN MAHAJAYA PORT DICKSON),"NO.75, JALAN MAHAJAYA, KAMPUNG BAHASA KAPOR 71000 PORT DICKSON NEGERI SEMBILAN",NEGERI SEMBILAN
GIANT MINI (CALTEX TAMAN UNIVERSITI),CALTEX TAMAN UNIVERSITY INDAH JALAN SL 1/3 BANDAR SUNGAI LONG 43300 SRI KEMBANGAN SELANGOR,SELANGOR
B28-PASARAYA SAVE-TAMAN SONG CHOON,NO. 15 & 17 PERSIARAN RAPAT BARU 20A TAMAN SONG CHOON 31350 IPOH PERAK,PERAK
SK FRESH SUPERMARKET (PENDANG),"NO.15, 16, 17, 18, 19 & 20, JALAN SUKAMARI, TAMAN SUKAMARI, BANDAR PENDANG, 06700 PENDANG, KEDAH. 06700 PENDANG KEDAH",KEDAH
FRESH HUB TAMAN SRI TENGAH,NO. 37 & 39 JALAN KG BAHARU TAMAN SRI TENGAH 86000 KLUANG JOHOR,JOHOR
B34-PASARAYA SAVE-BANDAR SERI BOTANI,"NO, 22 & 24 MARGOSA D/7 BANDAR SERI BOTANI 31350 IPOH PERAK",PERAK
DMART SEGI SUNGAI RETANG,FELDA SUNGAI RETANG 27040 JERANTUT PAHANG,PAHANG
99 SPEEDMART SDN BHD (BDR RINCHING1) - 1327,"NO: 30 & 32 & 34, JALAN 4/1, SEK 4, BANDAR RINCHING, 43500 SEMENYIH SELANGOR",SELANGOR
DMART SEGI MM SERTING,DMART MM SERTING BANDAR SERI JEMPOL 72120 BANDAR SERI JEMPOL NEGERI SEMBILAN,NEGERI SEMBILAN
99 SPEEDMART SDN BHD (KG KAWANG) - SBH 18918,"KEDAI SEDCO, LOT 3 & 4 KG KAWANG,JALAN PAPAR LAMA PETI SURAT 249 89600 PAPAR SABAH",SABAH
99 SPEEDMART SDN BHD (TMN INDAH BARU TAMPIN) - 1526,"PT 934, NO: 1, TAMAN INDAH BARU PUSAT KOMERSIAL TIARA SENDAYAN 73000 TAMPIN NEGERI SEMBILAN",NEGERI SEMBILAN
BEST FRESH MART SDN BHD - IJOK,"NO. 8, 10, 12, & 16, JALAN IJOK PERMAI 1, PUSAT NIAGA IJOK PERMAI, 45600 IJOK SELANGOR",SELANGOR
ECO-SHOP PANTAI CENANG,PT562 (SEBAHAGIAN LOT LAMA 2628 KAMPUNG BOHOR TEMPOYAK 59200 LANGKAWI KEDAH,KEDAH
MAT FROZEN HOLDINGS SDN BHD,"LOT 8418, KEDAI NO. 1, JALAN PADANG TEMBAK, 36000 TELUK INTAN, PERAK 36000 TELUK INTAN PERAK",PERAK
BILLION SHOPPING CENTRE (SUNGAI PETANI) SDN BHD,"KOMPLEKS CAYMAN 2, JALAN PENGKALAN 08000 SUNGAI PETANI KEDAH",KEDAH
B.J.S TRADING,"NO.29, PASAR BARU, SIMUNJAN 94800 KUCHING SARAWAK",SARAWAK
HERO MARKET - DAMANSARA DAMAI,"C-01-03, C-01-05 NO. 5, JALAN PJU 10/1 PARK AVENUE, DAMANSARA DAMAI 47830 PETALING JAYA SELANGOR",SELANGOR
EXCOWELL CORPORATION SDN BHD,"45,47,49,51,53 JLN BINTANG RIA 2 TMN BINTANG RIA 86200 SIMPANG RENGGAM JOHOR",JOHOR
CKS GROCER - PETAGAS,"JALAN PANTAI BERAHI, PETAGAS 88200 PUTATAN SABAH",SABAH
TMG EXPRESS 3000 SDN BHD (AIR PUTIH),"B5, B7, B7A, B9, JALAN AIR PUTIH 26250 KUANTAN PAHANG",PAHANG
HARNELL ENTERPRISE (PAK JOKO'S GROCERY HUT),"NO. 1, KG KUALA WOH, BATU 7, JALAN PAHANG 35000 TAPAH PERAK",PERAK
PASAR RAYA AA TEGUH (BT),"NO 16,18,20,22 & 24 LORONG PANGLIMA 4 BERTAM PERDANA 3 13200 KEPALA BATAS PENANG",PENANG
99 SPEEDMART SDN BHD (PEKAN SIK) – 3261,"NO: 5 & 6 (GROUND FLOOR) PEKAN SIK, KOMPLEKS PERNIAGAAN BUNGA RAYA, 08200 SIK KEDAH",KEDAH
99 SPEEDMART SDN BHD (TMN LEMBAH BUJANG UTAMA)-2880,NO: 14A (GROUND FLOOR) JALAN BUJANG UTAMA 1 TAMAN LEMBAH BUJANG UTAMA 08100 BEDONG KEDAH,KEDAH
ICON MART (BP) SDN. BHD. (TMN BUKIT PERDANA) (HQ),"NO. 2-5 & 2-6, JALAN SUSUR PERDANA TENGAH, JALAN PANTAI DALIT 83000 BATU PAHAT JOHOR",JOHOR
PASARAYA KS CHU SDN BHD,PT 4954 - 4958 TMN KOTA HARMONI JLN CEMPAKA MERAH 17500 TANAH MERAH KELANTAN,KELANTAN
NIRWANA MAJU SDN BHD - CAW KEMAMAN,"LOT 2027, JALAN KUBANG KURUS, CHUKAI 24000 KEMAMAN TERENGGANU",TERENGGANU
ECONO JAYA BANDAR PUTERI JAYA,"NO.126,127 & 128,JALAN BANDAR PUTERI 1/2 BANDAR PUTERI JAYA 08000 SUNGAI PETANI KEDAH",KEDAH
PASARAYA JIMAT,PASARAYA JIMAT NO.18 JALAN BESAR BRINCHANG 39100 CAMERON HIGHLANDS PAHANG,PAHANG
SOON HING MINI MART,"LOT 701 OF PARENT LOT 699, GROUND FLOOR BLOOK 8, PANDARUAN LAND DISTRICT 98700 LIMBANG SARAWAK",SARAWAK
RA WAWASAN ENTERPRISE,PT2097 JALAN GUA MUSANG JELI BUKIT CEKATI 18300 GUA MUSANG KELANTAN,KELANTAN
99 SPEEDMART SDN BHD (JLN EHSAN PANDAMARAN) - 1664,"NO: 17 & 19, JALAN EHSAN PERDANA 7/KS 5, OFF JALAN PANDAMARAN, PELABUHAN KLANG, 42000 KLANG SELANGOR",SELANGOR
99 SPEEDMART SDN BHD (TMN EKO BOTANI) - 2490,"NO: 35 & 37 (GROUND FLOOR), JALAN EKO BOTANI 3/5 TAMAN EKO BOTANI KAMPUNG MASJID LAMA 79100 NUSAJAYA JOHOR",JOHOR
PASAR MINI 6575 ENTERPRISE,"LOT 11, JALAN BESAR, TG. BELANJA, 32800 PARIT, PERAK 32800 PARIT PERAK",PERAK
DMART SEGI FELDA JENGKA 19,FELDA JENGKA 19 TEMERLOH 28030 TEMERLOH PAHANG,PAHANG
GIANT SUPERSTORE GXNI (NILAI),"PT 6367, JALAN BBN 3/1 BANDAR BARU NILAI NEGERI SEMBILAN 71800 NILAI NEGERI SEMBILAN",NEGERI SEMBILAN
CHIA LENG MART (PASAR MINI CHIA LENG MART),NO.83A JALAN BELAKANG 32300 PANGKOR PERAK,PERAK
TF VALUE-MART SDN BHD (SUNGAI SIPUT),"NO 1,PERSIARAN KOMERSIAL 1 KOMERSIAL WATERFRONT, 31100 SUNGAI SIPUT PERAK",PERAK
GS MART (NUSA SENTRAL),NO 25 & 27 & 29 JALAN SENTRAL 2 TAMAN NUSA SENTRAL 79100 ISKANDAR PUTERI JOHOR,JOHOR
WAN HO 55 MART,"1, PTD 7129 JLN PERSIARAN BAYU DAMAI 1/3 TAMAN BAYU DAMAI 81600 PENGERANG JOHOR",JOHOR
99 SPEEDMART SDN BHD (TAMAN MAS SURIA) - 1986,"NO: 2 & 3 (GROUND FLOOR) JALAN MAS SURIA 1, TAMAN MAS SURIA KG KOH 32000 SITIAWAN PERAK",PERAK
CT EXTRA STORES (SENDAYAN) SDN BHD,"NO 752-755 JALAN NUSARI, AMAN 3/1 MEDAN NUSARI, BANDAR SRI SENDAYAN 71900 SENDAYAN NEGERI SEMBILAN",NEGERI SEMBILAN
PASARAYA BSK SDN BHD CAW. KUALA SELANGOR,"NO. 10, 12, 14 & 16, JALAN BENDAHARA 1/2A, TAMAN BENDAHARA, 45000 KUALA SELANGOR SELANGOR",SELANGOR
MU SUPERMART SEGUNTOR,LOT 19 BLOK B TINGKAT BAWAH SEGUNTOR JAYA BATU 10 1/2 JALAN LABUK 90000 SANDAKAN SABAH,SABAH
99 SPEEDMART SDN BHD (PUSAT PERNIAGAAN IMPIAN) - 3024,"NO : 11 & 12 (GROUND FLOOR), JALAN IMPIAN 1, PUSAT PERNIAGAAN IMPIAN, 27200 KUALA LIPIS PAHANG",PAHANG
SUNGAI PALA MINI MART MULU,"N0. 52, KAMPUNG MELINAU, 98070, MULU, BARAN 98070 MULU SARAWAK",SARAWAK
FRESH 365 - BANDAR AMANJAYA 1,"NO. 75 & 76, LENGKOK CEMPAKA 1, BANDAR AMANJAYA, 08000 SUNGAI PETANI, KEDAH 08000 SUNGAI PETANI KEDAH",KEDAH
DUSUN MINI MART,"NO.12, KAMPUNG DUSUN MUKIM PENYOR 26690 CHINI PAHANG",PAHANG
99 SPEEDMART SDN BHD (TMN ORIENTAL LILY) - 2454,"NO: 21 & 23 (GROUND FLOOR) PERSIARAN ORIENTAL LILY 1, TAMAN ORIENTAL LILY, TRINGKAP 39100 CAMERON HIGHLAND PAHANG",PAHANG
PASARAYA ECONJAYA (KOK LANAS),LOT 402-411 JALAN KUALAI KRAI 16450 KOK LANAS KELANTAN,KELANTAN
SG SOK JAYA TRADING,"LOT 507, KG BARU MANEK URAI 18000 KUALA KRAI KELANTAN",KELANTAN
SABASUN HYPERRUNCIT SDN BHD (PEKAN AJIL),"NO 39-47, BLOK E, PUSAT DAGANGAN AJIL, JALAN KUALA BERANG, PEKAN AJIL, 21800 HULU TERENGGANU TERENGGANU",TERENGGANU
MY MIX MART SDN. BHD. (TMN CENDANA),"NO 15, 17 JALAN CENDANA 9/1, TAMAN CENDANA 81700 PASIR GUDANG JOHOR",JOHOR
SEGI FRESH STATION 18 PANGKALAN,"NO. 22A, 22A-1 & 22B JALAN LAHAD BARU 4 TAMAN BADRI SHAH 31500 PERAK PERAK",PERAK
99 SPEEDMART SDN BHD (TMN RASA RIA) - 3028,"NO : 1337 & 1338 (GROUND FLOOR), JALAN PUNGGUK, TAMAN RASA RIA, 14200 SUNGAI JAWI PENANG",PENANG
KIONG SING GENERAL STORE,"NO 3, JALAN TEMENGGONG KOH 96800 KAPIT SARAWAK",SARAWAK
MYDIN SEREMBAN 2 HYPERMARKET,"LOT 31156, PERSIARAN S2 B7, SEREMBAN 2 70300 SEREMBAN NEGERI SEMBILAN",NEGERI SEMBILAN
PASARAYA IKHLAS MAJU SDN. BHD.,"2885, BATAS LINTANG, KAMPUNG SIMPANG EMPAT, 02700 SIMPANG EMPAT, PERLIS 02700 SIMPANG EMPAT PERLIS",PERLIS
SEGI FRESH BATU KURAU,"NO. 57, 59 & 61, LORONG DAMAI 1, TAMAN KURAU DAMAI, 34500 BATU KURAU PERAK",PERAK
FARLEY (SIBU) SDN. BHD.,NO. 1-10 LORONG SALIM 17 JALAN SALIM SIBU SARAWAK 96000 SIBU SARAWAK,SARAWAK
GT MART SETIA TAIPAN,NO. 3-G JALAN SETIA GEMILANG BG U13/BG 40170 SHAH ALAM SELANGOR,SELANGOR
BOULEVARD TRADING (MY),"SURVEY LOT 1857,1858,1859 SUBLOT 18 OF PARENT LOT 1225,1223 AND 647 ALL OF BLOCK 8 NIAH LAND DISTRICT 98000 MIRI SARAWAK",SARAWAK
FUMING YIWANGSHUN SDN BHD,"LOT PTD 55, JALAN KILANG TAMAN CHAAH 85400 CHAAH JOHOR",JOHOR
PASAR SEGAR LAPAN LAPAN (SG KLAU) SDN BHD,"NO.13&14, LORONG K/J 1, TAMAN KELAU JAYA, SUNGAI KLAU 27630 RAUB PAHANG",PAHANG
TF VALUE-MART SDN BHD (KUALA LIPIS),RUANG NIAGA MAJLIS DAERAH LIPIS HADADPAN TERMINAL BUS BANDAR BARU KUALA LIPIS 27200 KUALA LIPIS PAHANG,PAHANG
EZANI BIN GHAZALI,"NO. A1 & A2, LOT 1446, KEDAI BATU 30, 18500 MACHANG KELANTAN",KELANTAN
MY MIX MART SDN. BHD. (TMN BUNGA RAYA),"NO 20,22,24,26 JALAN MURAI, TAMAN BUNGA RAYA 81750 MASAI JOHOR",JOHOR
AEON BIG (SUBANG JAYA),3 JALAN SS16/1 PERSIARAN PUCHONG UTAMA SUNGAI PINANG 47500 SUBANG JAYA SELANGOR,SELANGOR
MDS MART (SUNGAI PLAN) SDN BHD,"SUBLOT 504-507, LOT 583, KLD, SG PLAN JALAN TG. KIDURONG 97000 BINTULU SARAWAK",SARAWAK
HALIMATUS COLDSTORAGE,"LOT 168, B PASAR BELAGA JALAN PENGHULU HANG NYIPA 96900 BELAGA SARAWAK",SARAWAK
99 SPEEDMART SDN BHD (MAWAR CC) - SBH 28822,"GROUND FLOOR, BLOCK H LOT 2 & 3, MAWAR COMMERCIAL CENTER TAMAN MAWAR, PHASE II, MILE 7 SIBUGA 90000 SANDAKAN SABAH",SABAH
QB MART,"LOT 790, KAMPUNG BOHOR MERAH AIR HANGAT 07000 LANGKAWI KEDAH",KEDAH
99 SPEEDMART SDN BHD (TAMAN BUKIT FLORA) - 2156,NO: 26 & 27 (GROUND FLOOR) JALAN GEMILANG TAMAN BUKIT FLORA 83000 83000 JOHOR,JOHOR
EVERRISE DEPARTMENTAL STORE (BINTANG) SDN BHD,"LG-01 BINTANG MEGAMALL, LOT 1657, BLOCK 9, MCLD, MIRI-PUJUT ROAD 98000 KUCHING SARAWAK",SARAWAK
WLS ENTERPRISE SDN BHD - WC,"PT 1529-1531, MUKIM PINTU GENG, JAJAHAN KOTA BHARU 15100 KOTA BAHRU KELANTAN",KELANTAN
TRELEAF MART (RUSILA),"LOT 9495-A, 9495-B, 9495-C KAMPUNG RHU RENGGEH RUSILA 21080 MARANG TERENGGANU",TERENGGANU
B20-PASARAYA SAVE-PINJI MEWAH,"17 & 19, PERSIARAN ZARIB 1 TAMAN PINJI MEWAH LAHAT 31500 IPOH PERAK",PERAK
YAT FONG HERBS 'N' FOODS SDN BHD (LANGKAP),"35-41, LORONG 1 JALAN KAMPAR, TAMAN DAHLIA 36700 LANGKAP PERAK",PERAK
99 SPEEDMART SDN BHD (KEMABONG) - SBH 26621,"NT. NO. 165329635 KEMABONG, JALAN TENOM – KUALA TOMANI JALAN RANAU - SANDAKAN 89900 TENOM SABAH",SABAH
EVERBEST GROCERY ENTERPRISE,"GROUND FLOOR, LOT 3106-3108, BLOCK 12, MTLD JALAN USAHAJAYA 93350 KUCHING SARAWAK",SARAWAK
KITAI MART SDN BHD,"LOT 1273, SUBLOT 17-22, BLOCK 13, MENUAN LAND DISTRICT JALAN BLETEH 96800 KAPIT SARAWAK",SARAWAK
99 SPEEDMART SDN BHD (BATU SAPI) - SBH 29923,"LOT 1 & 2, GROUND FLOOR BLOCK A,TAMAN POH HING JALAN BATU SAPI 90000 SANDAKAN SABAH",SABAH
ZUA HYPERUNCIT,"ZUA HYPERUNCIT LOT 50038, SUNGAI TAROM BANDAR PERMAISURI 22100 SETIU TERENGGANU",TERENGGANU
99 SPEEDMART SDN BHD (KOMPLEKS PERNIAGAAN PELANGI 2) - 3199,"NO: 95 & 96 (GROUND FLOOR), SUSURAN PELANGI, KOMPLEKS PERNIAGAAN PELANGI, 06000 JITRA KEDAH",KEDAH
99 SPEEDMART SDN BHD (SRI ALAM PERDANA) - SBH 15817,"LOT NO. 11-0 & 12-0, GROUND FLOOR BLOCK B SRI ALAM PERDANA COMMERCIAL CENTER 89600 PAPAR SABAH",SABAH
CERIA MART LAPAN LAPAN,14-21 JALAN BETONG 33100 PENGKALAN HULU PERAK,PERAK
ECO-SHOP MATANG MALL,SECTION 65 KUCHING TOWN LAND DISTRICT JALAN MATANG 93050 KUCHING SARAWAK,SARAWAK
LBG SOON SENG SDN BHD,"LOT 2117, 2118, 2119, 2120, BANGUNAN BANGKITA JALAN PANDANARAN 98700 LIMBANG, SARAWAK. 98700 LIMBANG SARAWAK",SARAWAK
SAUJANA MANDIRI JAYA ENTERPRISE(PONTIAN),"NO.1, JALAN SAUJANA 1 TAMAN SAUJANA , 82000 PONTIAN JOHOR",JOHOR
CKS SUPERMARKET MILLENIUM,"LOT 19-26, LOT 39-45, KEDAI GRAND MILLENIUM CENTRE, 88300 PENAMPANG SABAH",SABAH
BS SUPERMART SDN BHD (TAPAH),"SHOPLOT NO.9-12 OF PARENT LOT 1028, BLOCK 12, SENTAH SEGU LAND DISTRICT, BATU 22, JALAN KUCHING-SERIAN 94500 TAPAH SARAWAK",SARAWAK
TRIMAJU COLDSTORAGE SDN BHD (MIRI),"LOT M27 & M28 LOT 2892, BLOCK 6 KBLD, TUDAN 98000 MIRI SARAWAK",SARAWAK
ECONMART R & S ENT JELI,"PT2026, TGKT 1&2 TEPI SUNGAI BANDAR BARU 17600 JELI KELANTAN",KELANTAN
TASNIM TRADING,LOT 24 KAMPUNG BATU MELINTANG 17600 JELI KELANTAN,KELANTAN
99 SPEEDMART SDN BHD (MEDAN MEWAH) - 2996,"NO: MM 137 & MM 138 (GROUND FLOOR), JALAN MEDAN MEWAH 11, MEDAN MEWAH, 26700 MUADZAM SHAH PAHANG",PAHANG
MYDIN MART (PADANG JAWA),"NO. G-01 & F13A-27 & FK1-22, KOMPLEKS MEMBELI BELAH SURIA JAYA, SEKSYEN 16, 40200 SHAH ALAM SELANGOR",SELANGOR
