Store,Address,State,Latitude,Longitude
BS SUPERMART SDN BHD (TAPAH),"SHOPLOT NO.9-12 OF PARENT LOT 1028, BLOCK 12, SENTAH SEGU LAND DISTRICT, BATU 22, JALAN KUCHING-SERIAN 94500 TAPAH SARAWAK",SARAWAK,1.3056853,110.4065123
GMART BETONG,"LOT 382, BETONG TOWN DISTRICT, BETONG BAZAAR 95700 BETONG SARAWAK",SARAWAK,1.3060428,111.6183755
MEDAN DEPARTMENTAL STORE SDN BHD,"LOTS 1971-1977, BLOCK 9, BATU API LAND DISTRICT, BETONG NEW TOWNSHIP 95700 BETONG SARAWAK",SARAWAK,1.3060428,111.6183755
KELUARGA BETONG,"SUBLOT NO. 1 (SURVEY LOT 1470) PARENT LOT 558, BETONG TOWN DISTRICT 95700 BETONG SARAWAK",SARAWAK,1.3060428,111.6183755
GS MART (KUKUP LAUT),NO 11-G & 13- G JALAN ZAMRUD 1 PUSAT DAGANGAN KUKUP 82300 KUKUP JOHOR,JOHOR,1.3248256,103.4445703
GS MART (HQ),"LOT. 1937, JALAN KUKUP LAUT KUKUP JOHOR DARUL TAKZIM 82300 KUKUP JOHOR",JOHOR,1.3368022,103.4624933
KUKUP GUAN SENG SDN.BHD. (HQ),"LOT. 1937, JALAN KUKUP LAUT KUKUP JOHOR DARUL TAKZIM 82300 PONTIAN JOHOR",JOHOR,1.3368022,103.4624933
CHOP GUAN SENG (GS MART KUKUP),LOT 1937 JALAN KUKUP LAUT KUKUP 82300 PONTIAN JOHOR,JOHOR,1.3368022,103.4624933
GS MART (PERMAS KUKUP),"NO 35& 36, JALAN LAKSAMANA SATU TAMAN LAKSAMANA 82300 KUKUP JOHOR",JOHOR,1.3410954,103.4614714
KK SUPER MART (BATU 17 KUCHING),"NO.71, SIBURAN BAZAAR, LOT 914, SENTAH SEGU DISTRICT 94200 KUCHING SARAWAK",SARAWAK,1.3512168,110.3865463
ECONSAVE CASH & CARRY (AD) SDN BHD (TELUK RAMUNIA),"NO 1-11, LOT 741 TELUK RAMUNIA 81600 SUNGAI RENGIT JOHOR",JOHOR,1.3535204,104.2251287
FRESH HUB (PENGERANG),"NO C,D,E & F JALAN TELUK RAMUNIA SUNGAI RENGIT 81620 PENGERANG JOHOR",JOHOR,1.3572169,104.2299345
SIN KIT HIN,"23,17TH MILE BAZAAR,KUCHING/SERIAN ROAD, 94200, SIBURAN 94200 SIBURAN SARAWAK",SARAWAK,1.3637463,110.4042805
ECO-SHOP SIBURAN,"SUBLOT 61-65 OF LOT 1968 BLOCK 6 SENTAH-SEGU LAND DISTRICT 17TH MILE, JALAN KUCHING-SERIAN, ROAD 94200 KUCHING SARAWAK",SARAWAK,1.3657564,110.4029068
EVERWIN CENTRE (11 MILES) SDN BHD,"NO.6, LOT 118, BLOCK 82 KCLD, JALAN KUCHING/SERIAN, BATU 11 93250 KUCHING SARAWAK",SARAWAK,1.3727703,110.3896134
